rank	score	disease_name	disease_identifier
1	0.04570915177464485	OMIM:618882	OMIM:618882
2	0.06092790141701698	OMIM:261100	OMIM:261100
3	0.061467718333005905	OMIM:612923	OMIM:612923
4	0.06181235611438751	OMIM:612926	OMIM:612926
5	0.06188914179801941	ORPHA:3337	ORPHA:3337
6	0.061951324343681335	OMIM:612924	OMIM:612924
7	0.062138982117176056	ORPHA:35858	ORPHA:35858
8	0.06230777129530907	OMIM:261000	OMIM:261000
9	0.06319674849510193	OMIM:613845	OMIM:613845
10	0.0634959414601326	ORPHA:300298	ORPHA:300298
11	0.06377941370010376	ORPHA:2134	ORPHA:2134
12	0.06509574502706528	ORPHA:398063	ORPHA:398063
13	0.06557366997003555	OMIM:612922	OMIM:612922
14	0.06592775136232376	ORPHA:411634	ORPHA:411634
15	0.06630823016166687	OMIM:206100	OMIM:206100
16	0.0665360614657402	ORPHA:29073	ORPHA:29073
17	0.06679041683673859	ORPHA:470	ORPHA:470
18	0.06747330725193024	OMIM:227810	OMIM:227810
19	0.06757170706987381	OMIM:219800	OMIM:219800
20	0.06816579401493073	ORPHA:232	ORPHA:232
21	0.06916162371635437	ORPHA:98870	ORPHA:98870
22	0.06920190900564194	OMIM:557000	OMIM:557000
23	0.06952133029699326	ORPHA:411629	ORPHA:411629
24	0.06999312341213226	ORPHA:3202	ORPHA:3202
25	0.07038119435310364	OMIM:618913	OMIM:618913
26	0.07041865587234497	ORPHA:514	ORPHA:514
27	0.07080326229333878	ORPHA:766	ORPHA:766
28	0.07122907787561417	ORPHA:18	ORPHA:18
29	0.07124043256044388	OMIM:611881	OMIM:611881
30	0.0714561939239502	OMIM:615234	OMIM:615234
31	0.07161816209554672	OMIM:612925	OMIM:612925
32	0.07227965444326401	ORPHA:822	ORPHA:822
33	0.07247933000326157	ORPHA:699	ORPHA:699
34	0.07259021699428558	OMIM:275350	OMIM:275350
35	0.07275272160768509	OMIM:222700	OMIM:222700
36	0.07288980484008789	ORPHA:79284	ORPHA:79284
37	0.07297958433628082	ORPHA:848	ORPHA:848
38	0.07339424639940262	ORPHA:47159	ORPHA:47159
39	0.07342736423015594	ORPHA:811	ORPHA:811
40	0.07379347831010818	ORPHA:2298	ORPHA:2298
41	0.07384645193815231	OMIM:601775	OMIM:601775
42	0.07415298372507095	ORPHA:673	ORPHA:673
43	0.07419118285179138	OMIM:274150	OMIM:274150
44	0.07447676360607147	ORPHA:664	ORPHA:664
45	0.07458425313234329	ORPHA:2088	ORPHA:2088
46	0.0748261883854866	OMIM:251110	OMIM:251110
47	0.07488741725683212	OMIM:266200	OMIM:266200
48	0.07504680752754211	ORPHA:447	ORPHA:447
49	0.0751885175704956	OMIM:276700	OMIM:276700
50	0.07522210478782654	OMIM:617780	OMIM:617780
51	0.07534228265285492	ORPHA:85138	ORPHA:85138
52	0.07608173042535782	ORPHA:100024	ORPHA:100024
53	0.07624808698892593	ORPHA:57	ORPHA:57
54	0.07626878470182419	ORPHA:33355	ORPHA:33355
55	0.07636729627847672	OMIM:209950	OMIM:209950
56	0.07637833803892136	ORPHA:1667	ORPHA:1667
57	0.0764293372631073	OMIM:603358	OMIM:603358
58	0.07648029178380966	OMIM:604250	OMIM:604250
59	0.07653533667325974	OMIM:277400	OMIM:277400
60	0.07653733342885971	OMIM:235700	OMIM:235700
61	0.07654501497745514	ORPHA:93598	ORPHA:93598
62	0.0765991061925888	OMIM:616050	OMIM:616050
63	0.07680027186870575	ORPHA:90362	ORPHA:90362
64	0.07683948427438736	ORPHA:320	ORPHA:320
65	0.07695422321557999	ORPHA:494444	ORPHA:494444
66	0.07696226984262466	OMIM:226990	OMIM:226990
67	0.07743915915489197	ORPHA:97362	ORPHA:97362
68	0.07748126238584518	ORPHA:2668	ORPHA:2668
69	0.07748424261808395	OMIM:613673	OMIM:613673
70	0.07763157039880753	OMIM:607364	OMIM:607364
71	0.07766885310411453	ORPHA:507	ORPHA:507
72	0.07803275436162949	ORPHA:167	ORPHA:167
73	0.07808637619018555	OMIM:235400	OMIM:235400
74	0.07822461426258087	ORPHA:95409	ORPHA:95409
75	0.07829645276069641	OMIM:277380	OMIM:277380
