rank	score	disease_name	disease_identifier
1	0.020844919607043266	ORPHA:79076	ORPHA:79076
2	0.021132290363311768	OMIM:266920	OMIM:266920
3	0.021863572299480438	OMIM:312870	OMIM:312870
4	0.02211914397776127	OMIM:616638	OMIM:616638
5	0.0225896667689085	ORPHA:93932	ORPHA:93932
6	0.022713622078299522	OMIM:270400	OMIM:270400
7	0.022768661379814148	ORPHA:2308	ORPHA:2308
8	0.0230766162276268	OMIM:613610	OMIM:613610
9	0.02313309535384178	ORPHA:373	ORPHA:373
10	0.023159276694059372	ORPHA:798	ORPHA:798
11	0.023227788507938385	ORPHA:363700	ORPHA:363700
12	0.023258931934833527	OMIM:602535	OMIM:602535
13	0.02336210012435913	OMIM:180849	OMIM:180849
14	0.023368945345282555	ORPHA:79328	ORPHA:79328
15	0.023493271321058273	OMIM:619503	OMIM:619503
16	0.023515209555625916	OMIM:601803	OMIM:601803
17	0.02360871620476246	OMIM:210710	OMIM:210710
18	0.02369973249733448	ORPHA:397715	ORPHA:397715
19	0.02371920645236969	ORPHA:821	ORPHA:821
20	0.023778783157467842	OMIM:305450	OMIM:305450
21	0.02383154258131981	OMIM:619721	OMIM:619721
22	0.023858604952692986	ORPHA:2044	ORPHA:2044
23	0.023875698447227478	OMIM:301056	OMIM:301056
24	0.02390184812247753	OMIM:300868	OMIM:300868
25	0.02390236034989357	OMIM:261540	OMIM:261540
26	0.023986216634511948	OMIM:261515	OMIM:261515
27	0.02398829348385334	ORPHA:77301	ORPHA:77301
28	0.024078484624624252	ORPHA:96121	ORPHA:96121
29	0.024084515869617462	OMIM:269150	OMIM:269150
30	0.02409817837178707	OMIM:269860	OMIM:269860
31	0.02418249100446701	OMIM:613603	OMIM:613603
32	0.02425496280193329	ORPHA:508488	ORPHA:508488
33	0.02427647076547146	ORPHA:459061	ORPHA:459061
34	0.02433011494576931	ORPHA:457485	ORPHA:457485
35	0.024406421929597855	OMIM:300855	OMIM:300855
36	0.024494197219610214	ORPHA:93274	ORPHA:93274
37	0.024623505771160126	OMIM:257300	OMIM:257300
38	0.02465158887207508	OMIM:616482	OMIM:616482
39	0.024695171043276787	ORPHA:2152	ORPHA:2152
40	0.024706099182367325	ORPHA:2655	ORPHA:2655
41	0.024717453867197037	OMIM:235255	OMIM:235255
42	0.024722062051296234	OMIM:235510	OMIM:235510
43	0.024785181507468224	ORPHA:83617	ORPHA:83617
44	0.024797119200229645	ORPHA:280633	ORPHA:280633
45	0.024804312735795975	ORPHA:440713	ORPHA:440713
46	0.024817004799842834	ORPHA:1860	ORPHA:1860
47	0.024821948260068893	ORPHA:116	ORPHA:116
48	0.02493884228169918	ORPHA:500150	ORPHA:500150
49	0.025004573166370392	OMIM:151050	OMIM:151050
50	0.02500915341079235	ORPHA:3121	ORPHA:3121
51	0.025028549134731293	OMIM:247200	OMIM:247200
52	0.025092490017414093	OMIM:253250	OMIM:253250
53	0.025097889825701714	OMIM:249000	OMIM:249000
54	0.02513454668223858	ORPHA:363958	ORPHA:363958
54	0.02513454668223858	ORPHA:363965	ORPHA:363965
56	0.02522258833050728	OMIM:619841	OMIM:619841
57	0.02530164085328579	OMIM:280000	OMIM:280000
58	0.025309167802333832	OMIM:618188	OMIM:618188
59	0.02531280182301998	OMIM:610443	OMIM:610443
60	0.025326184928417206	ORPHA:2059	ORPHA:2059
61	0.025328777730464935	ORPHA:1001	ORPHA:1001
62	0.025357544422149658	OMIM:135900	OMIM:135900
63	0.025358347222208977	OMIM:619297	OMIM:619297
64	0.02535911649465561	OMIM:617140	OMIM:617140
65	0.02538054995238781	ORPHA:1655	ORPHA:1655
66	0.025390809401869774	ORPHA:2849	ORPHA:2849
67	0.025409886613488197	OMIM:616914	OMIM:616914
68	0.025425802916288376	ORPHA:567	ORPHA:567
69	0.02544536627829075	ORPHA:3310	ORPHA:3310
70	0.02544606290757656	OMIM:214100	OMIM:214100
71	0.025457490235567093	ORPHA:1272	ORPHA:1272
72	0.025477934628725052	OMIM:117550	OMIM:117550
73	0.02547839842736721	ORPHA:709	ORPHA:709
74	0.025516323745250702	ORPHA:96149	ORPHA:96149
75	0.02554207481443882	OMIM:252500	OMIM:252500
76	0.025544440373778343	OMIM:618494	OMIM:618494
77	0.0255464855581522	ORPHA:444072	ORPHA:444072
78	0.025553222745656967	OMIM:619522	OMIM:619522
79	0.025585932657122612	OMIM:618454	OMIM:618454
80	0.025589223951101303	ORPHA:404443	ORPHA:404443
81	0.0256308913230896	OMIM:618371	OMIM:618371
82	0.025633128359913826	OMIM:175700	OMIM:175700
83	0.025668121874332428	OMIM:606170	OMIM:606170
84	0.025670250877738	OMIM:135500	OMIM:135500
85	0.025672614574432373	ORPHA:99776	ORPHA:99776
86	0.0256880484521389	OMIM:602501	OMIM:602501
87	0.02573252283036709	ORPHA:46059	ORPHA:46059
88	0.025780655443668365	OMIM:301040	OMIM:301040
89	0.02578701823949814	OMIM:218040	OMIM:218040
90	0.02578800544142723	OMIM:615583	OMIM:615583
91	0.02579163759946823	ORPHA:261537	ORPHA:261537
92	0.025794818997383118	ORPHA:93271	ORPHA:93271
93	0.025818802416324615	ORPHA:464306	ORPHA:464306
94	0.02584339678287506	OMIM:616897	OMIM:616897
95	0.02585846744477749	OMIM:169400	OMIM:169400
96	0.025865226984024048	OMIM:607014	OMIM:607014
97	0.02589784748852253	OMIM:613735	OMIM:613735
98	0.02590714767575264	OMIM:613885	OMIM:613885
99	0.025947285816073418	ORPHA:508533	ORPHA:508533
100	0.025950076058506966	ORPHA:1052	ORPHA:1052
101	0.02595365419983864	OMIM:311200	OMIM:311200
102	0.026000840589404106	OMIM:608776	OMIM:608776
103	0.026006484404206276	OMIM:230000	OMIM:230000
104	0.02600962296128273	OMIM:618268	OMIM:618268
105	0.02601660043001175	OMIM:619648	OMIM:619648
