rank	score	disease_name	disease_identifier
1	0.013533460907638073	OMIM:227330	OMIM:227330
2	0.014447052963078022	OMIM:614976	OMIM:614976
3	0.01527220569550991	OMIM:616894	OMIM:616894
4	0.015411402098834515	OMIM:239710	OMIM:239710
5	0.015475043095648289	OMIM:272950	OMIM:272950
6	0.015575166791677475	OMIM:617746	OMIM:617746
7	0.015650322660803795	ORPHA:1519	ORPHA:1519
8	0.015891050919890404	OMIM:211380	OMIM:211380
9	0.01590033806860447	OMIM:101400	OMIM:101400
10	0.015936437994241714	OMIM:613458	OMIM:613458
11	0.016077833250164986	ORPHA:221120	ORPHA:221120
12	0.0161215178668499	OMIM:249420	OMIM:249420
13	0.016149204224348068	OMIM:158170	OMIM:158170
14	0.016163915395736694	OMIM:616734	OMIM:616734
15	0.016201652586460114	ORPHA:83	ORPHA:83
16	0.01624271459877491	OMIM:614188	OMIM:614188
17	0.01624296046793461	OMIM:148050	OMIM:148050
18	0.016285855323076248	OMIM:614701	OMIM:614701
19	0.016421152278780937	OMIM:611962	OMIM:611962
20	0.016461649909615517	OMIM:601088	OMIM:601088
21	0.016654713079333305	OMIM:101200	OMIM:101200
22	0.016721650958061218	OMIM:614541	OMIM:614541
23	0.01675405353307724	ORPHA:1507	ORPHA:1507
24	0.016824036836624146	ORPHA:1272	ORPHA:1272
25	0.01684783399105072	OMIM:613610	OMIM:613610
26	0.016931815072894096	OMIM:180700	OMIM:180700
27	0.016951270401477814	OMIM:261540	OMIM:261540
28	0.016995862126350403	OMIM:619325	OMIM:619325
29	0.017009379342198372	ORPHA:915	ORPHA:915
30	0.01705641858279705	OMIM:616580	OMIM:616580
31	0.017067400738596916	ORPHA:363659	ORPHA:363659
32	0.01708533614873886	OMIM:619148	OMIM:619148
33	0.017102612182497978	ORPHA:1327	ORPHA:1327
34	0.017135299742221832	OMIM:612474	OMIM:612474
35	0.017347728833556175	OMIM:619841	OMIM:619841
36	0.017371704801917076	OMIM:200990	OMIM:200990
37	0.017374902963638306	ORPHA:261337	ORPHA:261337
38	0.017454620450735092	OMIM:612530	OMIM:612530
39	0.017465675249695778	OMIM:610759	OMIM:610759
40	0.017509467899799347	ORPHA:1913	ORPHA:1913
41	0.01754511334002018	OMIM:618529	OMIM:618529
42	0.017567800357937813	OMIM:619951	OMIM:619951
43	0.01758800819516182	ORPHA:3303	ORPHA:3303
44	0.017592597752809525	OMIM:605039	OMIM:605039
45	0.017600515857338905	ORPHA:2215	ORPHA:2215
46	0.017623307183384895	OMIM:618950	OMIM:618950
47	0.017651930451393127	OMIM:213980	OMIM:213980
48	0.017664385959506035	ORPHA:261112	ORPHA:261112
49	0.017679134383797646	OMIM:600325	OMIM:600325
50	0.017719535157084465	OMIM:615546	OMIM:615546
51	0.017749449238181114	OMIM:618142	OMIM:618142
52	0.017793992534279823	OMIM:257920	OMIM:257920
53	0.0178213007748127	OMIM:616331	OMIM:616331
54	0.017821528017520905	ORPHA:171839	ORPHA:171839
55	0.017837082967162132	OMIM:123790	OMIM:123790
56	0.017843196168541908	OMIM:611174	OMIM:611174
57	0.017894653603434563	OMIM:618804	OMIM:618804
58	0.017931554466485977	OMIM:605627	OMIM:605627
59	0.01796887256205082	OMIM:612582	OMIM:612582
60	0.017981451004743576	ORPHA:794	ORPHA:794
61	0.01799307018518448	ORPHA:3107	ORPHA:3107
62	0.018018580973148346	OMIM:613792	OMIM:613792
63	0.01809048466384411	ORPHA:1620	ORPHA:1620
64	0.018224699422717094	OMIM:259775	OMIM:259775
65	0.018241090700030327	ORPHA:251014	ORPHA:251014
66	0.018244681879878044	OMIM:606851	OMIM:606851
67	0.018359076231718063	OMIM:613174	OMIM:613174
68	0.018371738493442535	OMIM:618332	OMIM:618332
69	0.018415866419672966	OMIM:604314	OMIM:604314
70	0.01848398707807064	OMIM:605321	OMIM:605321
71	0.018489256501197815	ORPHA:1695	ORPHA:1695
72	0.018534211441874504	ORPHA:3379	ORPHA:3379
73	0.018561450764536858	OMIM:309500	OMIM:309500
74	0.018574630841612816	OMIM:618316	OMIM:618316
75	0.01857520267367363	OMIM:613776	OMIM:613776
76	0.018620042130351067	OMIM:616038	OMIM:616038
77	0.01863538660109043	ORPHA:1449	ORPHA:1449
78	0.018635734915733337	OMIM:618975	OMIM:618975
79	0.018691357225179672	OMIM:615582	OMIM:615582
80	0.018697824329137802	ORPHA:261344	ORPHA:261344
81	0.018766533583402634	OMIM:613604	OMIM:613604
82	0.018805433064699173	ORPHA:2332	ORPHA:2332
83	0.018815793097019196	OMIM:182212	OMIM:182212
