rank	score	disease_name	disease_identifier
1	0.021940356120467186	ORPHA:1328	ORPHA:1328
2	0.02424868941307068	OMIM:131300	OMIM:131300
3	0.024816548451781273	OMIM:255800	OMIM:255800
4	0.02509254589676857	ORPHA:800	ORPHA:800
5	0.025330467149615288	OMIM:277440	OMIM:277440
6	0.026299843564629555	ORPHA:89936	ORPHA:89936
7	0.026815976947546005	OMIM:614856	OMIM:614856
8	0.026943782344460487	OMIM:182250	OMIM:182250
9	0.02699165791273117	OMIM:620351	OMIM:620351
10	0.027062037959694862	OMIM:252500	OMIM:252500
11	0.02717524953186512	OMIM:615349	OMIM:615349
12	0.027237996459007263	ORPHA:536471	ORPHA:536471
13	0.027339857071638107	OMIM:601559	OMIM:601559
14	0.027382804080843925	OMIM:264700	OMIM:264700
15	0.027582287788391113	OMIM:269500	OMIM:269500
16	0.027859359979629517	ORPHA:93357	ORPHA:93357
17	0.027946067973971367	ORPHA:198	ORPHA:198
18	0.02796352468430996	ORPHA:289157	ORPHA:289157
19	0.02798369713127613	OMIM:248500	OMIM:248500
20	0.02802092581987381	OMIM:600081	OMIM:600081
21	0.028292328119277954	ORPHA:666	ORPHA:666
22	0.028292769566178322	OMIM:156400	OMIM:156400
23	0.028302080929279327	ORPHA:2636	ORPHA:2636
24	0.028351733461022377	ORPHA:3455	ORPHA:3455
25	0.02836998552083969	OMIM:259100	OMIM:259100
26	0.028376508504152298	ORPHA:828	ORPHA:828
27	0.028421947732567787	ORPHA:2774	ORPHA:2774
28	0.028459491208195686	OMIM:620369	OMIM:620369
29	0.02853516675531864	OMIM:259600	OMIM:259600
30	0.028651230037212372	OMIM:210730	OMIM:210730
31	0.02875692956149578	OMIM:602080	OMIM:602080
32	0.0287622157484293	ORPHA:73230	ORPHA:73230
33	0.028790222480893135	ORPHA:2614	ORPHA:2614
34	0.028812067583203316	ORPHA:536545	ORPHA:536545
35	0.028835279867053032	ORPHA:309282	ORPHA:309282
36	0.028846513479948044	ORPHA:79255	ORPHA:79255
37	0.02885984443128109	ORPHA:2485	ORPHA:2485
38	0.02888287976384163	OMIM:253220	OMIM:253220
39	0.028903592377901077	OMIM:259050	OMIM:259050
40	0.028959596529603004	OMIM:245600	OMIM:245600
41	0.0289817713201046	ORPHA:536532	ORPHA:536532
42	0.029011663049459457	ORPHA:558	ORPHA:558
43	0.029025502502918243	OMIM:271640	OMIM:271640
44	0.029048902913928032	OMIM:616007	OMIM:616007
45	0.02918233349919319	ORPHA:508533	ORPHA:508533
46	0.029184440150856972	ORPHA:94068	ORPHA:94068
47	0.029257839545607567	OMIM:230000	OMIM:230000
48	0.029335834085941315	ORPHA:2796	ORPHA:2796
49	0.02943641133606434	ORPHA:79318	ORPHA:79318
50	0.02955213002860546	OMIM:150230	OMIM:150230
51	0.02962685562670231	ORPHA:249	ORPHA:249
52	0.0297312643378973	OMIM:606631	OMIM:606631
53	0.029736047610640526	ORPHA:955	ORPHA:955
54	0.029793884605169296	ORPHA:3041	ORPHA:3041
55	0.029822008684277534	OMIM:300280	OMIM:300280
56	0.029846109449863434	OMIM:607014	OMIM:607014
57	0.02984660491347313	OMIM:613848	OMIM:613848
58	0.02988235279917717	OMIM:225400	OMIM:225400
59	0.02989368885755539	ORPHA:354	ORPHA:354
60	0.029917588457465172	ORPHA:263463	ORPHA:263463
61	0.030036894604563713	ORPHA:1900	ORPHA:1900
62	0.030085450038313866	ORPHA:536467	ORPHA:536467
63	0.03017466329038143	OMIM:277590	OMIM:277590
64	0.030340692028403282	ORPHA:175	ORPHA:175
65	0.030380232259631157	OMIM:130070	OMIM:130070
66	0.030383184552192688	OMIM:614008	OMIM:614008
67	0.03039984032511711	OMIM:182212	OMIM:182212
68	0.030432553961873055	ORPHA:2078	ORPHA:2078
69	0.030528634786605835	ORPHA:2484	ORPHA:2484
70	0.03052983246743679	ORPHA:93315	ORPHA:93315
71	0.03054259717464447	OMIM:300232	OMIM:300232
72	0.030578089877963066	ORPHA:457395	ORPHA:457395
73	0.030584046617150307	ORPHA:1860	ORPHA:1860
74	0.03068295307457447	ORPHA:314769	ORPHA:314769
75	0.030688466504216194	ORPHA:90153	ORPHA:90153
76	0.03072325699031353	OMIM:619127	OMIM:619127
77	0.03072386421263218	OMIM:115150	OMIM:115150
78	0.030726350843906403	ORPHA:166011	ORPHA:166011
79	0.030727490782737732	ORPHA:93284	ORPHA:93284
80	0.030729178339242935	OMIM:161700	OMIM:161700
81	0.030732443556189537	ORPHA:534	ORPHA:534
82	0.03073894791305065	ORPHA:79443	ORPHA:79443
83	0.030806541442871094	OMIM:309350	OMIM:309350
84	0.030844522640109062	OMIM:253010	OMIM:253010
85	0.030849343165755272	OMIM:601812	OMIM:601812
86	0.030874639749526978	ORPHA:502	ORPHA:502
87	0.030889935791492462	ORPHA:628	ORPHA:628
88	0.03090391494333744	OMIM:304150	OMIM:304150
89	0.030904578045010567	ORPHA:3206	ORPHA:3206
90	0.03100241720676422	ORPHA:485	ORPHA:485
91	0.03104640543460846	ORPHA:61	ORPHA:61
92	0.031056974083185196	OMIM:239000	OMIM:239000
93	0.031063111498951912	OMIM:618268	OMIM:618268
94	0.031083494424819946	OMIM:618000	OMIM:618000
95	0.031094497069716454	OMIM:612350	OMIM:612350
96	0.031102627515792847	ORPHA:744	ORPHA:744
97	0.031155388802289963	ORPHA:904	ORPHA:904
98	0.031163759529590607	ORPHA:15	ORPHA:15
99	0.031165067106485367	ORPHA:963	ORPHA:963
100	0.0311934482306242	ORPHA:285	ORPHA:285
101	0.031208740547299385	ORPHA:3132	ORPHA:3132
102	0.03121884912252426	ORPHA:2976	ORPHA:2976
103	0.03129657730460167	OMIM:224300	OMIM:224300
104	0.031299058347940445	OMIM:248370	OMIM:248370
105	0.0313008613884449	ORPHA:2655	ORPHA:2655
106	0.03136121854186058	OMIM:616200	OMIM:616200
107	0.03140455111861229	OMIM:241530	OMIM:241530
108	0.03141142800450325	OMIM:241510	OMIM:241510
109	0.031463854014873505	ORPHA:90354	ORPHA:90354
110	0.03148272633552551	ORPHA:561	ORPHA:561
111	0.03148556873202324	OMIM:143095	OMIM:143095
112	0.03151459991931915	OMIM:193700	OMIM:193700
113	0.03151547536253929	ORPHA:2958	ORPHA:2958
114	0.031515855342149734	OMIM:300966	OMIM:300966
115	0.03152676671743393	ORPHA:93473	ORPHA:93473
116	0.03161083534359932	ORPHA:3101	ORPHA:3101
117	0.031643230468034744	ORPHA:2067	ORPHA:2067
118	0.031647276133298874	ORPHA:488632	ORPHA:488632
119	0.031669072806835175	OMIM:156550	OMIM:156550
