rank	score	disease_name	disease_identifier
1	0.012980850413441658	OMIM:271640	OMIM:271640
2	0.013708281330764294	ORPHA:536471	ORPHA:536471
3	0.01438907627016306	OMIM:615349	OMIM:615349
4	0.015683477744460106	OMIM:130070	OMIM:130070
5	0.016742819920182228	ORPHA:457395	ORPHA:457395
6	0.01690145954489708	ORPHA:628	ORPHA:628
7	0.01718083582818508	OMIM:245600	OMIM:245600
8	0.01728042960166931	ORPHA:93357	ORPHA:93357
9	0.017430132254958153	OMIM:259600	OMIM:259600
10	0.017511099576950073	ORPHA:1427	ORPHA:1427
11	0.0177589263767004	OMIM:223800	OMIM:223800
12	0.017933739349246025	ORPHA:2078	ORPHA:2078
13	0.018056347966194153	ORPHA:485	ORPHA:485
14	0.018121881410479546	OMIM:311300	OMIM:311300
15	0.01838531717658043	OMIM:305620	OMIM:305620
16	0.01867654360830784	OMIM:618019	OMIM:618019
17	0.01869698241353035	OMIM:612350	OMIM:612350
18	0.018876776099205017	ORPHA:1826	ORPHA:1826
19	0.018877346068620682	OMIM:601559	OMIM:601559
20	0.01898667775094509	OMIM:615777	OMIM:615777
21	0.019006358459591866	ORPHA:2484	ORPHA:2484
22	0.01908426731824875	OMIM:251450	OMIM:251450
23	0.019106829538941383	ORPHA:536532	ORPHA:536532
24	0.019125955179333687	OMIM:215150	OMIM:215150
25	0.01915077120065689	OMIM:271665	OMIM:271665
26	0.019170502200722694	ORPHA:536467	ORPHA:536467
27	0.019271505996584892	ORPHA:750	ORPHA:750
28	0.019347699359059334	ORPHA:93315	ORPHA:93315
29	0.019376035779714584	ORPHA:93360	ORPHA:93360
30	0.019407952204346657	OMIM:617952	OMIM:617952
31	0.0194237120449543	OMIM:211350	OMIM:211350
32	0.0195488128811121	OMIM:156550	OMIM:156550
33	0.019653206691145897	OMIM:304120	OMIM:304120
34	0.019663428887724876	ORPHA:3041	ORPHA:3041
35	0.019756698980927467	OMIM:150250	OMIM:150250
36	0.019815707579255104	ORPHA:93346	ORPHA:93346
37	0.019936099648475647	OMIM:224400	OMIM:224400
38	0.01994267664849758	ORPHA:370930	ORPHA:370930
39	0.020153764635324478	OMIM:619636	OMIM:619636
40	0.02021188847720623	OMIM:264180	OMIM:264180
41	0.020285360515117645	ORPHA:1159	ORPHA:1159
42	0.020415423437952995	OMIM:255800	OMIM:255800
43	0.020431041717529297	ORPHA:503	ORPHA:503
44	0.020628295838832855	OMIM:613848	OMIM:613848
45	0.020648404955863953	ORPHA:1106	ORPHA:1106
46	0.02075902372598648	ORPHA:50945	ORPHA:50945
47	0.02077152021229267	ORPHA:96334	ORPHA:96334
48	0.020891277119517326	OMIM:603546	OMIM:603546
49	0.020897869020700455	OMIM:300232	OMIM:300232
50	0.020900528877973557	OMIM:610967	OMIM:610967
51	0.02094670571386814	OMIM:615065	OMIM:615065
52	0.020952939987182617	OMIM:265000	OMIM:265000
53	0.02095467783510685	ORPHA:1425	ORPHA:1425
54	0.020963184535503387	ORPHA:955	ORPHA:955
55	0.021011410281062126	OMIM:612813	OMIM:612813
56	0.02104428969323635	OMIM:277590	OMIM:277590
57	0.021116770803928375	OMIM:300106	OMIM:300106
58	0.02112112194299698	OMIM:108720	OMIM:108720
