rank	score	disease_name	disease_identifier
1	0.2134227156639099	ORPHA:48372	ORPHA:48372
2	0.2153376340866089	ORPHA:90044	ORPHA:90044
3	0.2165260910987854	OMIM:243200	OMIM:243200
4	0.2181382179260254	ORPHA:42062	ORPHA:42062
5	0.21825110912322998	ORPHA:981	ORPHA:981
6	0.2207929491996765	OMIM:131430	OMIM:131430
7	0.22110939025878906	ORPHA:101041	ORPHA:101041
8	0.22128117084503174	OMIM:607832	OMIM:607832
9	0.22184527185345404	ORPHA:319600	ORPHA:319600
10	0.22378158569335938	ORPHA:284227	ORPHA:284227
