rank	score	disease_name	disease_identifier
1	0.03909802809357643	OMIM:191100	OMIM:191100
2	0.04054147005081177	OMIM:613254	OMIM:613254
3	0.04865628853440285	ORPHA:201	ORPHA:201
4	0.04929966479539871	OMIM:618373	OMIM:618373
5	0.05070433020591736	OMIM:162200	OMIM:162200
6	0.050859369337558746	ORPHA:626	ORPHA:626
7	0.05131825804710388	OMIM:247100	OMIM:247100
8	0.05182339996099472	ORPHA:910	ORPHA:910
9	0.051917556673288345	ORPHA:79140	ORPHA:79140
10	0.05215127766132355	OMIM:162210	OMIM:162210
11	0.05229756236076355	OMIM:124200	OMIM:124200
12	0.052859626710414886	ORPHA:805	ORPHA:805
13	0.05351962894201279	ORPHA:2762	ORPHA:2762
14	0.05357621610164642	OMIM:620343	OMIM:620343
15	0.05408802628517151	ORPHA:2874	ORPHA:2874
16	0.05425146967172623	OMIM:613675	OMIM:613675
17	0.05505722016096115	OMIM:278700	OMIM:278700
18	0.05548457056283951	ORPHA:89838	ORPHA:89838
19	0.05593327432870865	ORPHA:79145	ORPHA:79145
20	0.05648351088166237	ORPHA:137605	ORPHA:137605
21	0.056518081575632095	ORPHA:89843	ORPHA:89843
22	0.05653567612171173	ORPHA:79410	ORPHA:79410
23	0.056721802800893784	ORPHA:2309	ORPHA:2309
24	0.057256076484918594	OMIM:160980	OMIM:160980
25	0.05725625902414322	OMIM:615225	OMIM:615225
26	0.05761050432920456	ORPHA:530	ORPHA:530
27	0.057890884578228	ORPHA:79455	ORPHA:79455
28	0.058145929127931595	OMIM:278760	OMIM:278760
29	0.05856577679514885	ORPHA:542592	ORPHA:542592
30	0.0592888705432415	ORPHA:79397	ORPHA:79397
31	0.05939489230513573	OMIM:176920	OMIM:176920
32	0.059566397219896317	ORPHA:109	ORPHA:109
33	0.05970754846930504	ORPHA:79100	ORPHA:79100
34	0.05971480906009674	ORPHA:477	ORPHA:477
35	0.05972788855433464	ORPHA:158673	ORPHA:158673
36	0.059976376593112946	ORPHA:79396	ORPHA:79396
37	0.060243576765060425	OMIM:301845	OMIM:301845
38	0.060338713228702545	ORPHA:99818	ORPHA:99818
39	0.06037396937608719	ORPHA:636	ORPHA:636
40	0.06039542332291603	ORPHA:182	ORPHA:182
41	0.06039711460471153	OMIM:158350	OMIM:158350
42	0.06045394390821457	OMIM:146590	OMIM:146590
43	0.060498036444187164	OMIM:131760	OMIM:131760
44	0.06062837317585945	ORPHA:902	ORPHA:902
45	0.060632865875959396	ORPHA:79411	ORPHA:79411
46	0.060700688511133194	ORPHA:79399	ORPHA:79399
47	0.06081269308924675	ORPHA:79493	ORPHA:79493
48	0.06082403287291527	ORPHA:317	ORPHA:317
49	0.060831453651189804	OMIM:129200	OMIM:129200
50	0.06095491349697113	ORPHA:1556	ORPHA:1556
51	0.06100666522979736	ORPHA:218	ORPHA:218
52	0.06113047152757645	ORPHA:166113	ORPHA:166113
53	0.06123149394989014	ORPHA:33276	ORPHA:33276
54	0.06137468293309212	ORPHA:363700	ORPHA:363700
55	0.0614100880920887	ORPHA:618	ORPHA:618
56	0.061420656740665436	OMIM:616295	OMIM:616295
57	0.061479244381189346	ORPHA:2885	ORPHA:2885
58	0.061489254236221313	ORPHA:65285	ORPHA:65285
59	0.06155414879322052	ORPHA:398189	ORPHA:398189
60	0.06157996878027916	OMIM:163200	OMIM:163200
61	0.061695195734500885	ORPHA:79405	ORPHA:79405
62	0.06190996617078781	ORPHA:97685	ORPHA:97685
63	0.061963558197021484	ORPHA:2481	ORPHA:2481
64	0.0621674582362175	ORPHA:1775	ORPHA:1775
65	0.06228315457701683	DECIPHER:15	DECIPHER:15
