rank	score	disease_name	disease_identifier
1	0.08315138518810272	ORPHA:402075	ORPHA:402075
2	0.0854157879948616	OMIM:132900	OMIM:132900
3	0.08658113330602646	OMIM:613834	OMIM:613834
4	0.08758320659399033	ORPHA:229	ORPHA:229
5	0.08943388611078262	OMIM:611788	OMIM:611788
6	0.09360476583242416	OMIM:614823	OMIM:614823
7	0.09360545128583908	OMIM:617168	OMIM:617168
8	0.09482134133577347	ORPHA:91387	ORPHA:91387
9	0.09482263773679733	ORPHA:3400	ORPHA:3400
10	0.09722594171762466	OMIM:618496	OMIM:618496
11	0.10400504618883133	OMIM:616166	OMIM:616166
12	0.10674004256725311	ORPHA:3384	ORPHA:3384
13	0.10686048120260239	OMIM:610168	OMIM:610168
14	0.10690462589263916	ORPHA:1457	ORPHA:1457
15	0.11079162359237671	OMIM:613795	OMIM:613795
16	0.11193705350160599	OMIM:619825	OMIM:619825
17	0.11298932135105133	ORPHA:860	ORPHA:860
18	0.11344769597053528	ORPHA:1686	ORPHA:1686
19	0.11414071172475815	OMIM:619656	OMIM:619656
20	0.11543025821447372	ORPHA:99050	ORPHA:99050
21	0.11605612188577652	ORPHA:391665	ORPHA:391665
22	0.11659678816795349	OMIM:620067	OMIM:620067
23	0.11681465804576874	ORPHA:1330	ORPHA:1330
24	0.11684106290340424	OMIM:609192	OMIM:609192
25	0.11687428504228592	ORPHA:1455	ORPHA:1455
26	0.11702806502580643	OMIM:619329	OMIM:619329
27	0.1171325221657753	ORPHA:3093	ORPHA:3093
28	0.11731365323066711	ORPHA:284984	ORPHA:284984
29	0.11754187941551208	ORPHA:99094	ORPHA:99094
30	0.12020694464445114	OMIM:616749	OMIM:616749
31	0.12054921686649323	ORPHA:2299	ORPHA:2299
32	0.12069933861494064	OMIM:614816	OMIM:614816
33	0.12083497643470764	OMIM:615436	OMIM:615436
34	0.12106767296791077	OMIM:175050	OMIM:175050
35	0.12107729911804199	ORPHA:231160	ORPHA:231160
36	0.12140131741762161	ORPHA:363618	ORPHA:363618
37	0.12206460535526276	OMIM:614042	OMIM:614042
38	0.12266766279935837	ORPHA:98892	ORPHA:98892
39	0.12270361185073853	ORPHA:1461	ORPHA:1461
40	0.12288735061883926	OMIM:614980	OMIM:614980
41	0.12304317206144333	OMIM:614437	OMIM:614437
42	0.12353459745645523	OMIM:265380	OMIM:265380
43	0.12442949414253235	ORPHA:60030	ORPHA:60030
44	0.1244753897190094	ORPHA:36382	ORPHA:36382
45	0.12466762214899063	ORPHA:210122	ORPHA:210122
46	0.12470848113298416	OMIM:619472	OMIM:619472
47	0.12570182979106903	OMIM:609008	OMIM:609008
48	0.12632812559604645	ORPHA:3092	ORPHA:3092
49	0.12643741071224213	OMIM:604308	OMIM:604308
50	0.12644489109516144	ORPHA:2041	ORPHA:2041
51	0.12655101716518402	OMIM:212093	OMIM:212093
52	0.12689535319805145	OMIM:270100	OMIM:270100
53	0.12701889872550964	OMIM:208050	OMIM:208050
54	0.12705400586128235	OMIM:617478	OMIM:617478
55	0.12791948020458221	ORPHA:289601	ORPHA:289601
56	0.1286127269268036	OMIM:613780	OMIM:613780
57	0.12863323092460632	OMIM:618780	OMIM:618780
58	0.12911175191402435	ORPHA:980	ORPHA:980
59	0.1292106658220291	OMIM:610655	OMIM:610655
60	0.13044866919517517	ORPHA:392	ORPHA:392
61	0.13050775229930878	OMIM:606519	OMIM:606519
62	0.13056990504264832	ORPHA:85451	ORPHA:85451
63	0.13057483732700348	OMIM:300989	OMIM:300989
