rank	score	disease_name	disease_identifier
1	0.018764937296509743	ORPHA:70	ORPHA:70
2	0.019240720197558403	ORPHA:365	ORPHA:365
3	0.019539127126336098	ORPHA:98915	ORPHA:98915
4	0.020235903561115265	ORPHA:98913	ORPHA:98913
5	0.020977137610316277	ORPHA:2020	ORPHA:2020
6	0.021500246599316597	ORPHA:98914	ORPHA:98914
6	0.021500246599316597	ORPHA:590	ORPHA:590
8	0.02210179902613163	ORPHA:266	ORPHA:266
9	0.02220679633319378	OMIM:164310	OMIM:164310
10	0.02330119162797928	ORPHA:254361	ORPHA:254361
11	0.02347634918987751	OMIM:612954	OMIM:612954
12	0.02370462752878666	ORPHA:90117	ORPHA:90117
13	0.02378256618976593	OMIM:211530	OMIM:211530
14	0.023954346776008606	OMIM:614399	OMIM:614399
15	0.02414112351834774	OMIM:603689	OMIM:603689
16	0.024239646270871162	OMIM:617258	OMIM:617258
17	0.024551697075366974	ORPHA:258	ORPHA:258
18	0.024687055498361588	OMIM:310200	OMIM:310200
19	0.024692386388778687	OMIM:256030	OMIM:256030
20	0.024692557752132416	OMIM:617143	OMIM:617143
21	0.025040153414011	OMIM:620389	OMIM:620389
22	0.025109142065048218	OMIM:606071	OMIM:606071
23	0.025169944390654564	ORPHA:171439	ORPHA:171439
24	0.025196252390742302	ORPHA:86812	ORPHA:86812
25	0.025683214887976646	OMIM:620249	OMIM:620249
26	0.02592717483639717	OMIM:618414	OMIM:618414
27	0.02635381557047367	ORPHA:600	ORPHA:600
28	0.026665927842259407	OMIM:604320	OMIM:604320
29	0.026725703850388527	ORPHA:171436	ORPHA:171436
30	0.02674517035484314	ORPHA:98905	ORPHA:98905
31	0.026783041656017303	OMIM:232300	OMIM:232300
32	0.026834560558199883	OMIM:617239	OMIM:617239
33	0.026902800425887108	ORPHA:424107	ORPHA:424107
34	0.026921652257442474	ORPHA:352447	ORPHA:352447
35	0.026927132159471512	OMIM:254300	OMIM:254300
36	0.02711591310799122	OMIM:608810	OMIM:608810
37	0.02712027169764042	OMIM:161800	OMIM:161800
38	0.027182210236787796	ORPHA:308552	ORPHA:308552
39	0.027579445391893387	ORPHA:273	ORPHA:273
40	0.02760966122150421	ORPHA:98863	ORPHA:98863
41	0.027711208909749985	OMIM:617232	OMIM:617232
42	0.027817223221063614	OMIM:602771	OMIM:602771
43	0.0278262197971344	ORPHA:746	ORPHA:746
44	0.027959439903497696	ORPHA:171881	ORPHA:171881
45	0.027979418635368347	ORPHA:254892	ORPHA:254892
46	0.02800113521516323	OMIM:607155	OMIM:607155
47	0.02802818827331066	ORPHA:363623	ORPHA:363623
48	0.02816651202738285	ORPHA:178464	ORPHA:178464
49	0.02818218246102333	ORPHA:261	ORPHA:261
49	0.02818218246102333	ORPHA:98853	ORPHA:98853
51	0.028278164565563202	OMIM:618654	OMIM:618654
52	0.028349261730909348	OMIM:255320	OMIM:255320
53	0.028354600071907043	ORPHA:98897	ORPHA:98897
54	0.028396304696798325	ORPHA:324604	ORPHA:324604
55	0.028431009501218796	OMIM:253300	OMIM:253300
56	0.028469424694776535	ORPHA:254875	ORPHA:254875
57	0.028504129499197006	OMIM:619574	OMIM:619574
58	0.02854461967945099	ORPHA:169189	ORPHA:169189
59	0.028548171743750572	OMIM:615156	OMIM:615156
60	0.02860676869750023	OMIM:616720	OMIM:616720
61	0.028645144775509834	ORPHA:171442	ORPHA:171442
62	0.0287507064640522	OMIM:606612	OMIM:606612
63	0.028998963534832	OMIM:618811	OMIM:618811
64	0.029142631217837334	ORPHA:353327	ORPHA:353327
65	0.029162287712097168	OMIM:605809	OMIM:605809
66	0.029238250106573105	OMIM:619461	OMIM:619461
67	0.029289189726114273	OMIM:603034	OMIM:603034
68	0.029309121891856194	ORPHA:329336	ORPHA:329336
69	0.02938469685614109	ORPHA:352479	ORPHA:352479
70	0.029522478580474854	OMIM:607459	OMIM:607459
71	0.029559699818491936	OMIM:609285	OMIM:609285
72	0.029619179666042328	OMIM:251900	OMIM:251900
73	0.029667705297470093	OMIM:620011	OMIM:620011
74	0.02967994473874569	OMIM:610687	OMIM:610687
75	0.02971036545932293	ORPHA:99956	ORPHA:99956
76	0.02980632707476616	ORPHA:268	ORPHA:268
77	0.029887685552239418	ORPHA:157973	ORPHA:157973
78	0.02989410236477852	OMIM:255310	OMIM:255310
79	0.029927870258688927	ORPHA:98909	ORPHA:98909
80	0.02996220625936985	OMIM:255200	OMIM:255200
81	0.02998659759759903	ORPHA:610	ORPHA:610
82	0.030020948499441147	ORPHA:171433	ORPHA:171433
83	0.03005366027355194	OMIM:606070	OMIM:606070
84	0.03008953481912613	OMIM:613954	OMIM:613954
85	0.030142107978463173	OMIM:620161	OMIM:620161
86	0.030216403305530548	ORPHA:486815	ORPHA:486815
87	0.03022034652531147	ORPHA:98855	ORPHA:98855
88	0.030275311321020126	OMIM:258450	OMIM:258450
89	0.030281295999884605	OMIM:617066	OMIM:617066
90	0.030321689322590828	ORPHA:466768	ORPHA:466768
91	0.03053540736436844	OMIM:615959	OMIM:615959
92	0.030599558725953102	ORPHA:596	ORPHA:596
93	0.03064384125173092	OMIM:608931	OMIM:608931
94	0.030700188130140305	OMIM:619178	OMIM:619178
95	0.030762236565351486	OMIM:620285	OMIM:620285
96	0.030766837298870087	OMIM:616326	OMIM:616326
97	0.030918171629309654	ORPHA:2596	ORPHA:2596
98	0.030937623232603073	OMIM:608423	OMIM:608423
99	0.0309431329369545	OMIM:619566	OMIM:619566
100	0.031011901795864105	OMIM:181405	OMIM:181405
101	0.03101675771176815	ORPHA:1145	ORPHA:1145
102	0.031069517135620117	ORPHA:399058	ORPHA:399058
103	0.031074093654751778	ORPHA:329478	ORPHA:329478
104	0.03108442761003971	ORPHA:254854	ORPHA:254854
105	0.03112112171947956	OMIM:620351	OMIM:620351
106	0.031214214861392975	OMIM:255160	OMIM:255160
107	0.03158600255846977	OMIM:616479	OMIM:616479
108	0.03161007910966873	OMIM:300717	OMIM:300717
109	0.03162268176674843	OMIM:619042	OMIM:619042
110	0.031679488718509674	OMIM:615290	OMIM:615290
111	0.031773123890161514	OMIM:615084	OMIM:615084
112	0.03178219124674797	ORPHA:845	ORPHA:845
113	0.031801775097846985	OMIM:603511	OMIM:603511
114	0.03183905407786369	OMIM:254090	OMIM:254090
115	0.03184421360492706	ORPHA:26791	ORPHA:26791
116	0.03189779818058014	ORPHA:2912	ORPHA:2912
117	0.031961407512426376	ORPHA:238329	ORPHA:238329
118	0.03210299462080002	ORPHA:803	ORPHA:803
119	0.03217838704586029	OMIM:158900	OMIM:158900
120	0.03222500532865524	ORPHA:369840	ORPHA:369840
121	0.032235097140073776	ORPHA:98908	ORPHA:98908
122	0.03227141126990318	OMIM:157640	OMIM:157640
123	0.03228388726711273	OMIM:609284	OMIM:609284
124	0.03229120001196861	OMIM:160500	OMIM:160500
125	0.03232639655470848	OMIM:164300	OMIM:164300
126	0.032503172755241394	ORPHA:97244	ORPHA:97244
127	0.03250929340720177	OMIM:616322	OMIM:616322
128	0.03254297003149986	OMIM:181350	OMIM:181350
129	0.03254958614706993	OMIM:608930	OMIM:608930
130	0.03256535530090332	ORPHA:352470	ORPHA:352470
131	0.0325864776968956	ORPHA:663	ORPHA:663
132	0.03269684314727783	ORPHA:70472	ORPHA:70472
133	0.03272625431418419	OMIM:616539	OMIM:616539
134	0.032767415046691895	OMIM:620265	OMIM:620265
135	0.03280432149767876	OMIM:616325	OMIM:616325
136	0.03286414220929146	ORPHA:598	ORPHA:598
137	0.032925039529800415	ORPHA:17	ORPHA:17
138	0.03304625302553177	ORPHA:505395	ORPHA:505395
139	0.033069513738155365	ORPHA:171445	ORPHA:171445
140	0.03317780792713165	ORPHA:169186	ORPHA:169186
141	0.033216942101716995	OMIM:617114	OMIM:617114
142	0.03324243426322937	OMIM:310440	OMIM:310440
143	0.0333017036318779	OMIM:610717	OMIM:610717
144	0.03346261754631996	OMIM:617146	OMIM:617146
145	0.03356240689754486	ORPHA:52430	ORPHA:52430
146	0.03357311338186264	ORPHA:2590	ORPHA:2590
147	0.03360611945390701	OMIM:254210	OMIM:254210
148	0.033612895756959915	OMIM:616052	OMIM:616052
149	0.03363717347383499	OMIM:620278	OMIM:620278
150	0.03365018963813782	OMIM:616812	OMIM:616812
151	0.0336933434009552	OMIM:300580	OMIM:300580
152	0.03370741009712219	OMIM:255100	OMIM:255100
153	0.03371649235486984	ORPHA:333	ORPHA:333
154	0.033722639083862305	OMIM:230900	OMIM:230900
155	0.0337267629802227	OMIM:608358	OMIM:608358
156	0.03375401347875595	OMIM:159950	OMIM:159950
157	0.03377142921090126	ORPHA:254864	ORPHA:254864
158	0.03378177434206009	ORPHA:597	ORPHA:597
159	0.033805884420871735	ORPHA:435387	ORPHA:435387
160	0.03381631150841713	OMIM:620166	OMIM:620166
161	0.03382130712270737	OMIM:619519	OMIM:619519
162	0.03385096415877342	OMIM:607088	OMIM:607088
163	0.03395089879631996	ORPHA:99735	ORPHA:99735
164	0.03403978422284126	ORPHA:255210	ORPHA:255210
165	0.03410559520125389	OMIM:618578	OMIM:618578
166	0.034208156168460846	ORPHA:436271	ORPHA:436271
167	0.03423106297850609	OMIM:618228	OMIM:618228
168	0.03424052521586418	ORPHA:2942	ORPHA:2942
169	0.034290894865989685	OMIM:610978	OMIM:610978
170	0.03430992364883423	OMIM:609286	OMIM:609286
171	0.03434670343995094	OMIM:604801	OMIM:604801
172	0.034359853714704514	ORPHA:75840	ORPHA:75840
173	0.03442992642521858	OMIM:619482	OMIM:619482
174	0.03447005897760391	OMIM:616228	OMIM:616228
175	0.034485574811697006	ORPHA:171430	ORPHA:171430
176	0.034500788897275925	OMIM:255125	OMIM:255125
177	0.03454660251736641	OMIM:614299	OMIM:614299
178	0.03460947424173355	OMIM:609560	OMIM:609560
179	0.03469662740826607	OMIM:615512	OMIM:615512
180	0.03470616042613983	OMIM:616081	OMIM:616081
181	0.03475407138466835	OMIM:615348	OMIM:615348
182	0.0347786583006382	OMIM:616324	OMIM:616324
183	0.03479904681444168	OMIM:618222	OMIM:618222
184	0.03484054654836655	OMIM:301830	OMIM:301830
185	0.03484806790947914	OMIM:620386	OMIM:620386
186	0.03489528223872185	OMIM:616313	OMIM:616313
187	0.03493904322385788	OMIM:614653	OMIM:614653
188	0.034941744059324265	OMIM:613561	OMIM:613561
189	0.034942250698804855	ORPHA:97229	ORPHA:97229
190	0.03499147668480873	OMIM:619790	OMIM:619790
191	0.0350191630423069	OMIM:252010	OMIM:252010
192	0.03502421826124191	ORPHA:397744	ORPHA:397744
193	0.0350891575217247	ORPHA:99949	ORPHA:99949
194	0.035089801996946335	OMIM:615120	OMIM:615120
195	0.03510558605194092	OMIM:610505	OMIM:610505
196	0.03511533513665199	OMIM:616471	OMIM:616471
197	0.03519045189023018	OMIM:611067	OMIM:611067
198	0.03519093990325928	ORPHA:353	ORPHA:353
199	0.03520428016781807	OMIM:255600	OMIM:255600
200	0.035237133502960205	ORPHA:609	ORPHA:609
201	0.03526191785931587	OMIM:618356	OMIM:618356
202	0.03532777354121208	OMIM:616271	OMIM:616271
203	0.03535175323486328	OMIM:614707	OMIM:614707
204	0.03538258746266365	OMIM:300696	OMIM:300696
205	0.03541410341858864	OMIM:610131	OMIM:610131
206	0.035424359142780304	ORPHA:369847	ORPHA:369847
207	0.03545203059911728	ORPHA:99948	ORPHA:99948
208	0.035513266921043396	ORPHA:300605	ORPHA:300605
209	0.03552849963307381	OMIM:617519	OMIM:617519
210	0.03553371876478195	ORPHA:370968	ORPHA:370968
211	0.03553422540426254	OMIM:220110	OMIM:220110
212	0.0355396531522274	OMIM:500002	OMIM:500002
213	0.03557419404387474	ORPHA:42	ORPHA:42
214	0.03558653965592384	OMIM:601462	OMIM:601462
215	0.03558991104364395	OMIM:618065	OMIM:618065
216	0.035628627985715866	OMIM:613327	OMIM:613327
217	0.035630758851766586	OMIM:616867	OMIM:616867
218	0.035661786794662476	ORPHA:254886	ORPHA:254886
219	0.0356929674744606	OMIM:300816	OMIM:300816
220	0.03573574870824814	ORPHA:101085	ORPHA:101085
221	0.035748280584812164	OMIM:619216	OMIM:619216
222	0.03575392812490463	OMIM:617675	OMIM:617675
223	0.035786185413599014	ORPHA:1143	ORPHA:1143
224	0.035821475088596344	OMIM:160565	OMIM:160565
225	0.0358305387198925	ORPHA:576	ORPHA:576
226	0.035832978785037994	ORPHA:309162	ORPHA:309162
227	0.03586231544613838	ORPHA:466722	ORPHA:466722
228	0.03588493540883064	OMIM:617069	OMIM:617069
229	0.03596125543117523	OMIM:615356	OMIM:615356
230	0.0360293835401535	ORPHA:206436	ORPHA:206436
231	0.03604164347052574	OMIM:615033	OMIM:615033
232	0.03604377433657646	OMIM:616321	OMIM:616321
233	0.03605066239833832	ORPHA:496641	ORPHA:496641
234	0.03606189414858818	ORPHA:457050	ORPHA:457050
235	0.03606989234685898	OMIM:160150	OMIM:160150
236	0.03609015420079231	OMIM:611588	OMIM:611588
237	0.03613542765378952	ORPHA:276435	ORPHA:276435
238	0.03614731505513191	ORPHA:3206	ORPHA:3206
239	0.03614769130945206	ORPHA:280210	ORPHA:280210
240	0.03615797683596611	OMIM:615418	OMIM:615418
241	0.036170072853565216	ORPHA:3208	ORPHA:3208
242	0.036197055131196976	OMIM:619967	OMIM:619967
243	0.03619708865880966	OMIM:618637	OMIM:618637
244	0.036200542002916336	OMIM:607855	OMIM:607855
245	0.03626114875078201	ORPHA:732	ORPHA:732
246	0.036271631717681885	OMIM:617336	OMIM:617336
247	0.036299195140600204	OMIM:601419	OMIM:601419
248	0.03631659224629402	OMIM:617760	OMIM:617760
249	0.03632558509707451	OMIM:615490	OMIM:615490
250	0.03638116270303726	OMIM:612073	OMIM:612073
251	0.036382708698511124	ORPHA:682	ORPHA:682
252	0.03638601303100586	OMIM:616688	OMIM:616688
253	0.03639080747961998	OMIM:611890	OMIM:611890
254	0.03641790151596069	OMIM:616866	OMIM:616866
255	0.03645140677690506	ORPHA:79138	ORPHA:79138
256	0.036468811333179474	OMIM:600462	OMIM:600462
257	0.036469779908657074	OMIM:605637	OMIM:605637
258	0.036485668271780014	OMIM:617087	OMIM:617087
259	0.03649606928229332	OMIM:618253	OMIM:618253
260	0.036517832428216934	ORPHA:438213	ORPHA:438213
261	0.0365380197763443	OMIM:618426	OMIM:618426
262	0.03655780106782913	ORPHA:168572	ORPHA:168572
263	0.03656639903783798	ORPHA:99947	ORPHA:99947
264	0.036569029092788696	ORPHA:216866	ORPHA:216866
265	0.03661775216460228	ORPHA:521411	ORPHA:521411
266	0.036642104387283325	ORPHA:63273	ORPHA:63273
267	0.03665656968951225	OMIM:160900	OMIM:160900
268	0.03666115552186966	OMIM:618484	OMIM:618484
269	0.03666362538933754	OMIM:618247	OMIM:618247
270	0.036684706807136536	ORPHA:3101	ORPHA:3101
271	0.03669878467917442	ORPHA:178478	ORPHA:178478
272	0.03672146797180176	OMIM:609015	OMIM:609015
273	0.036744195967912674	ORPHA:79139	ORPHA:79139
274	0.03675593435764313	ORPHA:468699	ORPHA:468699
275	0.0367899090051651	OMIM:619518	OMIM:619518
276	0.03679244592785835	ORPHA:178475	ORPHA:178475
