rank	score	disease_name	disease_identifier
1	0.013437982648611069	OMIM:617506	OMIM:617506
2	0.01359157171100378	OMIM:601088	OMIM:601088
3	0.013799614273011684	OMIM:605321	OMIM:605321
4	0.01416606642305851	OMIM:613458	OMIM:613458
5	0.014423271641135216	OMIM:244450	OMIM:244450
6	0.014489562250673771	OMIM:610759	OMIM:610759
7	0.014715504832565784	ORPHA:363659	ORPHA:363659
8	0.015094330534338951	OMIM:619493	OMIM:619493
9	0.015123814344406128	OMIM:619325	OMIM:619325
10	0.015199877321720123	OMIM:612530	OMIM:612530
11	0.01528193149715662	OMIM:615668	OMIM:615668
12	0.01533843670040369	OMIM:613792	OMIM:613792
13	0.015419567935168743	ORPHA:261337	ORPHA:261337
14	0.015496987849473953	OMIM:604314	OMIM:604314
15	0.015570537187159061	OMIM:614114	OMIM:614114
16	0.01580863445997238	OMIM:123790	OMIM:123790
17	0.015880955383181572	ORPHA:357001	ORPHA:357001
18	0.015958763659000397	OMIM:309500	OMIM:309500
19	0.01600158028304577	OMIM:607812	OMIM:607812
20	0.016051989048719406	ORPHA:261290	ORPHA:261290
21	0.016057593747973442	OMIM:618332	OMIM:618332
22	0.016154861077666283	OMIM:243310	OMIM:243310
23	0.016188405454158783	OMIM:612863	OMIM:612863
24	0.016190947964787483	OMIM:617694	OMIM:617694
25	0.01626913994550705	OMIM:611553	OMIM:611553
26	0.01629282720386982	OMIM:618950	OMIM:618950
27	0.016304578632116318	ORPHA:2995	ORPHA:2995
28	0.016307324171066284	OMIM:157980	OMIM:157980
29	0.016321972012519836	OMIM:611174	OMIM:611174
30	0.016337476670742035	OMIM:616734	OMIM:616734
31	0.01638912409543991	OMIM:618828	OMIM:618828
32	0.016518626362085342	OMIM:272950	OMIM:272950
33	0.016526345163583755	OMIM:618622	OMIM:618622
34	0.016560275107622147	ORPHA:1340	ORPHA:1340
35	0.016565043479204178	OMIM:619841	OMIM:619841
36	0.01661316677927971	ORPHA:397941	ORPHA:397941
37	0.016640890389680862	OMIM:158170	OMIM:158170
38	0.01666409708559513	OMIM:605627	OMIM:605627
39	0.016667764633893967	OMIM:148050	OMIM:148050
40	0.01667059399187565	ORPHA:261120	ORPHA:261120
41	0.016722628846764565	OMIM:619720	OMIM:619720
42	0.016784682869911194	OMIM:619087	OMIM:619087
43	0.016825154423713684	ORPHA:1913	ORPHA:1913
44	0.016825474798679352	OMIM:619312	OMIM:619312
45	0.016828397288918495	OMIM:620098	OMIM:620098
46	0.0168318934738636	OMIM:612474	OMIM:612474
47	0.016928911209106445	ORPHA:2701	ORPHA:2701
48	0.016976995393633842	OMIM:619383	OMIM:619383
49	0.016993097960948944	OMIM:617260	OMIM:617260
50	0.016999363899230957	OMIM:619745	OMIM:619745
51	0.01699957624077797	OMIM:617360	OMIM:617360
52	0.017048051580786705	OMIM:613451	OMIM:613451
53	0.017051154747605324	OMIM:614609	OMIM:614609
54	0.017065012827515602	OMIM:613563	OMIM:613563
55	0.017100078985095024	OMIM:618027	OMIM:618027
56	0.017117809504270554	OMIM:230740	OMIM:230740
57	0.017135832458734512	OMIM:614701	OMIM:614701
58	0.017184454947710037	OMIM:303600	OMIM:303600
