rank	score	disease_name	disease_identifier
1	0.015313410200178623	ORPHA:652	ORPHA:652
2	0.015500515699386597	ORPHA:913	ORPHA:913
3	0.015532503835856915	ORPHA:276152	ORPHA:276152
4	0.018724186345934868	ORPHA:97289	ORPHA:97289
5	0.02359219640493393	OMIM:131100	OMIM:131100
6	0.024740463122725487	ORPHA:97282	ORPHA:97282
7	0.024977892637252808	ORPHA:653	ORPHA:653
8	0.027699876576662064	ORPHA:97261	ORPHA:97261
9	0.02800687961280346	OMIM:171400	OMIM:171400
10	0.030008645728230476	ORPHA:97283	ORPHA:97283
11	0.0300671998411417	ORPHA:99880	ORPHA:99880
12	0.03032049536705017	ORPHA:143	ORPHA:143
13	0.030365727841854095	ORPHA:97280	ORPHA:97280
14	0.03166642040014267	ORPHA:139411	ORPHA:139411
15	0.03212375193834305	OMIM:610755	OMIM:610755
16	0.0322224386036396	ORPHA:97278	ORPHA:97278
17	0.03225378692150116	ORPHA:29072	ORPHA:29072
18	0.03225855529308319	ORPHA:892	ORPHA:892
19	0.03251880034804344	ORPHA:99889	ORPHA:99889
20	0.03275146335363388	ORPHA:189427	ORPHA:189427
21	0.03275807574391365	ORPHA:100083	ORPHA:100083
22	0.033064745366573334	ORPHA:1332	ORPHA:1332
23	0.033162783831357956	ORPHA:370348	ORPHA:370348
24	0.03347501531243324	OMIM:115310	OMIM:115310
25	0.03362170234322548	ORPHA:251937	ORPHA:251937
26	0.033915016800165176	ORPHA:231632	ORPHA:231632
27	0.03405176103115082	ORPHA:1359	ORPHA:1359
28	0.03406747803092003	ORPHA:100093	ORPHA:100093
29	0.03471696004271507	ORPHA:300385	ORPHA:300385
30	0.03475069999694824	ORPHA:403	ORPHA:403
31	0.03509640321135521	ORPHA:100085	ORPHA:100085
32	0.0352080874145031	ORPHA:404	ORPHA:404
33	0.03618555888533592	ORPHA:99818	ORPHA:99818
34	0.03626750782132149	OMIM:193300	OMIM:193300
35	0.03652529790997505	ORPHA:91354	ORPHA:91354
36	0.03693533316254616	ORPHA:562	ORPHA:562
37	0.0369860902428627	ORPHA:199244	ORPHA:199244
38	0.03709476813673973	ORPHA:91351	ORPHA:91351
39	0.037287674844264984	OMIM:102200	OMIM:102200
40	0.037718020379543304	ORPHA:440437	ORPHA:440437
41	0.037827759981155396	ORPHA:95613	ORPHA:95613
42	0.037851668894290924	ORPHA:276621	ORPHA:276621
43	0.03805163502693176	ORPHA:95513	ORPHA:95513
44	0.038343559950590134	ORPHA:90790	ORPHA:90790
45	0.03846567124128342	ORPHA:85138	ORPHA:85138
46	0.03873661160469055	OMIM:256700	OMIM:256700
47	0.039108481258153915	ORPHA:100075	ORPHA:100075
48	0.03962813317775726	OMIM:605373	OMIM:605373
