rank	score	disease_name	disease_identifier
1	0.20620769262313843	ORPHA:1429	ORPHA:1429
2	0.21023213863372803	ORPHA:228169	ORPHA:228169
3	0.21096855401992798	ORPHA:71519	ORPHA:71519
4	0.21158194541931152	ORPHA:256	ORPHA:256
5	0.2132461667060852	ORPHA:238606	ORPHA:238606
6	0.2145722508430481	ORPHA:279882	ORPHA:279882
7	0.2158195972442627	OMIM:300082	OMIM:300082
7	0.2158195972442627	OMIM:158280	OMIM:158280
9	0.21592110395431519	ORPHA:401805	ORPHA:401805
10	0.2171381115913391	OMIM:209100	OMIM:209100
