rank	score	disease_name	disease_identifier
1	0.036613982170820236	OMIM:139090	OMIM:139090
2	0.03702416270971298	ORPHA:75564	ORPHA:75564
3	0.03879079222679138	ORPHA:86841	ORPHA:86841
4	0.041088350117206573	ORPHA:721	ORPHA:721
5	0.04205744341015816	OMIM:188000	OMIM:188000
6	0.042706288397312164	ORPHA:521	ORPHA:521
7	0.04318096861243248	OMIM:601399	OMIM:601399
8	0.04332302510738373	ORPHA:231393	ORPHA:231393
9	0.04702497646212578	OMIM:187800	OMIM:187800
10	0.047798722982406616	ORPHA:3318	ORPHA:3318
11	0.048849787563085556	OMIM:615193	OMIM:615193
12	0.04899142310023308	OMIM:619041	OMIM:619041
13	0.05021468177437782	ORPHA:824	ORPHA:824
14	0.05063798651099205	OMIM:155100	OMIM:155100
15	0.05087706446647644	ORPHA:238459	ORPHA:238459
16	0.05088060349225998	ORPHA:88	ORPHA:88
17	0.05112261697649956	ORPHA:86843	ORPHA:86843
18	0.051549896597862244	OMIM:173420	OMIM:173420
19	0.05168300122022629	OMIM:187900	OMIM:187900
20	0.05297531932592392	OMIM:231200	OMIM:231200
21	0.05348866805434227	OMIM:231095	OMIM:231095
22	0.05349499732255936	OMIM:608404	OMIM:608404
23	0.053522467613220215	OMIM:314050	OMIM:314050
24	0.05362774804234505	ORPHA:86839	ORPHA:86839
25	0.05383088067173958	OMIM:617441	OMIM:617441
26	0.05418263003230095	OMIM:300835	OMIM:300835
27	0.05452445521950722	OMIM:263300	OMIM:263300
28	0.055695146322250366	OMIM:604498	OMIM:604498
29	0.05639560520648956	ORPHA:98826	ORPHA:98826
30	0.05733300372958183	OMIM:616937	OMIM:616937
31	0.05759633705019951	OMIM:616176	OMIM:616176
32	0.057608213275671005	ORPHA:517	ORPHA:517
33	0.05775691568851471	OMIM:133180	OMIM:133180
34	0.05872969329357147	OMIM:273900	OMIM:273900
35	0.05873621627688408	OMIM:153670	OMIM:153670
36	0.058742374181747437	ORPHA:231401	ORPHA:231401
37	0.05960832163691521	OMIM:601709	OMIM:601709
