rank	score	disease_name	disease_identifier
1	0.21328550577163696	OMIM:208158	OMIM:208158
2	0.21368920803070068	ORPHA:363454	ORPHA:363454
3	0.21380209922790527	OMIM:159580	OMIM:159580
4	0.2155490517616272	ORPHA:238606	ORPHA:238606
5	0.21580207347869873	ORPHA:399096	ORPHA:399096
6	0.2160409688949585	ORPHA:63273	ORPHA:63273
7	0.21605682373046875	OMIM:158590	OMIM:158590
8	0.21644961833953857	ORPHA:45448	ORPHA:45448
9	0.21796351671218872	OMIM:607641	OMIM:607641
10	0.21860641241073608	ORPHA:482601	ORPHA:482601
