rank	score	disease_name	disease_identifier
1	0.0169516634196043	ORPHA:1318	ORPHA:1318
2	0.017002658918499947	OMIM:615630	OMIM:615630
3	0.017587896436452866	OMIM:210710	OMIM:210710
4	0.018153145909309387	ORPHA:1860	ORPHA:1860
5	0.018244778737425804	OMIM:208500	OMIM:208500
6	0.018531130626797676	ORPHA:397715	ORPHA:397715
7	0.018918190151453018	ORPHA:93274	ORPHA:93274
8	0.0190570130944252	ORPHA:1052	ORPHA:1052
9	0.019414708018302917	ORPHA:373	ORPHA:373
10	0.019531715661287308	OMIM:269860	OMIM:269860
11	0.019695281982421875	OMIM:270400	OMIM:270400
12	0.019776979461312294	ORPHA:2655	ORPHA:2655
13	0.019857745617628098	ORPHA:93271	ORPHA:93271
14	0.01991111785173416	OMIM:263520	OMIM:263520
15	0.020114419981837273	ORPHA:99646	ORPHA:99646
16	0.020136259496212006	ORPHA:744	ORPHA:744
17	0.020142540335655212	ORPHA:314588	ORPHA:314588
18	0.020212864503264427	ORPHA:1842	ORPHA:1842
19	0.020243631675839424	ORPHA:99776	ORPHA:99776
20	0.020307624712586403	ORPHA:84	ORPHA:84
21	0.0203256756067276	ORPHA:3310	ORPHA:3310
22	0.020374195650219917	ORPHA:175	ORPHA:175
23	0.02047368697822094	ORPHA:974	ORPHA:974
24	0.020504973828792572	ORPHA:1865	ORPHA:1865
25	0.02060064673423767	ORPHA:666	ORPHA:666
26	0.020678449422121048	OMIM:614376	OMIM:614376
27	0.020717576146125793	OMIM:266920	OMIM:266920
28	0.020729510113596916	ORPHA:116	ORPHA:116
29	0.020781584084033966	ORPHA:818	ORPHA:818
30	0.020858414471149445	ORPHA:2092	ORPHA:2092
31	0.02086087502539158	ORPHA:508533	ORPHA:508533
32	0.020930802449584007	ORPHA:79255	ORPHA:79255
33	0.020984090864658356	ORPHA:798	ORPHA:798
34	0.020989269018173218	OMIM:617866	OMIM:617866
35	0.021176565438508987	ORPHA:567	ORPHA:567
36	0.021190503612160683	ORPHA:280	ORPHA:280
37	0.021249935030937195	ORPHA:79328	ORPHA:79328
38	0.02125275693833828	OMIM:252500	OMIM:252500
39	0.021282654255628586	OMIM:215140	OMIM:215140
40	0.021359845995903015	ORPHA:1606	ORPHA:1606
