rank	score	disease_name	disease_identifier
1	0.010905646719038486	ORPHA:508533	ORPHA:508533
2	0.01275672484189272	ORPHA:354	ORPHA:354
3	0.012884499505162239	OMIM:618143	OMIM:618143
4	0.012891421094536781	OMIM:617237	OMIM:617237
5	0.013112768530845642	ORPHA:521426	ORPHA:521426
6	0.013255677185952663	ORPHA:488632	ORPHA:488632
7	0.01334439404308796	OMIM:618162	OMIM:618162
8	0.013407135382294655	ORPHA:356961	ORPHA:356961
9	0.013430505059659481	ORPHA:79329	ORPHA:79329
10	0.01376411970704794	OMIM:617527	OMIM:617527
11	0.013787960633635521	ORPHA:33364	ORPHA:33364
12	0.013847257941961288	ORPHA:456312	ORPHA:456312
13	0.013952570967376232	ORPHA:1445	ORPHA:1445
14	0.014007031917572021	ORPHA:251009	ORPHA:251009
15	0.014055314473807812	OMIM:601110	OMIM:601110
16	0.014161976985633373	OMIM:619503	OMIM:619503
17	0.014225262217223644	ORPHA:821	ORPHA:821
18	0.014258688315749168	ORPHA:3455	ORPHA:3455
19	0.014293842948973179	OMIM:617425	OMIM:617425
20	0.014308354817330837	OMIM:608799	OMIM:608799
21	0.014312106184661388	ORPHA:544503	ORPHA:544503
22	0.014358250424265862	ORPHA:1606	ORPHA:1606
23	0.014371740631759167	ORPHA:86309	ORPHA:86309
24	0.014441721141338348	OMIM:230500	OMIM:230500
25	0.014448228292167187	ORPHA:363958	ORPHA:363958
25	0.014448228292167187	ORPHA:363965	ORPHA:363965
27	0.014492662623524666	OMIM:606056	OMIM:606056
28	0.014510834589600563	OMIM:300998	OMIM:300998
29	0.014574248343706131	OMIM:617773	OMIM:617773
30	0.014597075060009956	OMIM:169400	OMIM:169400
31	0.014615729451179504	OMIM:619475	OMIM:619475
32	0.014620653353631496	OMIM:230000	OMIM:230000
33	0.014674952253699303	ORPHA:10	ORPHA:10
34	0.014680294319987297	OMIM:618891	OMIM:618891
35	0.014738921076059341	OMIM:214150	OMIM:214150
36	0.014789363369345665	OMIM:300868	OMIM:300868
37	0.014858902432024479	OMIM:616541	OMIM:616541
38	0.014890164136886597	ORPHA:51	ORPHA:51
39	0.01491954829543829	ORPHA:96092	ORPHA:96092
40	0.014940222725272179	OMIM:301072	OMIM:301072
41	0.01513218879699707	OMIM:616354	OMIM:616354
42	0.015163842588663101	ORPHA:280071	ORPHA:280071
43	0.015186991542577744	ORPHA:397709	ORPHA:397709
44	0.015191484242677689	OMIM:300354	OMIM:300354
45	0.015279287472367287	OMIM:300896	OMIM:300896
46	0.015293871983885765	OMIM:270400	OMIM:270400
47	0.015312137082219124	OMIM:617303	OMIM:617303
48	0.015313776209950447	ORPHA:79324	ORPHA:79324
49	0.01534193940460682	ORPHA:818	ORPHA:818
50	0.015356487594544888	OMIM:259720	OMIM:259720
51	0.01538692694157362	ORPHA:352490	ORPHA:352490
52	0.015430049039423466	ORPHA:79255	ORPHA:79255
53	0.01545462105423212	OMIM:619229	OMIM:619229
54	0.015459470450878143	OMIM:614261	OMIM:614261
55	0.015489451587200165	ORPHA:2152	ORPHA:2152
56	0.01553667988628149	ORPHA:235	ORPHA:235
57	0.015570181421935558	OMIM:619648	OMIM:619648
58	0.015580754727125168	ORPHA:268261	ORPHA:268261
59	0.015652786940336227	OMIM:618186	OMIM:618186
60	0.015657968819141388	OMIM:616809	OMIM:616809
61	0.01566152833402157	ORPHA:2754	ORPHA:2754
62	0.01566706784069538	ORPHA:314389	ORPHA:314389
63	0.015682650730013847	OMIM:176270	OMIM:176270
64	0.015692763030529022	ORPHA:488642	ORPHA:488642
65	0.015698786824941635	OMIM:252930	OMIM:252930
66	0.015729449689388275	ORPHA:96263	ORPHA:96263
67	0.01573146879673004	OMIM:615673	OMIM:615673
68	0.015756109729409218	OMIM:614961	OMIM:614961
69	0.015783056616783142	ORPHA:904	ORPHA:904
70	0.0157980564981699	OMIM:208400	OMIM:208400
71	0.01580461487174034	OMIM:277590	OMIM:277590
72	0.015843963250517845	ORPHA:199	ORPHA:199
73	0.01586339995265007	OMIM:618076	OMIM:618076
74	0.015866810455918312	OMIM:615574	OMIM:615574
75	0.015872925519943237	ORPHA:567	ORPHA:567
76	0.015875505283474922	OMIM:617050	OMIM:617050
77	0.015881212428212166	OMIM:216400	OMIM:216400
78	0.015881966799497604	ORPHA:1001	ORPHA:1001
79	0.015900930389761925	ORPHA:404448	ORPHA:404448
80	0.01590244099497795	ORPHA:369837	ORPHA:369837
81	0.015905793756246567	ORPHA:819	ORPHA:819
82	0.015911102294921875	OMIM:618268	OMIM:618268
83	0.01591743901371956	ORPHA:353298	ORPHA:353298
84	0.015939010307192802	OMIM:607906	OMIM:607906
85	0.015951527282595634	ORPHA:79322	ORPHA:79322
86	0.015956176444888115	ORPHA:99226	ORPHA:99226
86	0.015956176444888115	ORPHA:99228	ORPHA:99228
86	0.015956176444888115	ORPHA:881	ORPHA:881
86	0.015956176444888115	ORPHA:99413	ORPHA:99413
90	0.015967797487974167	OMIM:616263	OMIM:616263
91	0.015994857996702194	ORPHA:309282	ORPHA:309282
92	0.015995396301150322	OMIM:616651	OMIM:616651
93	0.01599600538611412	OMIM:300884	OMIM:300884
94	0.01613275706768036	OMIM:612949	OMIM:612949
95	0.016138071194291115	OMIM:619092	OMIM:619092
96	0.01614462211728096	ORPHA:581	ORPHA:581
97	0.016157494857907295	ORPHA:363528	ORPHA:363528
98	0.016170188784599304	OMIM:220111	OMIM:220111
99	0.016185274347662926	OMIM:252940	OMIM:252940
100	0.01618918962776661	ORPHA:2044	ORPHA:2044
101	0.016193455085158348	OMIM:300534	OMIM:300534
102	0.016206001862883568	ORPHA:79318	ORPHA:79318
103	0.016223520040512085	ORPHA:2636	ORPHA:2636
104	0.016231020912528038	ORPHA:168577	ORPHA:168577
105	0.016260504722595215	OMIM:619708	OMIM:619708
106	0.01626572571694851	ORPHA:2065	ORPHA:2065
107	0.016285035759210587	OMIM:614969	OMIM:614969
108	0.01628628745675087	OMIM:619777	OMIM:619777
109	0.01628986746072769	ORPHA:79321	ORPHA:79321
110	0.01629958674311638	OMIM:614407	OMIM:614407
111	0.01629992574453354	OMIM:617798	OMIM:617798
112	0.01631002500653267	ORPHA:438213	ORPHA:438213
113	0.016310270875692368	ORPHA:506358	ORPHA:506358
114	0.01631193421781063	OMIM:259050	OMIM:259050
115	0.01633499562740326	OMIM:252500	OMIM:252500
116	0.016340628266334534	ORPHA:209905	ORPHA:209905
117	0.016344444826245308	ORPHA:481152	ORPHA:481152
118	0.016347821801900864	OMIM:609180	OMIM:609180
119	0.016352640464901924	OMIM:608779	OMIM:608779
120	0.01637120731174946	OMIM:300523	OMIM:300523
121	0.016374891623854637	ORPHA:3306	ORPHA:3306
122	0.016377689316868782	ORPHA:353277	ORPHA:353277
122	0.016377689316868782	ORPHA:353284	ORPHA:353284
124	0.016393693163990974	ORPHA:96264	ORPHA:96264
125	0.01640874519944191	OMIM:615471	OMIM:615471
126	0.01641148328781128	OMIM:616260	OMIM:616260
127	0.01642206311225891	OMIM:150230	OMIM:150230
128	0.01642545312643051	ORPHA:459070	ORPHA:459070
129	0.016425922513008118	OMIM:616817	OMIM:616817
130	0.016444027423858643	OMIM:182290	OMIM:182290
131	0.016444755718111992	ORPHA:502423	ORPHA:502423
132	0.01645757630467415	OMIM:251300	OMIM:251300
133	0.01645968109369278	OMIM:615547	OMIM:615547
134	0.01649804413318634	OMIM:219150	OMIM:219150
135	0.01652318239212036	ORPHA:3310	ORPHA:3310
136	0.016523901373147964	OMIM:608776	OMIM:608776
137	0.016542600467801094	OMIM:214110	OMIM:214110
138	0.016560466960072517	OMIM:133540	OMIM:133540
139	0.0165900606662035	ORPHA:800	ORPHA:800
140	0.016590679064393044	OMIM:617595	OMIM:617595
141	0.016623718664050102	OMIM:606232	OMIM:606232
142	0.016627684235572815	ORPHA:101000	ORPHA:101000
143	0.016648543998599052	ORPHA:250989	ORPHA:250989
144	0.016655730083584785	OMIM:616271	OMIM:616271
145	0.016660813242197037	OMIM:608093	OMIM:608093
146	0.016665643081068993	ORPHA:2072	ORPHA:2072
147	0.016672618687152863	OMIM:614576	OMIM:614576
148	0.01669362746179104	ORPHA:254346	ORPHA:254346
149	0.016697926446795464	OMIM:617675	OMIM:617675
150	0.01673300936818123	ORPHA:1855	ORPHA:1855
151	0.016750028356909752	ORPHA:464306	ORPHA:464306
152	0.016762273386120796	ORPHA:847	ORPHA:847
153	0.01676415652036667	OMIM:618947	OMIM:618947
154	0.016773130744695663	ORPHA:349	ORPHA:349
155	0.016773348674178123	OMIM:619576	OMIM:619576
156	0.016774246469140053	OMIM:618367	OMIM:618367
157	0.016781287267804146	OMIM:617201	OMIM:617201
158	0.016786901280283928	OMIM:212065	OMIM:212065
159	0.016787292435765266	OMIM:301056	OMIM:301056
160	0.016797499731183052	OMIM:235510	OMIM:235510
161	0.01680023968219757	OMIM:209900	OMIM:209900
162	0.0168191846460104	OMIM:261515	OMIM:261515
163	0.016830716282129288	ORPHA:648	ORPHA:648
164	0.01684606820344925	ORPHA:96121	ORPHA:96121
165	0.01686403900384903	OMIM:619641	OMIM:619641
166	0.016893746331334114	ORPHA:97297	ORPHA:97297
167	0.016910623263026656	OMIM:620316	OMIM:620316
168	0.016921311616897583	OMIM:616364	OMIM:616364
169	0.01692351885139942	OMIM:616716	OMIM:616716
170	0.016940761357545853	OMIM:616682	OMIM:616682
171	0.01696440577507019	OMIM:617537	OMIM:617537
172	0.01701517589390278	OMIM:614866	OMIM:614866
173	0.017051801085472107	OMIM:617988	OMIM:617988
174	0.01706933043897152	ORPHA:1466	ORPHA:1466
175	0.01707778498530388	ORPHA:1675	ORPHA:1675
176	0.017113422974944115	OMIM:617807	OMIM:617807
177	0.01711401343345642	ORPHA:371364	ORPHA:371364
178	0.017129957675933838	ORPHA:357058	ORPHA:357058
179	0.01713108830153942	ORPHA:505248	ORPHA:505248
180	0.017138009890913963	ORPHA:85282	ORPHA:85282
181	0.017138663679361343	OMIM:619124	OMIM:619124
182	0.01714557595551014	OMIM:300966	OMIM:300966
183	0.017158448696136475	OMIM:618087	OMIM:618087
184	0.01716170832514763	ORPHA:50810	ORPHA:50810
185	0.017164045944809914	OMIM:300934	OMIM:300934
186	0.017171084880828857	OMIM:210710	OMIM:210710
187	0.017173387110233307	OMIM:314580	OMIM:314580
188	0.01717349700629711	ORPHA:505237	ORPHA:505237
189	0.01717393659055233	OMIM:617062	OMIM:617062
190	0.01718282140791416	OMIM:617164	OMIM:617164
191	0.017188139259815216	ORPHA:163746	ORPHA:163746
192	0.017189284786581993	OMIM:300243	OMIM:300243
193	0.017194166779518127	OMIM:280000	OMIM:280000
194	0.017203519120812416	OMIM:619121	OMIM:619121
195	0.017207659780979156	ORPHA:1465	ORPHA:1465
196	0.017208822071552277	OMIM:614207	OMIM:614207
197	0.01721843332052231	OMIM:615802	OMIM:615802
198	0.017225824296474457	ORPHA:496641	ORPHA:496641
199	0.01722707226872444	ORPHA:1052	ORPHA:1052
200	0.017232496291399002	OMIM:614457	OMIM:614457
201	0.017240647226572037	ORPHA:500150	ORPHA:500150
202	0.01724814809858799	OMIM:139210	OMIM:139210
203	0.017249973490834236	ORPHA:457485	ORPHA:457485
204	0.01725124381482601	OMIM:619297	OMIM:619297
205	0.017251335084438324	OMIM:620194	OMIM:620194
206	0.01726035587489605	ORPHA:353281	ORPHA:353281
207	0.01726551167666912	ORPHA:319182	ORPHA:319182
208	0.01727057620882988	OMIM:615656	OMIM:615656
209	0.017294883728027344	OMIM:619488	OMIM:619488
210	0.017301663756370544	ORPHA:834	ORPHA:834
211	0.01732260175049305	OMIM:612015	OMIM:612015
212	0.01733744516968727	OMIM:611890	OMIM:611890
213	0.017341986298561096	OMIM:620029	OMIM:620029
214	0.01735905557870865	OMIM:610758	OMIM:610758
215	0.017360839992761612	OMIM:617193	OMIM:617193
216	0.017372244969010353	OMIM:260565	OMIM:260565
217	0.017399601638317108	ORPHA:373	ORPHA:373
218	0.017404217272996902	ORPHA:329178	ORPHA:329178
219	0.017413688823580742	ORPHA:79325	ORPHA:79325
220	0.017420753836631775	OMIM:620330	OMIM:620330
221	0.017444036900997162	ORPHA:783	ORPHA:783
222	0.017460910603404045	OMIM:618006	OMIM:618006
223	0.017467599362134933	ORPHA:228402	ORPHA:228402
