rank	score	disease_name	disease_identifier
1	0.018047679215669632	ORPHA:93473	ORPHA:93473
2	0.018693380057811737	ORPHA:505248	ORPHA:505248
3	0.01911180652678013	ORPHA:567	ORPHA:567
4	0.019202444702386856	OMIM:619488	OMIM:619488
5	0.01958293281495571	ORPHA:93	ORPHA:93
6	0.01973842829465866	OMIM:253200	OMIM:253200
7	0.019803183153271675	ORPHA:2136	ORPHA:2136
8	0.019897622987627983	ORPHA:955	ORPHA:955
9	0.0199388787150383	ORPHA:280	ORPHA:280
10	0.0200068149715662	ORPHA:579	ORPHA:579
11	0.020056800916790962	ORPHA:3310	ORPHA:3310
12	0.020395303145051003	ORPHA:904	ORPHA:904
13	0.020457694306969643	ORPHA:453499	ORPHA:453499
14	0.020473893731832504	ORPHA:175	ORPHA:175
15	0.020490234717726707	OMIM:252500	OMIM:252500
16	0.020665613934397697	OMIM:253220	OMIM:253220
17	0.02082858234643936	ORPHA:217093	ORPHA:217093
18	0.02083939127624035	ORPHA:352665	ORPHA:352665
18	0.02083939127624035	ORPHA:453504	ORPHA:453504
20	0.020876087248325348	ORPHA:534	ORPHA:534
21	0.02088164910674095	OMIM:617303	OMIM:617303
22	0.020886078476905823	OMIM:208400	OMIM:208400
23	0.020927419885993004	OMIM:618440	OMIM:618440
24	0.02109481766819954	ORPHA:217085	ORPHA:217085
25	0.021113187074661255	OMIM:619472	OMIM:619472
26	0.02112312987446785	ORPHA:61	ORPHA:61
27	0.021151365712285042	ORPHA:7	ORPHA:7
28	0.02119697816669941	ORPHA:2637	ORPHA:2637
29	0.02120368182659149	ORPHA:583	ORPHA:583
30	0.021385062485933304	OMIM:607014	OMIM:607014
31	0.02139071188867092	ORPHA:798	ORPHA:798
32	0.021425405517220497	ORPHA:666	ORPHA:666
33	0.021451886743307114	ORPHA:79328	ORPHA:79328
34	0.02149030938744545	ORPHA:818	ORPHA:818
35	0.02159511111676693	ORPHA:444077	ORPHA:444077
36	0.02161741815507412	OMIM:602535	OMIM:602535
37	0.0216195210814476	ORPHA:261552	ORPHA:261552
38	0.021656055003404617	ORPHA:84	ORPHA:84
39	0.021689852699637413	ORPHA:261537	ORPHA:261537
40	0.021695563569664955	ORPHA:96170	ORPHA:96170
41	0.02169729396700859	ORPHA:508533	ORPHA:508533
42	0.021698690950870514	OMIM:253250	OMIM:253250
43	0.021769391372799873	ORPHA:557003	ORPHA:557003
44	0.02183457836508751	ORPHA:1052	ORPHA:1052
45	0.021903786808252335	ORPHA:2953	ORPHA:2953
46	0.021919002756476402	ORPHA:2671	ORPHA:2671
47	0.02197861298918724	ORPHA:353277	ORPHA:353277
47	0.02197861298918724	ORPHA:353284	ORPHA:353284
49	0.022045055404305458	ORPHA:800	ORPHA:800
50	0.02209951914846897	ORPHA:648	ORPHA:648
51	0.022122235968708992	ORPHA:1606	ORPHA:1606
52	0.022143743932247162	ORPHA:79324	ORPHA:79324
53	0.022179419174790382	OMIM:253010	OMIM:253010
54	0.022195124998688698	ORPHA:1842	ORPHA:1842
55	0.02221785858273506	ORPHA:2162	ORPHA:2162
56	0.022231122478842735	ORPHA:500150	ORPHA:500150
57	0.022252513095736504	ORPHA:79255	ORPHA:79255
58	0.02226714789867401	ORPHA:3455	ORPHA:3455
59	0.02230006456375122	OMIM:618188	OMIM:618188
60	0.0223238542675972	OMIM:300373	OMIM:300373
61	0.022433416917920113	ORPHA:286	ORPHA:286
62	0.022511130198836327	ORPHA:536467	ORPHA:536467
63	0.022516606375575066	OMIM:114290	OMIM:114290
64	0.022537797689437866	ORPHA:96334	ORPHA:96334
65	0.022553959861397743	ORPHA:90349	ORPHA:90349
66	0.022557783871889114	ORPHA:2322	ORPHA:2322
67	0.02255881205201149	ORPHA:198	ORPHA:198
68	0.02259857952594757	ORPHA:647	ORPHA:647
69	0.022599956020712852	ORPHA:99226	ORPHA:99226
