rank	score	disease_name	disease_identifier
1	0.01108112744987011	ORPHA:536467	ORPHA:536467
2	0.011318685486912727	OMIM:253010	OMIM:253010
3	0.011746388860046864	OMIM:253000	OMIM:253000
4	0.012107783928513527	ORPHA:94068	ORPHA:94068
5	0.012291479855775833	ORPHA:666	ORPHA:666
6	0.012478179298341274	OMIM:613330	OMIM:613330
7	0.012677567079663277	ORPHA:239	ORPHA:239
8	0.012798652052879333	OMIM:183900	OMIM:183900
9	0.012813413515686989	ORPHA:536471	ORPHA:536471
10	0.012907033786177635	OMIM:615349	OMIM:615349
11	0.012910385616123676	OMIM:252500	OMIM:252500
12	0.01305142231285572	ORPHA:93360	ORPHA:93360
13	0.013058639131486416	OMIM:222600	OMIM:222600
14	0.013114944100379944	ORPHA:198	ORPHA:198
15	0.013663068413734436	OMIM:150250	OMIM:150250
16	0.013708364218473434	ORPHA:140	ORPHA:140
17	0.013796379789710045	OMIM:114290	OMIM:114290
18	0.014037459157407284	OMIM:156550	OMIM:156550
19	0.01408938318490982	OMIM:253200	OMIM:253200
20	0.014127027243375778	ORPHA:175	ORPHA:175
21	0.014216909185051918	ORPHA:800	ORPHA:800
22	0.014350655488669872	ORPHA:536545	ORPHA:536545
23	0.014392348006367683	ORPHA:485	ORPHA:485
24	0.014428487978875637	ORPHA:1860	ORPHA:1860
25	0.014481376856565475	OMIM:271640	OMIM:271640
26	0.01455070823431015	ORPHA:2078	ORPHA:2078
27	0.014707563444972038	ORPHA:93346	ORPHA:93346
28	0.014794992282986641	ORPHA:99646	ORPHA:99646
29	0.014796551316976547	OMIM:617425	OMIM:617425
30	0.014820428565144539	OMIM:617396	OMIM:617396
31	0.014871207997202873	ORPHA:168549	ORPHA:168549
32	0.014891736209392548	OMIM:620269	OMIM:620269
33	0.014955158345401287	OMIM:187600	OMIM:187600
34	0.014970292337238789	OMIM:600373	OMIM:600373
35	0.01509950589388609	OMIM:607326	OMIM:607326
36	0.015109078027307987	OMIM:253220	OMIM:253220
37	0.015163407661020756	OMIM:618363	OMIM:618363
38	0.015225602313876152	ORPHA:90348	ORPHA:90348
39	0.015241384506225586	ORPHA:1724	ORPHA:1724
40	0.015430661849677563	OMIM:620369	OMIM:620369
41	0.015432126820087433	OMIM:613848	OMIM:613848
42	0.015436616726219654	OMIM:100800	OMIM:100800
43	0.015573627315461636	ORPHA:96334	ORPHA:96334
44	0.015660321339964867	OMIM:210710	OMIM:210710
45	0.015681464225053787	OMIM:602557	OMIM:602557
46	0.015865130349993706	OMIM:608940	OMIM:608940
47	0.015940696001052856	ORPHA:93357	ORPHA:93357
48	0.016144931316375732	OMIM:272460	OMIM:272460
49	0.016153808683156967	OMIM:151210	OMIM:151210
50	0.016193268820643425	OMIM:252605	OMIM:252605
51	0.016248216852545738	ORPHA:2655	ORPHA:2655
52	0.016268284991383553	ORPHA:1190	ORPHA:1190
53	0.016277968883514404	OMIM:618291	OMIM:618291
54	0.01628737896680832	OMIM:255800	OMIM:255800
55	0.016307374462485313	OMIM:610682	OMIM:610682
56	0.016316257417201996	OMIM:615777	OMIM:615777
57	0.0163876935839653	ORPHA:93473	ORPHA:93473
58	0.01642456278204918	OMIM:250250	OMIM:250250
59	0.01642659679055214	ORPHA:1865	ORPHA:1865
60	0.016428302973508835	ORPHA:2962	ORPHA:2962
61	0.01646820269525051	ORPHA:508533	ORPHA:508533
62	0.01648617349565029	ORPHA:2635	ORPHA:2635
63	0.016487715765833855	ORPHA:280	ORPHA:280
64	0.016548708081245422	OMIM:156530	OMIM:156530
65	0.01655927672982216	ORPHA:558	ORPHA:558
66	0.016576286405324936	ORPHA:1842	ORPHA:1842
67	0.016671452671289444	OMIM:313400	OMIM:313400
68	0.016684841364622116	OMIM:304150	OMIM:304150
69	0.016738543286919594	ORPHA:93315	ORPHA:93315
70	0.016757259145379066	ORPHA:457395	ORPHA:457395
71	0.016801701858639717	ORPHA:628	ORPHA:628
72	0.016802456229925156	OMIM:150230	OMIM:150230
73	0.016907833516597748	OMIM:245600	OMIM:245600
74	0.016913536936044693	OMIM:309350	OMIM:309350
75	0.016923880204558372	OMIM:616007	OMIM:616007
76	0.01699201762676239	ORPHA:536532	ORPHA:536532
77	0.017044762149453163	OMIM:230600	OMIM:230600
78	0.01706901751458645	ORPHA:90349	ORPHA:90349
79	0.017097461968660355	ORPHA:354	ORPHA:354
80	0.01728280447423458	ORPHA:582	ORPHA:582
81	0.01728692837059498	OMIM:608022	OMIM:608022
82	0.01731838658452034	ORPHA:3042	ORPHA:3042
83	0.01732371188700199	ORPHA:576	ORPHA:576
84	0.01737387105822563	OMIM:208400	OMIM:208400
85	0.017378225922584534	ORPHA:314588	ORPHA:314588
86	0.017380228266119957	ORPHA:2484	ORPHA:2484
87	0.017446355894207954	ORPHA:1548	ORPHA:1548
88	0.01745353825390339	ORPHA:2953	ORPHA:2953
89	0.01751343347132206	OMIM:620351	OMIM:620351
90	0.017522398382425308	ORPHA:79255	ORPHA:79255
91	0.017556218430399895	OMIM:253290	OMIM:253290
92	0.017572274431586266	ORPHA:397715	ORPHA:397715
