rank	score	disease_name	disease_identifier
1	0.015232859179377556	ORPHA:1830	ORPHA:1830
2	0.015917308628559113	ORPHA:79327	ORPHA:79327
3	0.017033588141202927	ORPHA:333	ORPHA:333
4	0.017484741285443306	OMIM:613658	OMIM:613658
5	0.017585914582014084	OMIM:615846	OMIM:615846
6	0.017685050144791603	ORPHA:209905	ORPHA:209905
7	0.017886469140648842	ORPHA:1667	ORPHA:1667
8	0.018052486702799797	OMIM:618278	OMIM:618278
9	0.01807488687336445	ORPHA:420741	ORPHA:420741
10	0.01839396543800831	ORPHA:699	ORPHA:699
11	0.018410291522741318	ORPHA:1855	ORPHA:1855
12	0.018624963238835335	ORPHA:100	ORPHA:100
13	0.018648507073521614	OMIM:242900	OMIM:242900
14	0.018665270879864693	OMIM:617053	OMIM:617053
15	0.01868918165564537	ORPHA:258	ORPHA:258
16	0.018711885437369347	ORPHA:381	ORPHA:381
17	0.018767908215522766	ORPHA:2169	ORPHA:2169
18	0.018799273297190666	ORPHA:51	ORPHA:51
19	0.018813421949744225	OMIM:616271	OMIM:616271
20	0.018963443115353584	ORPHA:79325	ORPHA:79325
21	0.01919480599462986	ORPHA:79324	ORPHA:79324
22	0.01921081729233265	ORPHA:505248	ORPHA:505248
23	0.019259974360466003	ORPHA:79330	ORPHA:79330
24	0.01933286339044571	ORPHA:17	ORPHA:17
25	0.01934063248336315	OMIM:259720	OMIM:259720
26	0.019354989752173424	ORPHA:79282	ORPHA:79282
27	0.0193804744631052	OMIM:614576	OMIM:614576
28	0.019407005980610847	OMIM:620210	OMIM:620210
29	0.019425131380558014	ORPHA:811	ORPHA:811
30	0.01944595016539097	ORPHA:739	ORPHA:739
31	0.01948779635131359	OMIM:619013	OMIM:619013
32	0.01952572725713253	OMIM:212065	OMIM:212065
33	0.019618067890405655	OMIM:252010	OMIM:252010
34	0.019680235534906387	ORPHA:79329	ORPHA:79329
35	0.019742663949728012	ORPHA:90051	ORPHA:90051
36	0.01979273557662964	OMIM:614922	OMIM:614922
37	0.01983586698770523	OMIM:619487	OMIM:619487
38	0.0198773592710495	OMIM:606054	OMIM:606054
39	0.019885793328285217	ORPHA:220386	ORPHA:220386
39	0.019885793328285217	ORPHA:93925	ORPHA:93925
39	0.019885793328285217	ORPHA:93926	ORPHA:93926
39	0.019885793328285217	ORPHA:93924	ORPHA:93924
43	0.01991850696504116	OMIM:617248	OMIM:617248
44	0.019935982301831245	OMIM:309000	OMIM:309000
45	0.019971730187535286	ORPHA:1194	ORPHA:1194
46	0.02007967419922352	ORPHA:27	ORPHA:27
47	0.02008514665067196	OMIM:225750	OMIM:225750
48	0.02009209431707859	ORPHA:355	ORPHA:355
49	0.02010948210954666	OMIM:617050	OMIM:617050
50	0.020126959308981895	OMIM:614052	OMIM:614052
51	0.020155474543571472	ORPHA:167	ORPHA:167
52	0.02019951306283474	ORPHA:84064	ORPHA:84064
53	0.020203322172164917	ORPHA:64	ORPHA:64
54	0.020229870453476906	ORPHA:445038	ORPHA:445038
55	0.020272953435778618	OMIM:619991	OMIM:619991
56	0.020319627597928047	ORPHA:565	ORPHA:565
57	0.020326539874076843	OMIM:615512	OMIM:615512
58	0.02038470469415188	OMIM:618253	OMIM:618253
59	0.020411625504493713	ORPHA:79321	ORPHA:79321
60	0.020416876301169395	OMIM:612782	OMIM:612782
61	0.020508047193288803	ORPHA:231226	ORPHA:231226
62	0.020635968074202538	ORPHA:231214	ORPHA:231214
63	0.020639589056372643	OMIM:609981	OMIM:609981
64	0.020640581846237183	ORPHA:567	ORPHA:567
65	0.020642608404159546	ORPHA:534	ORPHA:534
66	0.02070389874279499	ORPHA:261476	ORPHA:261476
67	0.020712673664093018	ORPHA:398069	ORPHA:398069
68	0.02074722945690155	ORPHA:541423	ORPHA:541423
69	0.02075922302901745	OMIM:222700	OMIM:222700
70	0.020784642547369003	ORPHA:289390	ORPHA:289390
71	0.020828258246183395	ORPHA:438213	ORPHA:438213
72	0.020836034789681435	ORPHA:79318	ORPHA:79318
73	0.020910706371068954	ORPHA:356961	ORPHA:356961
74	0.020990056917071342	OMIM:216400	OMIM:216400
75	0.02103481814265251	ORPHA:26791	ORPHA:26791
76	0.021065855398774147	ORPHA:1764	ORPHA:1764
77	0.02109377086162567	ORPHA:443811	ORPHA:443811
78	0.021101437509059906	OMIM:242840	OMIM:242840
79	0.021102940663695335	OMIM:610768	OMIM:610768
80	0.021151399239897728	ORPHA:797	ORPHA:797
81	0.021176587790250778	ORPHA:330015	ORPHA:330015
82	0.02120336703956127	ORPHA:125	ORPHA:125
83	0.021205643191933632	OMIM:208900	OMIM:208900
84	0.02120584063231945	OMIM:608093	OMIM:608093
85	0.021210359409451485	ORPHA:88618	ORPHA:88618
86	0.021225325763225555	ORPHA:251009	ORPHA:251009
87	0.021234044805169106	OMIM:618329	OMIM:618329
88	0.02124304324388504	ORPHA:581	ORPHA:581
89	0.02124577760696411	OMIM:608836	OMIM:608836
90	0.021249573677778244	OMIM:603585	OMIM:603585
91	0.021250875666737556	ORPHA:96179	ORPHA:96179
92	0.02125941962003708	OMIM:133540	OMIM:133540
93	0.02129693329334259	OMIM:257200	OMIM:257200
94	0.02130275033414364	OMIM:607944	OMIM:607944
95	0.021333234384655952	OMIM:617303	OMIM:617303
96	0.02134864591062069	OMIM:615895	OMIM:615895
