rank	score	disease_name	disease_identifier
1	0.19804400205612183	OMIM:120050	OMIM:120050
2	0.20988935232162476	ORPHA:70592	ORPHA:70592
3	0.2130054235458374	ORPHA:86788	ORPHA:86788
4	0.21417123079299927	ORPHA:482	ORPHA:482
5	0.21471095085144043	OMIM:611521	OMIM:611521
6	0.21511709690093994	OMIM:139630	OMIM:139630
7	0.2154344052815369	ORPHA:319600	ORPHA:319600
8	0.21668648719787598	OMIM:609529	OMIM:609529
9	0.21674370765686035	OMIM:613949	OMIM:613949
10	0.21679151058197021	OMIM:613953	OMIM:613953
