rank	score	disease_name	disease_identifier
1	0.024368129670619965	ORPHA:254854	ORPHA:254854
2	0.02474212646484375	ORPHA:98913	ORPHA:98913
3	0.02554198168218136	OMIM:254110	OMIM:254110
4	0.025552919134497643	ORPHA:98897	ORPHA:98897
5	0.02580939047038555	ORPHA:353327	ORPHA:353327
6	0.026156945154070854	ORPHA:610	ORPHA:610
7	0.027390608564019203	OMIM:181405	OMIM:181405
8	0.027524184435606003	ORPHA:171436	ORPHA:171436
9	0.027570143342018127	OMIM:605637	OMIM:605637
10	0.027624791488051414	OMIM:256030	OMIM:256030
11	0.027820635586977005	OMIM:160150	OMIM:160150
12	0.027997883036732674	OMIM:619216	OMIM:619216
13	0.028166059404611588	OMIM:253400	OMIM:253400
14	0.028228990733623505	ORPHA:1145	ORPHA:1145
15	0.02831150032579899	ORPHA:399103	ORPHA:399103
16	0.028494006022810936	ORPHA:466768	ORPHA:466768
17	0.02853967808187008	OMIM:254300	OMIM:254300
18	0.028884518891572952	ORPHA:602	ORPHA:602
19	0.029313528910279274	ORPHA:98905	ORPHA:98905
20	0.029494870454072952	ORPHA:598	ORPHA:598
21	0.029931357130408287	ORPHA:424107	ORPHA:424107
22	0.030134597793221474	OMIM:608810	OMIM:608810
23	0.030270734801888466	OMIM:620249	OMIM:620249
24	0.0302825216203928	ORPHA:363454	ORPHA:363454
25	0.03042460046708584	ORPHA:399058	ORPHA:399058
26	0.030488483607769012	OMIM:620389	OMIM:620389
27	0.030544204637408257	OMIM:161800	OMIM:161800
28	0.030637795105576515	OMIM:604801	OMIM:604801
29	0.03081607073545456	ORPHA:178145	ORPHA:178145
30	0.03101041540503502	OMIM:255200	OMIM:255200
31	0.03101993538439274	ORPHA:267	ORPHA:267
32	0.0310271754860878	ORPHA:98915	ORPHA:98915
33	0.0310661718249321	OMIM:607684	OMIM:607684
34	0.031071070581674576	OMIM:608930	OMIM:608930
35	0.031084176152944565	OMIM:616852	OMIM:616852
36	0.031127912923693657	OMIM:158810	OMIM:158810
37	0.03140939772129059	OMIM:606612	OMIM:606612
38	0.03143751621246338	OMIM:606071	OMIM:606071
39	0.03147633373737335	ORPHA:59135	ORPHA:59135
40	0.0314980074763298	ORPHA:254361	ORPHA:254361
41	0.03193061798810959	OMIM:610542	OMIM:610542
42	0.03193996101617813	ORPHA:171439	ORPHA:171439
43	0.03203442320227623	OMIM:610687	OMIM:610687
44	0.032150059938430786	ORPHA:75840	ORPHA:75840
45	0.03226317837834358	ORPHA:101085	ORPHA:101085
46	0.032281216233968735	ORPHA:324442	ORPHA:324442
47	0.03255409002304077	OMIM:609284	OMIM:609284
48	0.032743051648139954	ORPHA:98863	ORPHA:98863
49	0.032777268439531326	OMIM:618811	OMIM:618811
50	0.0328667014837265	ORPHA:45448	ORPHA:45448
51	0.032933589071035385	OMIM:167320	OMIM:167320
52	0.0329500213265419	ORPHA:171433	ORPHA:171433
53	0.0330345518887043	OMIM:616720	OMIM:616720
54	0.03318333253264427	ORPHA:206549	ORPHA:206549
55	0.03318661078810692	OMIM:618414	OMIM:618414
56	0.03323102742433548	ORPHA:2020	ORPHA:2020
57	0.033338241279125214	ORPHA:300605	ORPHA:300605
58	0.033372264355421066	OMIM:611588	OMIM:611588
