rank	score	disease_name	disease_identifier
1	0.04750483110547066	ORPHA:43393	ORPHA:43393
2	0.04791536182165146	ORPHA:548	ORPHA:548
3	0.04968465492129326	ORPHA:2388	ORPHA:2388
4	0.04977298900485039	ORPHA:642	ORPHA:642
5	0.05001475289463997	ORPHA:79139	ORPHA:79139
6	0.05017268657684326	ORPHA:99949	ORPHA:99949
7	0.050329938530921936	ORPHA:85448	ORPHA:85448
8	0.05043446645140648	ORPHA:101111	ORPHA:101111
9	0.050998274236917496	OMIM:619574	OMIM:619574
10	0.05102672800421715	ORPHA:97349	ORPHA:97349
11	0.05134809389710426	ORPHA:98916	ORPHA:98916
12	0.05141807347536087	ORPHA:2269	ORPHA:2269
13	0.05184832215309143	ORPHA:521426	ORPHA:521426
14	0.05191236734390259	OMIM:619733	OMIM:619733
15	0.05218466743826866	ORPHA:258	ORPHA:258
16	0.05219203978776932	ORPHA:90117	ORPHA:90117
17	0.05221108719706535	ORPHA:36386	ORPHA:36386
18	0.05223241448402405	OMIM:609136	OMIM:609136
19	0.052244964987039566	ORPHA:254886	ORPHA:254886
20	0.052476659417152405	OMIM:615273	OMIM:615273
21	0.05261021479964256	ORPHA:2483	ORPHA:2483
22	0.052626751363277435	ORPHA:206436	ORPHA:206436
23	0.052656881511211395	ORPHA:2912	ORPHA:2912
24	0.05276266112923622	OMIM:313200	OMIM:313200
25	0.05277344211935997	ORPHA:466768	ORPHA:466768
26	0.052777357399463654	OMIM:268800	OMIM:268800
27	0.052811432629823685	ORPHA:2901	ORPHA:2901
28	0.05289333313703537	ORPHA:329478	ORPHA:329478
29	0.052953727543354034	ORPHA:79473	ORPHA:79473
30	0.05315733700990677	ORPHA:139399	ORPHA:139399
31	0.05323117971420288	OMIM:606721	OMIM:606721
32	0.053263500332832336	OMIM:607459	OMIM:607459
33	0.05346643179655075	OMIM:606353	OMIM:606353
34	0.05355282872915268	ORPHA:101085	ORPHA:101085
35	0.05363384261727333	ORPHA:298	ORPHA:298
36	0.05367595702409744	OMIM:617527	OMIM:617527
37	0.05369611456990242	ORPHA:99857	ORPHA:99857
38	0.05377586558461189	OMIM:618065	OMIM:618065
39	0.05382469296455383	ORPHA:2201	ORPHA:2201
40	0.05387897416949272	ORPHA:353253	ORPHA:353253
41	0.05405951663851738	ORPHA:565624	ORPHA:565624
42	0.05407514423131943	OMIM:211530	OMIM:211530
43	0.05408996716141701	ORPHA:273	ORPHA:273
44	0.05409939959645271	ORPHA:99013	ORPHA:99013
45	0.0541328527033329	ORPHA:93672	ORPHA:93672
46	0.054177410900592804	ORPHA:139417	ORPHA:139417
47	0.05418996885418892	ORPHA:428	ORPHA:428
48	0.054234959185123444	ORPHA:83452	ORPHA:83452
49	0.05430147796869278	ORPHA:276435	ORPHA:276435
50	0.054440103471279144	OMIM:164400	OMIM:164400
51	0.05446972697973251	ORPHA:36397	ORPHA:36397
52	0.05457564815878868	ORPHA:569	ORPHA:569
53	0.054643888026475906	ORPHA:206448	ORPHA:206448
54	0.054742347449064255	OMIM:619691	OMIM:619691
55	0.054764583706855774	OMIM:164310	OMIM:164310
56	0.0547826886177063	ORPHA:486815	ORPHA:486815
57	0.054795052856206894	OMIM:301830	OMIM:301830
58	0.05486864224076271	ORPHA:98915	ORPHA:98915
59	0.054907262325286865	ORPHA:285	ORPHA:285
60	0.05491604655981064	OMIM:256030	OMIM:256030
61	0.05494949221611023	ORPHA:845	ORPHA:845
62	0.054981864988803864	ORPHA:230839	ORPHA:230839
63	0.054983604699373245	ORPHA:363400	ORPHA:363400
64	0.05500173196196556	ORPHA:79273	ORPHA:79273
65	0.055026646703481674	ORPHA:79138	ORPHA:79138
66	0.05506797134876251	OMIM:601596	OMIM:601596
67	0.055093709379434586	ORPHA:79279	ORPHA:79279
68	0.055357757955789566	ORPHA:349	ORPHA:349
69	0.05553870275616646	OMIM:201300	OMIM:201300
70	0.0556839182972908	ORPHA:1145	ORPHA:1145
71	0.055769603699445724	ORPHA:99947	ORPHA:99947
72	0.055770281702280045	ORPHA:268882	ORPHA:268882
73	0.05578116327524185	ORPHA:98914	ORPHA:98914
73	0.05578116327524185	ORPHA:590	ORPHA:590
75	0.05587273836135864	ORPHA:51	ORPHA:51
76	0.05590127408504486	OMIM:619461	OMIM:619461
77	0.056019969284534454	OMIM:300816	OMIM:300816
78	0.05603691563010216	ORPHA:238329	ORPHA:238329
79	0.05607488378882408	ORPHA:297	ORPHA:297
80	0.05611599609255791	ORPHA:276244	ORPHA:276244
81	0.05616317316889763	ORPHA:447753	ORPHA:447753
