rank	score	disease_name	disease_identifier
1	0.015698671340942383	ORPHA:221139	ORPHA:221139
2	0.01601763814687729	OMIM:210900	OMIM:210900
3	0.016048481687903404	OMIM:619824	OMIM:619824
4	0.016597457230091095	OMIM:614069	OMIM:614069
5	0.017067527398467064	OMIM:256040	OMIM:256040
6	0.0175197571516037	OMIM:233600	OMIM:233600
7	0.01760389469563961	OMIM:170100	OMIM:170100
8	0.018175320699810982	OMIM:608233	OMIM:608233
9	0.01857016608119011	OMIM:617241	OMIM:617241
10	0.018944881856441498	ORPHA:125	ORPHA:125
11	0.01980285905301571	ORPHA:79324	ORPHA:79324
12	0.020009128376841545	ORPHA:99843	ORPHA:99843
13	0.02015511691570282	OMIM:102700	OMIM:102700
14	0.02028193511068821	OMIM:620005	OMIM:620005
15	0.020402850583195686	OMIM:619752	OMIM:619752
16	0.020505771040916443	OMIM:619573	OMIM:619573
17	0.020569907501339912	ORPHA:420741	ORPHA:420741
18	0.02063469961285591	OMIM:618048	OMIM:618048
19	0.020647356286644936	OMIM:242840	OMIM:242840
20	0.020804014056921005	ORPHA:443811	ORPHA:443811
21	0.02098342776298523	OMIM:241600	OMIM:241600
22	0.021306641399860382	ORPHA:98813	ORPHA:98813
23	0.021439004689455032	OMIM:610377	OMIM:610377
24	0.02151920460164547	OMIM:300972	OMIM:300972
25	0.021749980747699738	OMIM:617303	OMIM:617303
26	0.02177378349006176	ORPHA:293978	ORPHA:293978
27	0.02177380584180355	OMIM:251260	OMIM:251260
28	0.021993443369865417	OMIM:620040	OMIM:620040
29	0.022148778662085533	OMIM:619750	OMIM:619750
30	0.022233840078115463	OMIM:619774	OMIM:619774
31	0.022292930632829666	ORPHA:2643	ORPHA:2643
32	0.0223043505102396	OMIM:242900	OMIM:242900
33	0.022522490471601486	ORPHA:79330	ORPHA:79330
34	0.02252361550927162	OMIM:308230	OMIM:308230
35	0.02262299507856369	ORPHA:79329	ORPHA:79329
36	0.022711778059601784	ORPHA:353298	ORPHA:353298
37	0.022930385544896126	ORPHA:79318	ORPHA:79318
