rank	score	disease_name	disease_identifier
1	0.012518316507339478	OMIM:233400	OMIM:233400
2	0.014453784562647343	ORPHA:412057	ORPHA:412057
3	0.014594212174415588	OMIM:616505	OMIM:616505
4	0.015258423052728176	OMIM:617988	OMIM:617988
5	0.01527034118771553	OMIM:614867	OMIM:614867
6	0.01556419674307108	ORPHA:48431	ORPHA:48431
7	0.015669653192162514	ORPHA:1435	ORPHA:1435
8	0.016207702457904816	ORPHA:404454	ORPHA:404454
9	0.016350597143173218	OMIM:614871	OMIM:614871
10	0.01639012061059475	ORPHA:502423	ORPHA:502423
11	0.016413819044828415	OMIM:617675	OMIM:617675
12	0.01653941534459591	OMIM:614877	OMIM:614877
13	0.01654072105884552	OMIM:618891	OMIM:618891
14	0.016617894172668457	OMIM:620089	OMIM:620089
15	0.01674945466220379	ORPHA:496790	ORPHA:496790
16	0.017013603821396828	ORPHA:447896	ORPHA:447896
17	0.017039762809872627	OMIM:616541	OMIM:616541
18	0.017167959362268448	ORPHA:191	ORPHA:191
19	0.01728610321879387	ORPHA:464282	ORPHA:464282
20	0.01732688769698143	OMIM:617302	OMIM:617302
21	0.017345620319247246	OMIM:617695	OMIM:617695
22	0.017386378720402718	OMIM:610743	OMIM:610743
23	0.01744796894490719	ORPHA:363429	ORPHA:363429
24	0.01746937446296215	OMIM:213200	OMIM:213200
25	0.017622480168938637	OMIM:610185	OMIM:610185
26	0.017672285437583923	OMIM:614961	OMIM:614961
27	0.01778862625360489	OMIM:604168	OMIM:604168
28	0.01784917525947094	ORPHA:289494	ORPHA:289494
29	0.017864206805825233	OMIM:215470	OMIM:215470
30	0.01790563017129898	OMIM:248800	OMIM:248800
31	0.017941629514098167	ORPHA:572798	ORPHA:572798
32	0.017953407019376755	OMIM:617807	OMIM:617807
33	0.01797277294099331	ORPHA:86309	ORPHA:86309
34	0.017975762486457825	OMIM:312080	OMIM:312080
35	0.01801755465567112	OMIM:606002	OMIM:606002
36	0.018067341297864914	OMIM:619260	OMIM:619260
37	0.018071753904223442	OMIM:619576	OMIM:619576
38	0.018259195610880852	ORPHA:869	ORPHA:869
39	0.01827399805188179	OMIM:619422	OMIM:619422
40	0.018305310979485512	ORPHA:468699	ORPHA:468699
41	0.018360968679189682	ORPHA:488635	ORPHA:488635
42	0.01840030774474144	OMIM:607694	OMIM:607694
43	0.018412411212921143	OMIM:617193	OMIM:617193
44	0.018431037664413452	ORPHA:251347	ORPHA:251347
45	0.018431078642606735	OMIM:607459	OMIM:607459
46	0.018454650416970253	OMIM:614381	OMIM:614381
47	0.018471773713827133	OMIM:278800	OMIM:278800
48	0.018582528457045555	OMIM:617183	OMIM:617183
49	0.018600691109895706	OMIM:618076	OMIM:618076
50	0.018631111830472946	OMIM:615673	OMIM:615673
51	0.018643293529748917	OMIM:266510	OMIM:266510
52	0.018759552389383316	ORPHA:466794	ORPHA:466794
53	0.01876009628176689	ORPHA:95	ORPHA:95
54	0.018769418820738792	OMIM:210000	OMIM:210000
55	0.01877642795443535	ORPHA:909	ORPHA:909
56	0.018821319565176964	OMIM:224050	OMIM:224050
57	0.018926484510302544	OMIM:618249	OMIM:618249
58	0.018955959007143974	OMIM:208920	OMIM:208920
59	0.019032172858715057	OMIM:614947	OMIM:614947
60	0.019057290628552437	OMIM:616716	OMIM:616716
61	0.01906443014740944	ORPHA:254913	ORPHA:254913
62	0.019077355042099953	OMIM:601338	OMIM:601338
63	0.01908685453236103	OMIM:258450	OMIM:258450
64	0.019088054075837135	OMIM:212065	OMIM:212065
65	0.019101137295365334	ORPHA:529665	ORPHA:529665
66	0.019145596772432327	OMIM:617595	OMIM:617595
67	0.01915312372148037	ORPHA:280210	ORPHA:280210
68	0.019215188920497894	OMIM:618065	OMIM:618065
69	0.019215503707528114	OMIM:615919	OMIM:615919
70	0.019217533990740776	OMIM:300523	OMIM:300523
71	0.01925988309085369	OMIM:251300	OMIM:251300
72	0.019263312220573425	OMIM:608799	OMIM:608799
73	0.0192678552120924	ORPHA:33364	ORPHA:33364
74	0.019318504258990288	ORPHA:2254	ORPHA:2254
75	0.01932426355779171	OMIM:618087	OMIM:618087
76	0.019326360896229744	ORPHA:458803	ORPHA:458803
77	0.01944972202181816	OMIM:216400	OMIM:216400
78	0.019474990665912628	OMIM:615356	OMIM:615356
79	0.019498849287629128	ORPHA:99949	ORPHA:99949
80	0.0195698831230402	OMIM:270550	OMIM:270550
81	0.019570007920265198	OMIM:617710	OMIM:617710
82	0.019625360146164894	OMIM:616817	OMIM:616817
83	0.0196585301309824	OMIM:609136	OMIM:609136
84	0.01969238556921482	ORPHA:845	ORPHA:845
85	0.01974027417600155	OMIM:618863	OMIM:618863
86	0.01978263072669506	OMIM:614831	OMIM:614831
87	0.019842302426695824	ORPHA:90321	ORPHA:90321
88	0.019845236092805862	ORPHA:70595	ORPHA:70595
89	0.019846908748149872	OMIM:616263	OMIM:616263
90	0.019846925511956215	OMIM:619761	OMIM:619761
91	0.019847016781568527	ORPHA:98768	ORPHA:98768
92	0.019866805523633957	OMIM:619234	OMIM:619234
93	0.019883785396814346	OMIM:229300	OMIM:229300
94	0.019893867895007133	OMIM:617799	OMIM:617799
95	0.0198943093419075	ORPHA:559	ORPHA:559
96	0.01992882788181305	OMIM:616479	OMIM:616479
97	0.01993805542588234	OMIM:601162	OMIM:601162
98	0.019946487620472908	ORPHA:812	ORPHA:812
99	0.01995319128036499	ORPHA:496641	ORPHA:496641
100	0.019982323050498962	ORPHA:280763	ORPHA:280763
101	0.020040614530444145	OMIM:618170	OMIM:618170
102	0.020089687779545784	ORPHA:442835	ORPHA:442835
