rank	score	disease_name	disease_identifier
1	0.07413405925035477	OMIM:171400	OMIM:171400
2	0.08173006027936935	ORPHA:276152	ORPHA:276152
3	0.08265714347362518	OMIM:610755	OMIM:610755
4	0.08723528683185577	ORPHA:97289	ORPHA:97289
5	0.08782092481851578	OMIM:131100	OMIM:131100
6	0.09062929451465607	ORPHA:1332	ORPHA:1332
7	0.0917888879776001	ORPHA:913	ORPHA:913
8	0.09651497006416321	ORPHA:653	ORPHA:653
9	0.09966588765382767	ORPHA:652	ORPHA:652
10	0.10819723457098007	OMIM:171300	OMIM:171300
11	0.10860437899827957	OMIM:115310	OMIM:115310
12	0.10893256217241287	OMIM:145001	OMIM:145001
13	0.1102098822593689	ORPHA:99832	ORPHA:99832
14	0.1110132560133934	OMIM:603373	OMIM:603373
15	0.11143859475851059	OMIM:102200	OMIM:102200
16	0.11162378638982773	OMIM:193300	OMIM:193300
17	0.11277376860380173	OMIM:180295	OMIM:180295
18	0.11282261461019516	ORPHA:100083	ORPHA:100083
19	0.11330423504114151	OMIM:160980	OMIM:160980
20	0.11340386420488358	OMIM:171420	OMIM:171420
21	0.11356177181005478	ORPHA:1359	ORPHA:1359
22	0.11380656063556671	ORPHA:300385	ORPHA:300385
23	0.11481823027133942	ORPHA:97282	ORPHA:97282
24	0.11513032019138336	ORPHA:90673	ORPHA:90673
25	0.1165676936507225	ORPHA:97261	ORPHA:97261
26	0.1168905571103096	ORPHA:29072	ORPHA:29072
27	0.1173236146569252	OMIM:620198	OMIM:620198
28	0.1174258217215538	OMIM:274300	OMIM:274300
29	0.11758838593959808	ORPHA:276399	ORPHA:276399
30	0.1176489070057869	OMIM:605373	OMIM:605373
31	0.11777506023645401	ORPHA:99880	ORPHA:99880
32	0.11854252964258194	ORPHA:892	ORPHA:892
33	0.11901279538869858	OMIM:188570	OMIM:188570
34	0.11920475214719772	OMIM:174800	OMIM:174800
35	0.1192522943019867	ORPHA:143	ORPHA:143
36	0.11979643255472183	OMIM:609152	OMIM:609152
37	0.1201338842511177	ORPHA:139411	ORPHA:139411
38	0.12120749056339264	ORPHA:189427	ORPHA:189427
39	0.12168535590171814	ORPHA:64744	ORPHA:64744
40	0.12209700793027878	ORPHA:97290	ORPHA:97290
41	0.12212757766246796	ORPHA:94086	ORPHA:94086
42	0.12221774458885193	ORPHA:733	ORPHA:733
43	0.12223757058382034	ORPHA:226316	ORPHA:226316
44	0.12419570237398148	ORPHA:97283	ORPHA:97283
45	0.1242397353053093	OMIM:609698	OMIM:609698
46	0.12439153343439102	OMIM:616858	OMIM:616858
47	0.12445353716611862	ORPHA:100093	ORPHA:100093
48	0.12486971914768219	OMIM:608266	OMIM:608266
49	0.12510153651237488	ORPHA:95715	ORPHA:95715
50	0.12513099610805511	OMIM:145981	OMIM:145981
51	0.12520799040794373	OMIM:191100	OMIM:191100
52	0.12541721761226654	ORPHA:231632	ORPHA:231632
53	0.12543432414531708	ORPHA:247806	ORPHA:247806
54	0.12550289928913116	OMIM:613239	OMIM:613239
55	0.12554743885993958	ORPHA:319487	ORPHA:319487
56	0.12604288756847382	ORPHA:805	ORPHA:805
57	0.1261322945356369	OMIM:617994	OMIM:617994
58	0.12637820839881897	ORPHA:276621	ORPHA:276621
59	0.1264791339635849	OMIM:145650	OMIM:145650
60	0.12662528455257416	OMIM:613254	OMIM:613254
61	0.12698352336883545	ORPHA:404	ORPHA:404
62	0.12720710039138794	OMIM:168000	OMIM:168000
63	0.1272866129875183	ORPHA:97278	ORPHA:97278
64	0.12736301124095917	ORPHA:163634	ORPHA:163634
65	0.12738946080207825	OMIM:618464	OMIM:618464
66	0.1280374377965927	OMIM:162300	OMIM:162300
67	0.12804608047008514	OMIM:275200	OMIM:275200
68	0.12822838127613068	OMIM:256700	OMIM:256700
69	0.1282440572977066	ORPHA:100085	ORPHA:100085
70	0.12833209335803986	OMIM:274700	OMIM:274700
71	0.12843182682991028	OMIM:615999	OMIM:615999
72	0.12864218652248383	ORPHA:562	ORPHA:562
73	0.12865547835826874	ORPHA:99889	ORPHA:99889
74	0.12876886129379272	OMIM:158350	OMIM:158350
75	0.12879206240177155	ORPHA:97280	ORPHA:97280
76	0.12881669402122498	ORPHA:99818	ORPHA:99818
77	0.12889230251312256	ORPHA:199244	ORPHA:199244
78	0.12890739738941193	OMIM:145980	OMIM:145980
79	0.12900874018669128	OMIM:617343	OMIM:617343
80	0.12908050417900085	ORPHA:1501	ORPHA:1501
81	0.12920136749744415	ORPHA:201	ORPHA:201
82	0.129769966006279	OMIM:274600	OMIM:274600
83	0.13045251369476318	OMIM:175100	OMIM:175100
84	0.1304699331521988	ORPHA:79665	ORPHA:79665
85	0.13071966171264648	OMIM:300888	OMIM:300888
86	0.1307242065668106	ORPHA:95716	ORPHA:95716
87	0.1308029592037201	OMIM:275000	OMIM:275000
88	0.13080458343029022	OMIM:262600	OMIM:262600
89	0.13092747330665588	OMIM:615109	OMIM:615109
90	0.13107557594776154	ORPHA:99879	ORPHA:99879
91	0.13108643889427185	ORPHA:90674	ORPHA:90674
92	0.1312202513217926	ORPHA:90790	ORPHA:90790
93	0.1312466710805893	ORPHA:91414	ORPHA:91414
94	0.13128086924552917	ORPHA:180229	ORPHA:180229
95	0.1316552460193634	OMIM:211900	OMIM:211900
96	0.13179558515548706	ORPHA:95513	ORPHA:95513
97	0.13185431063175201	ORPHA:251937	ORPHA:251937
98	0.13189667463302612	ORPHA:226307	ORPHA:226307
99	0.13196124136447906	OMIM:301035	OMIM:301035
100	0.1319846659898758	ORPHA:251623	ORPHA:251623
101	0.13261428475379944	ORPHA:403	ORPHA:403
102	0.13301390409469604	OMIM:612089	OMIM:612089
103	0.13304132223129272	ORPHA:79443	ORPHA:79443
104	0.13325268030166626	ORPHA:94080	ORPHA:94080
105	0.13335701823234558	ORPHA:95512	ORPHA:95512
106	0.1333898901939392	ORPHA:65285	ORPHA:65285
107	0.1335369497537613	ORPHA:91354	ORPHA:91354
108	0.13355526328086853	ORPHA:649929	ORPHA:649929
109	0.13360895216464996	OMIM:615108	OMIM:615108
110	0.13390925526618958	ORPHA:122	ORPHA:122
111	0.13415007293224335	OMIM:225250	OMIM:225250
112	0.13428673148155212	OMIM:600740	OMIM:600740
113	0.13443037867546082	OMIM:613986	OMIM:613986
114	0.13449229300022125	OMIM:162200	OMIM:162200
115	0.13464486598968506	ORPHA:79140	ORPHA:79140
116	0.13471543788909912	ORPHA:3453	ORPHA:3453
117	0.1350337713956833	OMIM:218700	OMIM:218700
118	0.13508310914039612	OMIM:612462	OMIM:612462
119	0.1353754848241806	ORPHA:90795	ORPHA:90795
120	0.1354047805070877	ORPHA:79444	ORPHA:79444
121	0.13550952076911926	OMIM:274500	OMIM:274500
122	0.13559113442897797	ORPHA:370348	ORPHA:370348
123	0.13569526374340057	ORPHA:94089	ORPHA:94089
124	0.13592129945755005	ORPHA:231625	ORPHA:231625
125	0.13616140186786652	ORPHA:94090	ORPHA:94090
126	0.13623864948749542	OMIM:614736	OMIM:614736
127	0.13643430173397064	OMIM:616534	OMIM:616534
128	0.13646814227104187	ORPHA:300373	ORPHA:300373
129	0.13650986552238464	ORPHA:91351	ORPHA:91351
130	0.13661710917949677	ORPHA:251274	ORPHA:251274
131	0.13674858212471008	ORPHA:2874	ORPHA:2874
132	0.13691327722097427	OMIM:620303	OMIM:620303
133	0.13692401349544525	OMIM:146200	OMIM:146200
134	0.13693031668663025	OMIM:618475	OMIM:618475
135	0.1370794177055359	ORPHA:786	ORPHA:786
136	0.13730739057064056	ORPHA:3261	ORPHA:3261
137	0.1373485028743744	ORPHA:158057	ORPHA:158057
138	0.13767671585083008	ORPHA:91347	ORPHA:91347
139	0.1376832127571106	ORPHA:140286	ORPHA:140286
140	0.1378764659166336	ORPHA:90794	ORPHA:90794
141	0.13797685503959656	ORPHA:95613	ORPHA:95613
142	0.13805513083934784	OMIM:617253	OMIM:617253
143	0.13806338608264923	ORPHA:525731	ORPHA:525731
144	0.13815289735794067	ORPHA:524	ORPHA:524
145	0.13824224472045898	ORPHA:405	ORPHA:405
146	0.1387605220079422	OMIM:601198	OMIM:601198
147	0.13900892436504364	ORPHA:199299	ORPHA:199299
148	0.1390468031167984	ORPHA:797	ORPHA:797
149	0.1390468180179596	ORPHA:3143	ORPHA:3143
150	0.1392257958650589	ORPHA:2495	ORPHA:2495
151	0.1392292082309723	ORPHA:85138	ORPHA:85138
152	0.1394931524991989	ORPHA:2238	ORPHA:2238
153	0.13955658674240112	ORPHA:85443	ORPHA:85443
154	0.13959218561649323	ORPHA:438274	ORPHA:438274
155	0.1397092640399933	ORPHA:99819	ORPHA:99819
156	0.13986267149448395	ORPHA:231222	ORPHA:231222
157	0.13995766639709473	OMIM:188550	OMIM:188550
158	0.14005064964294434	ORPHA:99725	ORPHA:99725
159	0.140088751912117	ORPHA:137605	ORPHA:137605
160	0.14011085033416748	ORPHA:91348	ORPHA:91348
161	0.14022186398506165	ORPHA:440437	ORPHA:440437
162	0.14026454091072083	ORPHA:171	ORPHA:171
163	0.14037854969501495	OMIM:276300	OMIM:276300
164	0.14044289290905	OMIM:615962	OMIM:615962
165	0.14053025841712952	ORPHA:99867	ORPHA:99867
166	0.14055562019348145	OMIM:610199	OMIM:610199
167	0.14056076109409332	ORPHA:2668	ORPHA:2668
168	0.1405971795320511	ORPHA:2905	ORPHA:2905
169	0.14079564809799194	ORPHA:654	ORPHA:654
170	0.1410999596118927	ORPHA:227982	ORPHA:227982
171	0.1411796361207962	ORPHA:228308	ORPHA:228308
172	0.14134962856769562	OMIM:276700	OMIM:276700
173	0.14146451652050018	OMIM:235200	OMIM:235200
174	0.1416396200656891	ORPHA:98849	ORPHA:98849
175	0.1419285088777542	ORPHA:361	ORPHA:361
176	0.14221195876598358	ORPHA:95717	ORPHA:95717
177	0.14235594868659973	ORPHA:227990	ORPHA:227990
178	0.1425560712814331	ORPHA:902	ORPHA:902
179	0.14256224036216736	ORPHA:3243	ORPHA:3243
180	0.14274126291275024	OMIM:619326	OMIM:619326
181	0.14284221827983856	OMIM:231690	OMIM:231690
