rank	score	disease_name	disease_identifier
1	0.06445041298866272	OMIM:616117	OMIM:616117
2	0.06538345664739609	OMIM:614021	OMIM:614021
3	0.06715577840805054	OMIM:612955	OMIM:612955
4	0.06797830760478973	OMIM:616247	OMIM:616247
5	0.06945747137069702	OMIM:613693	OMIM:613693
6	0.07165095955133438	ORPHA:130	ORPHA:130
7	0.07253164052963257	OMIM:192500	OMIM:192500
8	0.07364236563444138	OMIM:115000	OMIM:115000
9	0.0742027759552002	OMIM:613695	OMIM:613695
10	0.07434660196304321	OMIM:601144	OMIM:601144
11	0.0773136243224144	ORPHA:51083	ORPHA:51083
12	0.0783177837729454	OMIM:616249	OMIM:616249
13	0.0786973387002945	OMIM:611777	OMIM:611777
14	0.07892449200153351	ORPHA:45453	ORPHA:45453
15	0.07983526587486267	OMIM:108770	OMIM:108770
16	0.0815027579665184	OMIM:600858	OMIM:600858
17	0.08239232003688812	OMIM:609621	OMIM:609621
18	0.08260760456323624	OMIM:601154	OMIM:601154
19	0.08307243138551712	OMIM:612956	OMIM:612956
20	0.08770260214805603	OMIM:604145	OMIM:604145
21	0.08826006203889847	OMIM:609040	OMIM:609040
22	0.08836419135332108	OMIM:607450	OMIM:607450
23	0.08952202647924423	OMIM:163800	OMIM:163800
24	0.08979855477809906	OMIM:613485	OMIM:613485
25	0.09032284468412399	OMIM:604559	OMIM:604559
26	0.09060068428516388	OMIM:613688	OMIM:613688
27	0.09254328161478043	OMIM:611875	OMIM:611875
28	0.09260807186365128	OMIM:604772	OMIM:604772
29	0.09278199821710587	OMIM:194200	OMIM:194200
30	0.09435997903347015	OMIM:220400	OMIM:220400
31	0.09480959177017212	OMIM:618782	OMIM:618782
32	0.09505398571491241	OMIM:619464	OMIM:619464
33	0.09516693651676178	OMIM:603829	OMIM:603829
34	0.09531082212924957	ORPHA:99105	ORPHA:99105
35	0.09572702646255493	OMIM:603830	OMIM:603830
36	0.09650317579507828	OMIM:612347	OMIM:612347
37	0.09784796088933945	OMIM:224700	OMIM:224700
38	0.09830232709646225	OMIM:613980	OMIM:613980
39	0.09866789728403091	OMIM:115200	OMIM:115200
40	0.09879280626773834	OMIM:608758	OMIM:608758
41	0.0989382416009903	OMIM:619897	OMIM:619897
42	0.09942349791526794	ORPHA:3282	ORPHA:3282
