rank	score	disease_name	disease_identifier
1	0.026865093037486076	ORPHA:3218	ORPHA:3218
2	0.027396835386753082	ORPHA:444072	ORPHA:444072
3	0.028167976066470146	OMIM:616817	OMIM:616817
4	0.0282285213470459	OMIM:139210	OMIM:139210
5	0.028614278882741928	ORPHA:1600	ORPHA:1600
6	0.02862684614956379	ORPHA:391408	ORPHA:391408
7	0.02869795449078083	OMIM:611209	OMIM:611209
8	0.02889324724674225	ORPHA:284180	ORPHA:284180
9	0.029399996623396873	ORPHA:2637	ORPHA:2637
10	0.02952074445784092	OMIM:614114	OMIM:614114
11	0.029579684138298035	OMIM:617452	OMIM:617452
12	0.029581692069768906	OMIM:613804	OMIM:613804
13	0.029822908341884613	ORPHA:314679	ORPHA:314679
14	0.02985667623579502	ORPHA:251071	ORPHA:251071
15	0.029897578060626984	ORPHA:261524	ORPHA:261524
16	0.02995741181075573	OMIM:618371	OMIM:618371
17	0.029985764995217323	ORPHA:464288	ORPHA:464288
18	0.030035901814699173	OMIM:613800	OMIM:613800
19	0.03013468161225319	OMIM:613803	OMIM:613803
20	0.03027409315109253	OMIM:616835	OMIM:616835
21	0.03037312999367714	ORPHA:140	ORPHA:140
22	0.030719486996531487	OMIM:614613	OMIM:614613
23	0.030832424759864807	ORPHA:2323	ORPHA:2323
24	0.030855843797326088	OMIM:114290	OMIM:114290
25	0.030857743695378304	ORPHA:281	ORPHA:281
26	0.0309261716902256	ORPHA:3191	ORPHA:3191
27	0.030934160575270653	ORPHA:2044	ORPHA:2044
28	0.030943801626563072	OMIM:273750	OMIM:273750
29	0.031068269163370132	OMIM:150250	OMIM:150250
30	0.0310882106423378	OMIM:602535	OMIM:602535
31	0.031101500615477562	ORPHA:3338	ORPHA:3338
32	0.031156126409769058	ORPHA:1724	ORPHA:1724
33	0.031157568097114563	ORPHA:1495	ORPHA:1495
34	0.03125907480716705	ORPHA:239	ORPHA:239
35	0.03127668797969818	ORPHA:263508	ORPHA:263508
36	0.03129202872514725	OMIM:212720	OMIM:212720
37	0.03136986121535301	OMIM:300978	OMIM:300978
38	0.03140418604016304	OMIM:616202	OMIM:616202
39	0.03159942105412483	OMIM:301030	OMIM:301030
40	0.03161295875906944	OMIM:216550	OMIM:216550
41	0.03161720931529999	OMIM:231050	OMIM:231050
42	0.03162394464015961	ORPHA:1596	ORPHA:1596
43	0.03163739666342735	OMIM:277600	OMIM:277600
44	0.0316719189286232	ORPHA:808	ORPHA:808
45	0.03177885711193085	OMIM:616723	OMIM:616723
46	0.03183440491557121	ORPHA:529962	ORPHA:529962
47	0.031871259212493896	ORPHA:261290	ORPHA:261290
48	0.03193970397114754	ORPHA:319675	ORPHA:319675
49	0.03197140246629715	ORPHA:464306	ORPHA:464306
50	0.03202255815267563	ORPHA:263487	ORPHA:263487
51	0.032088425010442734	ORPHA:96092	ORPHA:96092
52	0.03209054470062256	ORPHA:261519	ORPHA:261519
53	0.032096125185489655	OMIM:601353	OMIM:601353
54	0.03209613263607025	OMIM:602471	OMIM:602471
55	0.03213709220290184	OMIM:600373	OMIM:600373
56	0.032203372567892075	OMIM:601808	OMIM:601808
57	0.03222334384918213	OMIM:618454	OMIM:618454
58	0.03225250169634819	OMIM:257300	OMIM:257300
59	0.03227638453245163	OMIM:212066	OMIM:212066
60	0.03229030594229698	ORPHA:85201	ORPHA:85201
61	0.032298311591148376	ORPHA:96121	ORPHA:96121
62	0.03235297277569771	ORPHA:166035	ORPHA:166035
63	0.03238079696893692	OMIM:613224	OMIM:613224
64	0.03238513320684433	ORPHA:261349	ORPHA:261349
65	0.03238803520798683	OMIM:617157	OMIM:617157
66	0.032427143305540085	ORPHA:268261	ORPHA:268261
67	0.03248247504234314	ORPHA:404443	ORPHA:404443
68	0.03253244608640671	OMIM:619004	OMIM:619004
69	0.03254847601056099	OMIM:613848	OMIM:613848
70	0.03256918862462044	ORPHA:870	ORPHA:870
71	0.032599207013845444	ORPHA:444077	ORPHA:444077
72	0.032599981874227524	ORPHA:96170	ORPHA:96170
73	0.03262330964207649	ORPHA:1488	ORPHA:1488
74	0.03263034671545029	OMIM:613676	OMIM:613676
75	0.03266146034002304	ORPHA:1465	ORPHA:1465
76	0.03267050161957741	ORPHA:94063	ORPHA:94063
77	0.03269317001104355	ORPHA:261494	ORPHA:261494
78	0.0327223464846611	ORPHA:1580	ORPHA:1580
79	0.03275251016020775	ORPHA:505237	ORPHA:505237
80	0.032784365117549896	OMIM:270450	OMIM:270450
81	0.03279779851436615	ORPHA:199	ORPHA:199
82	0.032803718000650406	OMIM:300998	OMIM:300998
83	0.03282930329442024	OMIM:613320	OMIM:613320
84	0.032836057245731354	ORPHA:819	ORPHA:819
85	0.03283704072237015	ORPHA:137634	ORPHA:137634
86	0.0328521691262722	ORPHA:466926	ORPHA:466926
87	0.03286620229482651	OMIM:615102	OMIM:615102
88	0.03288619965314865	OMIM:245150	OMIM:245150
89	0.03288889676332474	OMIM:615583	OMIM:615583
90	0.032909709960222244	OMIM:617140	OMIM:617140
91	0.03291076049208641	ORPHA:453499	ORPHA:453499
92	0.032913003116846085	OMIM:610443	OMIM:610443
93	0.03293382003903389	OMIM:300863	OMIM:300863
94	0.032941095530986786	OMIM:208400	OMIM:208400
95	0.03294730558991432	ORPHA:480880	ORPHA:480880
96	0.033005230128765106	OMIM:614609	OMIM:614609
97	0.033018745481967926	ORPHA:3255	ORPHA:3255
98	0.03302479162812233	OMIM:617260	OMIM:617260
99	0.03303677961230278	OMIM:147920	OMIM:147920
100	0.03303682431578636	OMIM:617982	OMIM:617982
101	0.033095698803663254	ORPHA:2896	ORPHA:2896
102	0.0331001877784729	ORPHA:293967	ORPHA:293967
103	0.03310438618063927	ORPHA:85202	ORPHA:85202
104	0.033110663294792175	OMIM:224410	OMIM:224410
105	0.03311672434210777	ORPHA:1598	ORPHA:1598
106	0.033138372004032135	ORPHA:352665	ORPHA:352665
106	0.033138372004032135	ORPHA:453504	ORPHA:453504
108	0.03316935524344444	OMIM:259050	OMIM:259050
109	0.03318193927407265	OMIM:610883	OMIM:610883
110	0.03319456800818443	ORPHA:1606	ORPHA:1606
111	0.03320533037185669	OMIM:608154	OMIM:608154
112	0.033221758902072906	ORPHA:163966	ORPHA:163966
113	0.033243995159864426	OMIM:194050	OMIM:194050
114	0.03327644616365433	OMIM:300990	OMIM:300990
115	0.03330446779727936	OMIM:617137	OMIM:617137
116	0.033305227756500244	OMIM:615419	OMIM:615419
117	0.03334520384669304	ORPHA:2655	ORPHA:2655
118	0.0333511047065258	ORPHA:576	ORPHA:576
119	0.03335419297218323	ORPHA:96061	ORPHA:96061
120	0.033374469727277756	ORPHA:96201	ORPHA:96201
121	0.03339337557554245	OMIM:608328	OMIM:608328
122	0.03340141847729683	OMIM:620071	OMIM:620071
123	0.033403441309928894	OMIM:620155	OMIM:620155
124	0.03340688720345497	ORPHA:96149	ORPHA:96149
125	0.033414218574762344	OMIM:616222	OMIM:616222
126	0.03343011066317558	OMIM:271510	OMIM:271510
127	0.03343460336327553	OMIM:244450	OMIM:244450
128	0.03344713896512985	OMIM:300968	OMIM:300968
129	0.03345156088471413	ORPHA:309282	ORPHA:309282
130	0.033452823758125305	OMIM:612513	OMIM:612513
131	0.03345683962106705	OMIM:300966	OMIM:300966
132	0.0335049144923687	OMIM:618440	OMIM:618440
133	0.0335092768073082	ORPHA:177907	ORPHA:177907
134	0.033526379615068436	OMIM:300472	OMIM:300472
135	0.033533234149217606	ORPHA:2077	ORPHA:2077
136	0.03355361893773079	OMIM:619005	OMIM:619005
137	0.033557333052158356	OMIM:609625	OMIM:609625
138	0.033561043441295624	ORPHA:506358	ORPHA:506358
139	0.033568013459444046	OMIM:614185	OMIM:614185
140	0.033570561558008194	ORPHA:363958	ORPHA:363958
140	0.033570561558008194	ORPHA:363965	ORPHA:363965
142	0.033574219793081284	OMIM:309583	OMIM:309583
143	0.03358311951160431	ORPHA:3063	ORPHA:3063
144	0.03359655663371086	ORPHA:364028	ORPHA:364028
145	0.033599283546209335	OMIM:163950	OMIM:163950
146	0.03365357220172882	OMIM:613406	OMIM:613406
147	0.03365710377693176	ORPHA:7	ORPHA:7
148	0.033658236265182495	OMIM:617164	OMIM:617164
149	0.0336792953312397	ORPHA:464311	ORPHA:464311
150	0.033694732934236526	OMIM:616368	OMIM:616368
151	0.03369845077395439	ORPHA:508488	ORPHA:508488
152	0.03372393921017647	OMIM:608779	OMIM:608779
153	0.03374207019805908	OMIM:313420	OMIM:313420
154	0.033742353320121765	ORPHA:73272	ORPHA:73272
155	0.03375113755464554	OMIM:300590	OMIM:300590
156	0.03377188369631767	OMIM:234100	OMIM:234100
157	0.03378697484731674	OMIM:102500	OMIM:102500
158	0.03379911556839943	ORPHA:1727	ORPHA:1727
159	0.03381228446960449	ORPHA:52	ORPHA:52
160	0.03382712975144386	OMIM:614608	OMIM:614608
161	0.03384680300951004	OMIM:613706	OMIM:613706
162	0.03387024253606796	OMIM:218040	OMIM:218040
163	0.03387237340211868	OMIM:300882	OMIM:300882
164	0.033873993903398514	OMIM:617159	OMIM:617159
165	0.03389578312635422	ORPHA:579	ORPHA:579
166	0.03390264883637428	OMIM:179613	OMIM:179613
167	0.03390789031982422	OMIM:187600	OMIM:187600
168	0.033937934786081314	OMIM:300749	OMIM:300749
169	0.03394364193081856	OMIM:613805	OMIM:613805
170	0.033967845141887665	ORPHA:94065	ORPHA:94065
171	0.0339694544672966	OMIM:222600	OMIM:222600
172	0.03397245705127716	ORPHA:96264	ORPHA:96264
173	0.03397492319345474	ORPHA:193	ORPHA:193
174	0.033977046608924866	OMIM:609029	OMIM:609029
175	0.03398444131016731	ORPHA:457279	ORPHA:457279
176	0.034005019813776016	OMIM:182210	OMIM:182210
177	0.034007515758275986	ORPHA:1915	ORPHA:1915
178	0.03400779142975807	OMIM:130720	OMIM:130720
179	0.03404829278588295	ORPHA:2636	ORPHA:2636
180	0.034055691212415695	ORPHA:500159	ORPHA:500159
181	0.034077614545822144	ORPHA:3242	ORPHA:3242
182	0.03407936170697212	OMIM:619488	OMIM:619488
183	0.034089911729097366	OMIM:617809	OMIM:617809
184	0.034099094569683075	OMIM:614104	OMIM:614104
185	0.034102778881788254	ORPHA:2515	ORPHA:2515
186	0.0341133251786232	OMIM:309500	OMIM:309500
187	0.034116052091121674	ORPHA:314621	ORPHA:314621
188	0.03411627560853958	ORPHA:261279	ORPHA:261279
189	0.03411949425935745	OMIM:215100	OMIM:215100
190	0.03412158042192459	ORPHA:2510	ORPHA:2510
191	0.03412686660885811	OMIM:264090	OMIM:264090
192	0.03413431718945503	OMIM:612289	OMIM:612289
193	0.03414011374115944	OMIM:253200	OMIM:253200
194	0.03414841741323471	ORPHA:457395	ORPHA:457395
195	0.03415024280548096	ORPHA:93473	ORPHA:93473
196	0.034167639911174774	OMIM:606164	OMIM:606164
197	0.034171223640441895	ORPHA:3042	ORPHA:3042
198	0.03418663889169693	OMIM:616364	OMIM:616364
199	0.034210506826639175	ORPHA:502434	ORPHA:502434
200	0.03421179950237274	ORPHA:363528	ORPHA:363528
201	0.034218691289424896	ORPHA:420794	ORPHA:420794
202	0.03422011807560921	OMIM:618223	OMIM:618223
203	0.03422066196799278	ORPHA:93357	ORPHA:93357
204	0.034223515540361404	ORPHA:3047	ORPHA:3047
205	0.03422720357775688	ORPHA:96184	ORPHA:96184
206	0.034235067665576935	OMIM:619322	OMIM:619322
207	0.03424212336540222	ORPHA:3459	ORPHA:3459
208	0.03424231708049774	OMIM:616541	OMIM:616541
209	0.034248366951942444	ORPHA:96183	ORPHA:96183
210	0.03425702825188637	ORPHA:495818	ORPHA:495818
211	0.03426000475883484	OMIM:300867	OMIM:300867
212	0.03426002338528633	ORPHA:96129	ORPHA:96129
213	0.03427773714065552	OMIM:300676	OMIM:300676
214	0.0342777781188488	OMIM:619522	OMIM:619522
215	0.03429717943072319	ORPHA:500150	ORPHA:500150
216	0.03431553393602371	OMIM:614851	OMIM:614851
217	0.03432028368115425	OMIM:614749	OMIM:614749
218	0.034327782690525055	ORPHA:1001	ORPHA:1001
219	0.03434501960873604	OMIM:176270	OMIM:176270
220	0.034356214106082916	OMIM:210710	OMIM:210710
221	0.03437712788581848	ORPHA:217346	ORPHA:217346
222	0.03437802195549011	ORPHA:2233	ORPHA:2233
223	0.03438757359981537	OMIM:180870	OMIM:180870
224	0.0343971773982048	OMIM:601803	OMIM:601803
225	0.03439759835600853	OMIM:101800	OMIM:101800
226	0.034409042447805405	OMIM:614501	OMIM:614501
227	0.03442434221506119	ORPHA:2108	ORPHA:2108
228	0.034432921558618546	ORPHA:1860	ORPHA:1860
229	0.03444311395287514	ORPHA:468678	ORPHA:468678
230	0.03444548323750496	OMIM:607095	OMIM:607095
231	0.03449638932943344	OMIM:151050	OMIM:151050
232	0.0344967320561409	ORPHA:228410	ORPHA:228410
233	0.03450930118560791	ORPHA:567	ORPHA:567
234	0.03451636806130409	OMIM:253010	OMIM:253010
235	0.03452672064304352	ORPHA:488632	ORPHA:488632
236	0.03452729433774948	ORPHA:96148	ORPHA:96148
237	0.03453687205910683	ORPHA:503	ORPHA:503
238	0.03454224765300751	ORPHA:2083	ORPHA:2083
239	0.03455347567796707	ORPHA:557003	ORPHA:557003
240	0.034564461559057236	ORPHA:1393	ORPHA:1393
241	0.03456583619117737	OMIM:305400	OMIM:305400
242	0.034576285630464554	OMIM:619479	OMIM:619479
243	0.03459236025810242	OMIM:618005	OMIM:618005
244	0.03459949046373367	ORPHA:401973	ORPHA:401973
245	0.034601107239723206	OMIM:301900	OMIM:301900
246	0.03461948409676552	ORPHA:139474	ORPHA:139474
247	0.03462573140859604	OMIM:300148	OMIM:300148
248	0.03463015705347061	ORPHA:813	ORPHA:813
249	0.03465008735656738	ORPHA:508533	ORPHA:508533
250	0.034654490649700165	OMIM:616051	OMIM:616051
251	0.03466076776385307	ORPHA:96182	ORPHA:96182
252	0.034697648137807846	ORPHA:192	ORPHA:192
253	0.03472070395946503	OMIM:300534	OMIM:300534
254	0.034725289791822433	ORPHA:1358	ORPHA:1358
255	0.03472549095749855	ORPHA:1513	ORPHA:1513
256	0.034733012318611145	OMIM:619184	OMIM:619184
257	0.03473864495754242	OMIM:100800	OMIM:100800
258	0.03474417328834534	ORPHA:353277	ORPHA:353277
258	0.03474417328834534	ORPHA:353284	ORPHA:353284
260	0.03474978357553482	ORPHA:2554	ORPHA:2554
