rank	score	disease_name	disease_identifier
1	0.030491827055811882	OMIM:611543	OMIM:611543
2	0.03513587266206741	OMIM:615725	OMIM:615725
3	0.03924628347158432	OMIM:613756	OMIM:613756
4	0.040003951638936996	OMIM:617433	OMIM:617433
5	0.04381892830133438	OMIM:614181	OMIM:614181
6	0.044399719685316086	OMIM:617871	OMIM:617871
7	0.046469833701848984	OMIM:210370	OMIM:210370
8	0.04648609086871147	OMIM:601718	OMIM:601718
9	0.046681471168994904	OMIM:120970	OMIM:120970
10	0.04705318808555603	ORPHA:85128	ORPHA:85128
11	0.047084320336580276	OMIM:614500	OMIM:614500
12	0.04768763855099678	OMIM:613731	OMIM:613731
13	0.04881743714213371	OMIM:608553	OMIM:608553
14	0.04912443086504936	OMIM:601777	OMIM:601777
15	0.049143169075250626	ORPHA:99000	ORPHA:99000
16	0.049196865409612656	OMIM:600105	OMIM:600105
17	0.04949496313929558	OMIM:613983	OMIM:613983
18	0.04980681091547012	OMIM:613341	OMIM:613341
19	0.04999733343720436	OMIM:616544	OMIM:616544
20	0.05001562088727951	OMIM:613428	OMIM:613428
21	0.05011805146932602	ORPHA:41751	ORPHA:41751
22	0.05020400136709213	OMIM:613809	OMIM:613809
23	0.05029948055744171	OMIM:300029	OMIM:300029
24	0.05057261884212494	OMIM:609913	OMIM:609913
25	0.050652649253606796	OMIM:614180	OMIM:614180
26	0.050691667944192886	ORPHA:215	ORPHA:215
27	0.05118400603532791	ORPHA:88629	ORPHA:88629
28	0.05124497786164284	OMIM:615973	OMIM:615973
29	0.0515507236123085	OMIM:204100	OMIM:204100
30	0.051562514156103134	OMIM:113750	OMIM:113750
31	0.052018336951732635	OMIM:608194	OMIM:608194
32	0.05211500823497772	OMIM:613581	OMIM:613581
33	0.052160780876874924	ORPHA:178333	ORPHA:178333
34	0.052263639867305756	OMIM:304020	OMIM:304020
35	0.05282602459192276	OMIM:600132	OMIM:600132
36	0.053767066448926926	OMIM:615233	OMIM:615233
37	0.05388255417346954	OMIM:614186	OMIM:614186
38	0.054599445313215256	OMIM:613194	OMIM:613194
39	0.054608263075351715	OMIM:602093	OMIM:602093
40	0.05467971786856651	OMIM:203200	OMIM:203200
41	0.054693855345249176	OMIM:613843	OMIM:613843
42	0.05484434962272644	OMIM:610356	OMIM:610356
43	0.05490485206246376	OMIM:604393	OMIM:604393
44	0.05493898317217827	OMIM:618826	OMIM:618826
45	0.05498341843485832	ORPHA:284454	ORPHA:284454
46	0.055114176124334335	ORPHA:75377	ORPHA:75377
47	0.05516080558300018	OMIM:616469	OMIM:616469
48	0.05534651502966881	OMIM:610282	OMIM:610282
49	0.055586252361536026	OMIM:180105	OMIM:180105
50	0.05562221258878708	OMIM:610478	OMIM:610478
51	0.05568155273795128	OMIM:618220	OMIM:618220
52	0.055711835622787476	OMIM:620344	OMIM:620344
53	0.0557471327483654	ORPHA:52427	ORPHA:52427
54	0.05586622655391693	OMIM:605549	OMIM:605549
55	0.056072086095809937	OMIM:610283	OMIM:610283
56	0.056119177490472794	OMIM:613464	OMIM:613464
