rank	score	disease_name	disease_identifier
1	0.011846277862787247	ORPHA:319182	ORPHA:319182
2	0.012494481168687344	OMIM:614608	OMIM:614608
3	0.012617642991244793	ORPHA:357074	ORPHA:357074
4	0.01336594857275486	OMIM:605130	OMIM:605130
5	0.013539141044020653	OMIM:611091	OMIM:611091
6	0.013545512221753597	OMIM:619950	OMIM:619950
7	0.013881076127290726	OMIM:614607	OMIM:614607
8	0.014017101377248764	OMIM:270450	OMIM:270450
9	0.01424427144229412	OMIM:618443	OMIM:618443
10	0.01438936498016119	ORPHA:238750	ORPHA:238750
11	0.014423122629523277	OMIM:613406	OMIM:613406
12	0.01443987525999546	OMIM:614407	OMIM:614407
13	0.014539062045514584	OMIM:619075	OMIM:619075
14	0.014627561904489994	ORPHA:505237	ORPHA:505237
15	0.01467805728316307	OMIM:614202	OMIM:614202
16	0.01475322712212801	OMIM:605309	OMIM:605309
17	0.014763344079256058	OMIM:617157	OMIM:617157
18	0.014770426787436008	OMIM:618381	OMIM:618381
19	0.014783583581447601	OMIM:619695	OMIM:619695
20	0.014797359704971313	OMIM:601358	OMIM:601358
21	0.014830620028078556	OMIM:617452	OMIM:617452
22	0.014966282993555069	OMIM:300882	OMIM:300882
23	0.01497600506991148	OMIM:616938	OMIM:616938
24	0.014983422122895718	ORPHA:363528	ORPHA:363528
25	0.015010322444140911	OMIM:619833	OMIM:619833
26	0.015029043890535831	OMIM:615834	OMIM:615834
27	0.015062912367284298	OMIM:117550	OMIM:117550
28	0.015133085660636425	OMIM:300590	OMIM:300590
29	0.015196403488516808	OMIM:619312	OMIM:619312
30	0.01521037332713604	OMIM:216550	OMIM:216550
31	0.015214310958981514	ORPHA:1465	ORPHA:1465
32	0.015358704142272472	OMIM:615485	OMIM:615485
33	0.015366680920124054	ORPHA:480907	ORPHA:480907
34	0.015421976335346699	OMIM:300534	OMIM:300534
35	0.015468079596757889	OMIM:300966	OMIM:300966
36	0.015533684752881527	OMIM:617330	OMIM:617330
37	0.01555638574063778	OMIM:620250	OMIM:620250
38	0.015562869608402252	ORPHA:261349	ORPHA:261349
39	0.015579336322844028	OMIM:617333	OMIM:617333
40	0.015622492879629135	OMIM:618004	OMIM:618004
41	0.015688128769397736	OMIM:219200	OMIM:219200
42	0.015703273937106133	ORPHA:3455	ORPHA:3455
43	0.015747439116239548	ORPHA:506358	ORPHA:506358
44	0.015813162550330162	OMIM:617360	OMIM:617360
45	0.015826551243662834	OMIM:612337	OMIM:612337
46	0.015826614573597908	ORPHA:1446	ORPHA:1446
47	0.015858909115195274	OMIM:617140	OMIM:617140
48	0.01588076911866665	OMIM:213980	OMIM:213980
49	0.01591445319354534	OMIM:300749	OMIM:300749
50	0.015948854386806488	ORPHA:404448	ORPHA:404448
51	0.015991220250725746	OMIM:618885	OMIM:618885
52	0.016038255766034126	OMIM:223370	OMIM:223370
53	0.016068197786808014	OMIM:619005	OMIM:619005
54	0.01608133129775524	OMIM:617804	OMIM:617804
55	0.016096696257591248	OMIM:212066	OMIM:212066
56	0.016099469736218452	ORPHA:293967	ORPHA:293967
57	0.016145603731274605	OMIM:617991	OMIM:617991
58	0.0161723792552948	OMIM:615803	OMIM:615803
59	0.01617555320262909	OMIM:606232	OMIM:606232
60	0.01619941182434559	OMIM:613706	OMIM:613706
61	0.016219930723309517	OMIM:616977	OMIM:616977
62	0.0162256620824337	OMIM:252940	OMIM:252940
63	0.01623375341296196	OMIM:609757	OMIM:609757
64	0.016234351322054863	OMIM:608779	OMIM:608779
65	0.016270827502012253	OMIM:616222	OMIM:616222
66	0.016281042248010635	ORPHA:391408	ORPHA:391408
67	0.01628156192600727	OMIM:619934	OMIM:619934
68	0.016290243715047836	OMIM:617061	OMIM:617061
69	0.01630002073943615	OMIM:619383	OMIM:619383
70	0.01635148748755455	OMIM:259050	OMIM:259050
71	0.016352517530322075	ORPHA:2896	ORPHA:2896
72	0.016359584406018257	OMIM:300148	OMIM:300148
73	0.016414953395724297	OMIM:115150	OMIM:115150
74	0.016417095437645912	OMIM:300215	OMIM:300215
75	0.01642431877553463	ORPHA:231140	ORPHA:231140
76	0.016436468809843063	OMIM:264090	OMIM:264090
77	0.01645069755613804	ORPHA:2107	ORPHA:2107
78	0.01646987535059452	OMIM:618606	OMIM:618606
79	0.016474606469273567	ORPHA:502434	ORPHA:502434
80	0.0164775550365448	OMIM:618050	OMIM:618050
81	0.01648702286183834	OMIM:618590	OMIM:618590
82	0.016490645706653595	ORPHA:444002	ORPHA:444002
83	0.0165181215852499	OMIM:618430	OMIM:618430
84	0.016522806137800217	ORPHA:96184	ORPHA:96184
85	0.01653917320072651	OMIM:615873	OMIM:615873
86	0.01654118299484253	OMIM:619297	OMIM:619297
87	0.01657852716743946	ORPHA:353298	ORPHA:353298
88	0.016599219292402267	OMIM:613563	OMIM:613563
89	0.01660485938191414	OMIM:615419	OMIM:615419
90	0.01660986803472042	OMIM:135500	OMIM:135500
91	0.016610343009233475	ORPHA:85293	ORPHA:85293
92	0.016629058867692947	ORPHA:85282	ORPHA:85282
93	0.01663653925061226	ORPHA:3255	ORPHA:3255
94	0.016638431698083878	OMIM:619503	OMIM:619503
95	0.016674943268299103	OMIM:611087	OMIM:611087
96	0.016686003655195236	OMIM:301066	OMIM:301066
97	0.01668917015194893	ORPHA:193	ORPHA:193
98	0.016698267310857773	ORPHA:2563	ORPHA:2563
99	0.01670117862522602	ORPHA:199	ORPHA:199
