rank	score	disease_name	disease_identifier
1	0.015080546960234642	OMIM:613610	OMIM:613610
2	0.015155578963458538	OMIM:300855	OMIM:300855
3	0.016530126333236694	OMIM:115150	OMIM:115150
4	0.016566677019000053	ORPHA:1340	ORPHA:1340
5	0.016698457300662994	ORPHA:2067	ORPHA:2067
6	0.017058921977877617	ORPHA:1555	ORPHA:1555
7	0.01733516901731491	OMIM:619503	OMIM:619503
8	0.017419589683413506	ORPHA:955	ORPHA:955
9	0.017437471076846123	OMIM:218040	OMIM:218040
10	0.01746544986963272	ORPHA:79328	ORPHA:79328
11	0.017523109912872314	OMIM:619127	OMIM:619127
12	0.017530756071209908	OMIM:617506	OMIM:617506
13	0.017574895173311234	OMIM:618268	OMIM:618268
14	0.017653755843639374	OMIM:280000	OMIM:280000
15	0.017657481133937836	ORPHA:444077	ORPHA:444077
16	0.017696065828204155	OMIM:612940	OMIM:612940
17	0.017776556313037872	OMIM:611553	OMIM:611553
18	0.01790325902402401	ORPHA:3455	ORPHA:3455
19	0.01800667494535446	OMIM:234100	OMIM:234100
20	0.018038101494312286	ORPHA:52	ORPHA:52
21	0.01806454546749592	OMIM:230740	OMIM:230740
22	0.01812182180583477	OMIM:619472	OMIM:619472
23	0.018132284283638	OMIM:619745	OMIM:619745
24	0.018160060048103333	OMIM:264090	OMIM:264090
25	0.018171507865190506	ORPHA:2953	ORPHA:2953
26	0.01831096224486828	OMIM:619488	OMIM:619488
27	0.018379518762230873	OMIM:613075	OMIM:613075
28	0.018459158018231392	OMIM:613563	OMIM:613563
29	0.018513115122914314	ORPHA:280633	ORPHA:280633
30	0.01855579763650894	ORPHA:286	ORPHA:286
31	0.018604226410388947	OMIM:180849	OMIM:180849
32	0.01871570199728012	OMIM:620185	OMIM:620185
33	0.018722262233495712	OMIM:618950	OMIM:618950
34	0.018769053742289543	OMIM:616914	OMIM:616914
35	0.01878190226852894	ORPHA:2969	ORPHA:2969
36	0.0188352819532156	OMIM:222470	OMIM:222470
37	0.01892136037349701	ORPHA:798	ORPHA:798
38	0.018929285928606987	OMIM:235255	OMIM:235255
39	0.018934475257992744	ORPHA:83617	ORPHA:83617
40	0.018937479704618454	OMIM:181270	OMIM:181270
41	0.01899283565580845	ORPHA:96123	ORPHA:96123
42	0.01903759129345417	OMIM:266920	OMIM:266920
43	0.01904178597033024	ORPHA:744	ORPHA:744
44	0.019138207659125328	OMIM:135500	OMIM:135500
45	0.019141724333167076	OMIM:607014	OMIM:607014
46	0.0191951971501112	ORPHA:648	ORPHA:648
47	0.019243473187088966	OMIM:619087	OMIM:619087
48	0.019278477877378464	OMIM:601803	OMIM:601803
49	0.019322466105222702	OMIM:612289	OMIM:612289
50	0.019343962892889977	OMIM:610733	OMIM:610733
51	0.01943548582494259	OMIM:602535	OMIM:602535
52	0.019460778683423996	OMIM:616368	OMIM:616368
53	0.019460981711745262	OMIM:619841	OMIM:619841
54	0.019471554085612297	OMIM:312870	OMIM:312870
55	0.019487539306282997	ORPHA:487796	ORPHA:487796
56	0.01951133832335472	OMIM:123790	OMIM:123790
57	0.019516142085194588	ORPHA:912	ORPHA:912
58	0.01954434998333454	OMIM:610443	OMIM:610443
59	0.019544467329978943	ORPHA:235	ORPHA:235
60	0.019554540514945984	OMIM:620186	OMIM:620186
61	0.019566865637898445	OMIM:253250	OMIM:253250
62	0.019598547369241714	OMIM:303600	OMIM:303600
63	0.019607238471508026	OMIM:618548	OMIM:618548
64	0.019619716331362724	ORPHA:363700	ORPHA:363700
65	0.01962418109178543	ORPHA:2849	ORPHA:2849
66	0.019763408228754997	ORPHA:3219	ORPHA:3219
67	0.01978117786347866	ORPHA:2135	ORPHA:2135
68	0.019798092544078827	OMIM:150230	OMIM:150230
69	0.01984211802482605	ORPHA:261250	ORPHA:261250
70	0.019852489233016968	ORPHA:96169	ORPHA:96169
71	0.01989329792559147	OMIM:617303	OMIM:617303
72	0.01992756500840187	OMIM:614437	OMIM:614437
73	0.01993606612086296	OMIM:214100	OMIM:214100
74	0.01993805356323719	OMIM:619383	OMIM:619383
75	0.01996389962732792	ORPHA:3310	ORPHA:3310
76	0.019967013970017433	OMIM:616737	OMIM:616737
77	0.019983621314167976	OMIM:263210	OMIM:263210
78	0.020036429166793823	OMIM:249420	OMIM:249420
79	0.02014808915555477	ORPHA:116	ORPHA:116
80	0.02016323059797287	OMIM:619325	OMIM:619325
