rank	score	disease_name	disease_identifier
1	0.012337008491158485	OMIM:614816	OMIM:614816
2	0.015378784388303757	OMIM:619329	OMIM:619329
3	0.01640786975622177	OMIM:130000	OMIM:130000
4	0.01645769365131855	ORPHA:60030	ORPHA:60030
5	0.01665063202381134	ORPHA:2953	ORPHA:2953
6	0.01717968098819256	OMIM:208050	OMIM:208050
7	0.017492227256298065	OMIM:619472	OMIM:619472
8	0.017725415527820587	OMIM:613075	OMIM:613075
9	0.018061602488160133	OMIM:300989	OMIM:300989
10	0.01822684332728386	OMIM:613795	OMIM:613795
11	0.018284663558006287	ORPHA:284984	ORPHA:284984
12	0.01855563558638096	OMIM:614437	OMIM:614437
13	0.018813403323292732	ORPHA:286	ORPHA:286
14	0.01887676492333412	ORPHA:287	ORPHA:287
15	0.019720466807484627	OMIM:618000	OMIM:618000
16	0.01973184384405613	ORPHA:90348	ORPHA:90348
17	0.019946934655308723	ORPHA:536532	ORPHA:536532
18	0.02008950337767601	ORPHA:558	ORPHA:558
19	0.02055506221950054	ORPHA:758	ORPHA:758
20	0.020814621821045876	OMIM:130050	OMIM:130050
21	0.0210246741771698	ORPHA:230851	ORPHA:230851
22	0.02111496403813362	OMIM:304150	OMIM:304150
23	0.021174417808651924	ORPHA:217335	ORPHA:217335
24	0.021210793405771255	OMIM:615582	OMIM:615582
25	0.02125523053109646	OMIM:225400	OMIM:225400
26	0.021532263606786728	ORPHA:3342	ORPHA:3342
27	0.021538056433200836	OMIM:601776	OMIM:601776
28	0.021653179079294205	ORPHA:363705	ORPHA:363705
29	0.0217101089656353	ORPHA:536545	ORPHA:536545
30	0.022218501195311546	OMIM:300855	OMIM:300855
31	0.02224755845963955	ORPHA:536467	ORPHA:536467
32	0.022331882268190384	ORPHA:1900	ORPHA:1900
33	0.022377805784344673	ORPHA:284979	ORPHA:284979
34	0.022610893473029137	OMIM:619503	OMIM:619503
35	0.022808397188782692	OMIM:616564	OMIM:616564
36	0.0229237861931324	OMIM:606408	OMIM:606408
37	0.023000601679086685	OMIM:253200	OMIM:253200
38	0.023132717236876488	ORPHA:285	ORPHA:285
39	0.023216089233756065	OMIM:619745	OMIM:619745
40	0.023225879296660423	OMIM:130080	OMIM:130080
41	0.0232550036162138	ORPHA:2962	ORPHA:2962
42	0.02345365099608898	OMIM:612940	OMIM:612940
43	0.02371734194457531	OMIM:607014	OMIM:607014
44	0.02373306080698967	ORPHA:198	ORPHA:198
45	0.02373872697353363	OMIM:610168	OMIM:610168
46	0.023804685100913048	ORPHA:2834	ORPHA:2834
47	0.023842567577958107	ORPHA:904	ORPHA:904
48	0.023936055600643158	OMIM:154700	OMIM:154700
49	0.023946397006511688	ORPHA:90354	ORPHA:90354
50	0.02398478239774704	ORPHA:955	ORPHA:955
