rank	score	disease_name	disease_identifier
1	0.03333917632699013	ORPHA:678	ORPHA:678
2	0.04307342320680618	OMIM:170650	OMIM:170650
3	0.044243164360523224	ORPHA:2309	ORPHA:2309
4	0.046842142939567566	OMIM:245000	OMIM:245000
5	0.04747310280799866	ORPHA:158668	ORPHA:158668
6	0.04751596972346306	ORPHA:477	ORPHA:477
7	0.04802512004971504	OMIM:167210	OMIM:167210
8	0.05148375779390335	ORPHA:659	ORPHA:659
9	0.0520775280892849	ORPHA:2314	ORPHA:2314
10	0.053938090801239014	OMIM:612843	OMIM:612843
11	0.054473161697387695	OMIM:173650	OMIM:173650
12	0.0546102449297905	ORPHA:2908	ORPHA:2908
13	0.05544267222285271	OMIM:257980	OMIM:257980
14	0.05575873702764511	ORPHA:69087	ORPHA:69087
15	0.056114550679922104	OMIM:615726	OMIM:615726
16	0.056198496371507645	ORPHA:75392	ORPHA:75392
17	0.05633558705449104	ORPHA:2907	ORPHA:2907
18	0.05634064972400665	OMIM:226650	OMIM:226650
19	0.05664148926734924	OMIM:604173	OMIM:604173
20	0.057086773216724396	OMIM:617337	OMIM:617337
21	0.057302750647068024	ORPHA:530	ORPHA:530
22	0.05730990692973137	ORPHA:79409	ORPHA:79409
23	0.05796970799565315	ORPHA:294023	ORPHA:294023
24	0.05806635320186615	ORPHA:1775	ORPHA:1775
25	0.05850520730018616	ORPHA:2968	ORPHA:2968
26	0.058564718812704086	OMIM:614564	OMIM:614564
27	0.05890538915991783	OMIM:130080	OMIM:130080
28	0.05896339938044548	ORPHA:2686	ORPHA:2686
29	0.05904804915189743	OMIM:613736	OMIM:613736
30	0.05958300083875656	OMIM:226670	OMIM:226670
31	0.059751421213150024	ORPHA:2909	ORPHA:2909
32	0.05975921079516411	OMIM:618282	OMIM:618282
33	0.059850551187992096	ORPHA:79410	ORPHA:79410
34	0.059881072491407394	OMIM:301845	OMIM:301845
35	0.0602886900305748	OMIM:616295	OMIM:616295
36	0.06031610444188118	OMIM:150400	OMIM:150400
37	0.06038608029484749	OMIM:224230	OMIM:224230
38	0.06058082729578018	ORPHA:79408	ORPHA:79408
39	0.06071475148200989	ORPHA:238468	ORPHA:238468
40	0.06091102585196495	OMIM:605676	OMIM:605676
41	0.06099497154355049	OMIM:615821	OMIM:615821
42	0.06134727969765663	ORPHA:1810	ORPHA:1810
43	0.06149955466389656	ORPHA:79406	ORPHA:79406
44	0.0615619495511055	ORPHA:89838	ORPHA:89838
45	0.06158788502216339	ORPHA:79405	ORPHA:79405
46	0.061726637184619904	ORPHA:79411	ORPHA:79411
47	0.061827145516872406	OMIM:619208	OMIM:619208
48	0.061856482177972794	ORPHA:251393	ORPHA:251393
49	0.06205810606479645	OMIM:161000	OMIM:161000
50	0.06206026300787926	ORPHA:742	ORPHA:742
51	0.06218058615922928	OMIM:248370	OMIM:248370
52	0.06219641864299774	OMIM:226700	OMIM:226700
53	0.06222130358219147	OMIM:614594	OMIM:614594
54	0.062298331409692764	OMIM:608612	OMIM:608612
55	0.06253212690353394	ORPHA:37	ORPHA:37
56	0.06284138560295105	OMIM:618373	OMIM:618373
57	0.06290414184331894	OMIM:147060	OMIM:147060
58	0.06301464885473251	ORPHA:79396	ORPHA:79396
59	0.06309136003255844	ORPHA:793	ORPHA:793
60	0.06312134861946106	ORPHA:494	ORPHA:494
61	0.06327902525663376	ORPHA:486	ORPHA:486
62	0.06335107982158661	OMIM:614328	OMIM:614328
63	0.06336330622434616	OMIM:148210	OMIM:148210
64	0.0633712112903595	ORPHA:313	ORPHA:313
65	0.0633997842669487	ORPHA:1896	ORPHA:1896
66	0.06350050121545792	ORPHA:50944	ORPHA:50944
67	0.06352019309997559	ORPHA:83453	ORPHA:83453
68	0.06359969824552536	ORPHA:704	ORPHA:704
69	0.06361633539199829	ORPHA:79402	ORPHA:79402
70	0.0637238547205925	ORPHA:2796	ORPHA:2796
71	0.06388677656650543	OMIM:617475	OMIM:617475
72	0.06389592587947845	OMIM:129400	OMIM:129400
73	0.06394680589437485	ORPHA:3253	ORPHA:3253
74	0.06398521363735199	ORPHA:2028	ORPHA:2028
75	0.06398840993642807	OMIM:308300	OMIM:308300
76	0.06401009857654572	ORPHA:525	ORPHA:525
77	0.06401223689317703	OMIM:103285	OMIM:103285
78	0.06432633846998215	OMIM:308800	OMIM:308800
79	0.06433568149805069	OMIM:615225	OMIM:615225
80	0.06438050419092178	OMIM:131760	OMIM:131760
81	0.06441696733236313	ORPHA:3019	ORPHA:3019
82	0.06453284621238708	OMIM:619816	OMIM:619816
83	0.0645580142736435	ORPHA:221016	ORPHA:221016
84	0.06467915326356888	OMIM:225410	OMIM:225410
85	0.0646839588880539	ORPHA:2791	ORPHA:2791
86	0.06484059989452362	ORPHA:221008	ORPHA:221008
87	0.06507126986980438	ORPHA:926	ORPHA:926
88	0.06513983756303787	ORPHA:168569	ORPHA:168569
89	0.0651678591966629	OMIM:602540	OMIM:602540
90	0.06516789644956589	OMIM:106260	OMIM:106260
91	0.06516887992620468	ORPHA:182	ORPHA:182
92	0.0652395486831665	ORPHA:1010	ORPHA:1010
93	0.0653526708483696	OMIM:618131	OMIM:618131
94	0.06536593288183212	ORPHA:90289	ORPHA:90289
95	0.06548012048006058	OMIM:158310	OMIM:158310
96	0.06549747288227081	ORPHA:140936	ORPHA:140936
97	0.06554898619651794	ORPHA:79400	ORPHA:79400
98	0.06567135453224182	OMIM:116920	OMIM:116920
99	0.06574735790491104	OMIM:305000	OMIM:305000
100	0.06577619165182114	OMIM:614441	OMIM:614441
101	0.06578055024147034	ORPHA:90154	ORPHA:90154
102	0.06585986912250519	ORPHA:495	ORPHA:495
103	0.06586966663599014	ORPHA:228119	ORPHA:228119
104	0.06591057032346725	OMIM:162700	OMIM:162700
105	0.06598404049873352	OMIM:619787	OMIM:619787
106	0.0660066306591034	ORPHA:158673	ORPHA:158673
107	0.06610497832298279	OMIM:308205	OMIM:308205
108	0.06613695621490479	OMIM:226600	OMIM:226600
109	0.06622679531574249	ORPHA:125	ORPHA:125
110	0.06628414988517761	ORPHA:79474	ORPHA:79474
111	0.06633170694112778	OMIM:614008	OMIM:614008
112	0.06634164601564407	ORPHA:89843	ORPHA:89843
113	0.06641723215579987	OMIM:601675	OMIM:601675
114	0.06645099818706512	ORPHA:51636	ORPHA:51636
115	0.0665992796421051	OMIM:616029	OMIM:616029
116	0.06668610870838165	ORPHA:464	ORPHA:464
117	0.06672626733779907	OMIM:228600	OMIM:228600
118	0.06674810498952866	ORPHA:99843	ORPHA:99843
119	0.06690160185098648	ORPHA:29207	ORPHA:29207
120	0.0671798586845398	OMIM:618625	OMIM:618625
121	0.06730354577302933	ORPHA:2176	ORPHA:2176
122	0.06732940673828125	OMIM:613573	OMIM:613573
123	0.06737282127141953	ORPHA:95159	ORPHA:95159
124	0.0674496442079544	OMIM:259100	OMIM:259100
125	0.06749044358730316	OMIM:615522	OMIM:615522
126	0.0675775408744812	ORPHA:1028	ORPHA:1028
127	0.0675865188241005	ORPHA:69125	ORPHA:69125
128	0.06764022260904312	OMIM:617756	OMIM:617756
129	0.06766054779291153	OMIM:225060	OMIM:225060
130	0.06767240911722183	OMIM:615508	OMIM:615508
131	0.06768588721752167	ORPHA:2750	ORPHA:2750
132	0.06779912114143372	ORPHA:53715	ORPHA:53715
133	0.06781293451786041	OMIM:618935	OMIM:618935
134	0.06786669045686722	OMIM:604536	OMIM:604536
135	0.06792958825826645	ORPHA:3474	ORPHA:3474
136	0.06798767298460007	ORPHA:73223	ORPHA:73223
137	0.06803294271230698	ORPHA:3071	ORPHA:3071
138	0.06803670525550842	ORPHA:379	ORPHA:379
139	0.06816049665212631	OMIM:167100	OMIM:167100
140	0.06827129423618317	ORPHA:548	ORPHA:548
141	0.06828281283378601	ORPHA:2273	ORPHA:2273
142	0.06828389316797256	ORPHA:978	ORPHA:978
143	0.06833524256944656	OMIM:129500	OMIM:129500
144	0.0684007927775383	OMIM:104100	OMIM:104100
145	0.06842192262411118	ORPHA:83451	ORPHA:83451
146	0.06853363662958145	OMIM:619269	OMIM:619269
147	0.0685364156961441	OMIM:251260	OMIM:251260
148	0.06857359409332275	ORPHA:534	ORPHA:534
149	0.06857943534851074	OMIM:620370	OMIM:620370
150	0.06858081370592117	ORPHA:286	ORPHA:286
151	0.06864838302135468	ORPHA:1071	ORPHA:1071
