rank	score	disease_name	disease_identifier
1	0.019777024164795876	OMIM:618918	OMIM:618918
2	0.020157553255558014	ORPHA:2754	ORPHA:2754
3	0.02135257050395012	OMIM:610954	OMIM:610954
4	0.022036802023649216	OMIM:613684	OMIM:613684
5	0.022199057042598724	ORPHA:783	ORPHA:783
6	0.022451093420386314	ORPHA:1001	ORPHA:1001
7	0.02245396003127098	OMIM:211750	OMIM:211750
8	0.022458810359239578	ORPHA:2750	ORPHA:2750
9	0.02264946512877941	ORPHA:485405	ORPHA:485405
10	0.02269773557782173	OMIM:300963	OMIM:300963
11	0.022721201181411743	ORPHA:79500	ORPHA:79500
12	0.022847946733236313	OMIM:605130	OMIM:605130
13	0.022905347868800163	OMIM:305450	OMIM:305450
14	0.023038502782583237	OMIM:605039	OMIM:605039
15	0.02310132049024105	ORPHA:261330	ORPHA:261330
16	0.02310825325548649	OMIM:277170	OMIM:277170
17	0.023214366286993027	OMIM:613406	OMIM:613406
18	0.02332749404013157	OMIM:618381	OMIM:618381
19	0.023427771404385567	OMIM:617557	OMIM:617557
20	0.023580025881528854	ORPHA:319182	ORPHA:319182
21	0.023594457656145096	ORPHA:401973	ORPHA:401973
22	0.023680049926042557	OMIM:169400	OMIM:169400
23	0.023721497505903244	OMIM:601110	OMIM:601110
24	0.02376878261566162	OMIM:170390	OMIM:170390
25	0.02377479150891304	ORPHA:502434	ORPHA:502434
26	0.023819586262106895	ORPHA:192	ORPHA:192
27	0.023859230801463127	OMIM:247200	OMIM:247200
28	0.024018313735723495	OMIM:617804	OMIM:617804
29	0.02402443066239357	OMIM:301044	OMIM:301044
30	0.024065792560577393	OMIM:277590	OMIM:277590
31	0.024067243561148643	OMIM:619297	OMIM:619297
32	0.024073118343949318	ORPHA:2710	ORPHA:2710
33	0.024091433733701706	ORPHA:3268	ORPHA:3268
34	0.024134250357747078	ORPHA:397709	ORPHA:397709
35	0.024322720244526863	OMIM:602849	OMIM:602849
36	0.024399999529123306	ORPHA:435638	ORPHA:435638
37	0.024449842050671577	ORPHA:3255	ORPHA:3255
38	0.02449614368379116	ORPHA:96201	ORPHA:96201
39	0.024505019187927246	ORPHA:521426	ORPHA:521426
40	0.024505577981472015	ORPHA:96148	ORPHA:96148
41	0.024552254006266594	OMIM:180849	OMIM:180849
42	0.024584170430898666	ORPHA:261323	ORPHA:261323
43	0.024602826684713364	OMIM:619648	OMIM:619648
44	0.02464498206973076	OMIM:210600	OMIM:210600
45	0.02468150481581688	ORPHA:818	ORPHA:818
46	0.024681823328137398	ORPHA:3103	ORPHA:3103
47	0.024696417152881622	OMIM:200990	OMIM:200990
48	0.024712473154067993	OMIM:300867	OMIM:300867
49	0.024757442995905876	ORPHA:221120	ORPHA:221120
