rank	score	disease_name	disease_identifier
1	0.01551513746380806	ORPHA:3447	ORPHA:3447
2	0.01554899662733078	ORPHA:915	ORPHA:915
3	0.015641624107956886	OMIM:309580	OMIM:309580
4	0.015866294503211975	OMIM:614976	OMIM:614976
5	0.01588503085076809	OMIM:211750	OMIM:211750
6	0.015909448266029358	OMIM:616734	OMIM:616734
7	0.016024509444832802	ORPHA:3080	ORPHA:3080
8	0.016216423362493515	ORPHA:2872	ORPHA:2872
9	0.016229715198278427	OMIM:605130	OMIM:605130
10	0.016291964799165726	ORPHA:221120	ORPHA:221120
11	0.016335653141140938	ORPHA:464738	ORPHA:464738
12	0.016432223841547966	ORPHA:2215	ORPHA:2215
13	0.01645355299115181	OMIM:604314	OMIM:604314
14	0.016497833654284477	OMIM:265000	OMIM:265000
15	0.01651703007519245	OMIM:619951	OMIM:619951
16	0.01656346209347248	OMIM:613776	OMIM:613776
17	0.016961101442575455	OMIM:618975	OMIM:618975
18	0.01704578474164009	OMIM:208150	OMIM:208150
19	0.017135923728346825	OMIM:613458	OMIM:613458
20	0.01720837689936161	OMIM:305400	OMIM:305400
21	0.017238693311810493	OMIM:620072	OMIM:620072
22	0.01731693744659424	OMIM:605039	OMIM:605039
23	0.017427735030651093	OMIM:227330	OMIM:227330
24	0.017474643886089325	ORPHA:3041	ORPHA:3041
25	0.017555367201566696	OMIM:300960	OMIM:300960
26	0.017580579966306686	OMIM:613544	OMIM:613544
27	0.017610915005207062	OMIM:277590	OMIM:277590
28	0.01763138920068741	OMIM:619194	OMIM:619194
29	0.017670635133981705	OMIM:305450	OMIM:305450
30	0.017685525119304657	OMIM:260660	OMIM:260660
31	0.01769176498055458	OMIM:180700	OMIM:180700
32	0.017774859443306923	OMIM:268310	OMIM:268310
33	0.01785697229206562	OMIM:619087	OMIM:619087
34	0.017965832725167274	ORPHA:1308	ORPHA:1308
35	0.017966756597161293	ORPHA:3379	ORPHA:3379
36	0.0179752167314291	OMIM:615539	OMIM:615539
37	0.01798662543296814	OMIM:300895	OMIM:300895
38	0.018017008900642395	OMIM:618950	OMIM:618950
39	0.018032647669315338	OMIM:609625	OMIM:609625
40	0.01804303377866745	ORPHA:85293	ORPHA:85293
41	0.018112409859895706	ORPHA:3107	ORPHA:3107
42	0.018238237127661705	OMIM:210600	OMIM:210600
43	0.018246924504637718	OMIM:245600	OMIM:245600
44	0.01828729547560215	ORPHA:1507	ORPHA:1507
45	0.0182991661131382	OMIM:108120	OMIM:108120
46	0.018311509862542152	OMIM:201170	OMIM:201170
47	0.01832687295973301	OMIM:617402	OMIM:617402
48	0.018334396183490753	OMIM:619148	OMIM:619148
49	0.018401386216282845	OMIM:612474	OMIM:612474
50	0.018460741266608238	OMIM:619841	OMIM:619841
51	0.018466729670763016	ORPHA:1692	ORPHA:1692
52	0.018468473106622696	ORPHA:280633	ORPHA:280633
53	0.018478622660040855	OMIM:617561	OMIM:617561
54	0.01848023384809494	OMIM:601680	OMIM:601680
