rank	score	disease_name	disease_identifier
1	0.023592166602611542	OMIM:609053	OMIM:609053
2	0.02530326321721077	OMIM:612561	OMIM:612561
3	0.025370599702000618	OMIM:190685	OMIM:190685
4	0.026451515033841133	OMIM:612562	OMIM:612562
5	0.02648491971194744	OMIM:300514	OMIM:300514
6	0.026866158470511436	OMIM:249670	OMIM:249670
7	0.027187693864107132	OMIM:220210	OMIM:220210
8	0.027614781633019447	OMIM:300712	OMIM:300712
9	0.02775101363658905	ORPHA:3426	ORPHA:3426
10	0.027984822168946266	ORPHA:2255	ORPHA:2255
11	0.028239913284778595	OMIM:619343	OMIM:619343
12	0.028488680720329285	OMIM:617478	OMIM:617478
13	0.028503557667136192	OMIM:603467	OMIM:603467
14	0.02858142741024494	OMIM:265380	OMIM:265380
15	0.028816593810915947	OMIM:214800	OMIM:214800
16	0.028871934860944748	OMIM:100300	OMIM:100300
17	0.02896113507449627	OMIM:601186	OMIM:601186
18	0.029014980420470238	OMIM:619657	OMIM:619657
19	0.029133198782801628	OMIM:618652	OMIM:618652
20	0.02928788587450981	OMIM:163950	OMIM:163950
21	0.029304858297109604	OMIM:600001	OMIM:600001
22	0.029484007507562637	ORPHA:124	ORPHA:124
23	0.02949017658829689	ORPHA:7	ORPHA:7
24	0.029519855976104736	OMIM:617159	OMIM:617159
25	0.0296565443277359	OMIM:619869	OMIM:619869
26	0.02966342866420746	OMIM:609942	OMIM:609942
27	0.02968556061387062	ORPHA:2306	ORPHA:2306
28	0.029770661145448685	OMIM:309801	OMIM:309801
29	0.030171062797307968	ORPHA:1600	ORPHA:1600
30	0.030200185254216194	OMIM:105650	OMIM:105650
31	0.030280377715826035	ORPHA:2519	ORPHA:2519
32	0.03059612587094307	OMIM:618280	OMIM:618280
33	0.030611123889684677	ORPHA:163979	ORPHA:163979
34	0.030648870393633842	OMIM:257300	OMIM:257300
35	0.03069991059601307	OMIM:618223	OMIM:618223
36	0.03079044818878174	OMIM:306955	OMIM:306955
37	0.030862227082252502	ORPHA:1596	ORPHA:1596
38	0.030948305502533913	OMIM:609029	OMIM:609029
39	0.0311326552182436	OMIM:601005	OMIM:601005
40	0.031136425212025642	OMIM:601355	OMIM:601355
41	0.03121618926525116	OMIM:115470	OMIM:115470
42	0.03129083663225174	OMIM:617063	OMIM:617063
43	0.031420089304447174	OMIM:605275	OMIM:605275
44	0.03144772723317146	OMIM:614294	OMIM:614294
45	0.03149721398949623	OMIM:227646	OMIM:227646
46	0.03155113384127617	OMIM:164280	OMIM:164280
47	0.03166067227721214	ORPHA:3338	ORPHA:3338
48	0.03176339343190193	ORPHA:3047	ORPHA:3047
49	0.03179272636771202	OMIM:612938	OMIM:612938
