rank	score	disease_name	disease_identifier
1	0.039811018854379654	OMIM:617643	OMIM:617643
2	0.04210064932703972	OMIM:245570	OMIM:245570
3	0.04302532598376274	OMIM:617863	OMIM:617863
4	0.04466715082526207	OMIM:226750	OMIM:226750
5	0.04508674517273903	ORPHA:352582	ORPHA:352582
6	0.045604605227708817	OMIM:300607	OMIM:300607
7	0.045793820172548294	OMIM:617935	OMIM:617935
8	0.04592529684305191	OMIM:619338	OMIM:619338
9	0.04593705013394356	OMIM:613721	OMIM:613721
10	0.04650937393307686	OMIM:300388	OMIM:300388
11	0.047257598489522934	OMIM:612621	OMIM:612621
12	0.04739668592810631	OMIM:617391	OMIM:617391
13	0.04742437228560448	OMIM:617188	OMIM:617188
14	0.04768490418791771	OMIM:617831	OMIM:617831
15	0.04779534786939621	OMIM:301008	OMIM:301008
16	0.04780689254403114	OMIM:618559	OMIM:618559
17	0.04794106259942055	OMIM:619157	OMIM:619157
18	0.04802297428250313	OMIM:619970	OMIM:619970
19	0.048188887536525726	OMIM:620243	OMIM:620243
20	0.04836851358413696	OMIM:614558	OMIM:614558
21	0.04853108897805214	ORPHA:86909	ORPHA:86909
22	0.04859036207199097	OMIM:300848	OMIM:300848
23	0.04892415553331375	OMIM:121200	OMIM:121200
24	0.04902474582195282	OMIM:620145	OMIM:620145
25	0.04905405268073082	OMIM:618412	OMIM:618412
26	0.049078233540058136	OMIM:604317	OMIM:604317
27	0.049078430980443954	OMIM:614115	OMIM:614115
28	0.04955410584807396	OMIM:617836	OMIM:617836
29	0.04959183558821678	OMIM:616409	OMIM:616409
30	0.049604859203100204	OMIM:618917	OMIM:618917
31	0.049757447093725204	OMIM:618158	OMIM:618158
32	0.05003979057073593	OMIM:617873	OMIM:617873
33	0.05005904287099838	OMIM:619228	OMIM:619228
34	0.05037200078368187	OMIM:618482	OMIM:618482
35	0.05043924227356911	OMIM:617350	OMIM:617350
36	0.050471577793359756	OMIM:616645	OMIM:616645
37	0.05048757046461105	OMIM:620028	OMIM:620028
38	0.05055302754044533	OMIM:619605	OMIM:619605
39	0.05066659674048424	OMIM:610042	OMIM:610042
40	0.05068225786089897	ORPHA:268940	ORPHA:268940
41	0.05068642646074295	ORPHA:139444	ORPHA:139444
42	0.05098722502589226	OMIM:618677	OMIM:618677
43	0.05119863525032997	OMIM:617771	OMIM:617771
44	0.0512007437646389	OMIM:617711	OMIM:617711
45	0.05134088173508644	OMIM:618090	OMIM:618090
46	0.05142069235444069	OMIM:615473	OMIM:615473
47	0.051428116858005524	OMIM:619835	OMIM:619835
48	0.05143003910779953	ORPHA:208447	ORPHA:208447
49	0.05146382749080658	OMIM:617601	OMIM:617601
50	0.05154154822230339	OMIM:612164	OMIM:612164
51	0.051796894520521164	OMIM:266100	OMIM:266100
52	0.051814183592796326	OMIM:618402	OMIM:618402
53	0.05190996453166008	OMIM:300088	OMIM:300088
54	0.05191905051469803	OMIM:300923	OMIM:300923
55	0.05191956087946892	OMIM:617105	OMIM:617105
56	0.05206183344125748	OMIM:618873	OMIM:618873
57	0.052110545337200165	OMIM:618687	OMIM:618687
58	0.05211601033806801	OMIM:618012	OMIM:618012
59	0.052117206156253815	OMIM:612951	OMIM:612951
60	0.052225254476070404	OMIM:616139	OMIM:616139
61	0.052372172474861145	OMIM:251280	OMIM:251280
62	0.052601419389247894	ORPHA:101070	ORPHA:101070
63	0.05284055694937706	OMIM:618425	OMIM:618425
64	0.053031254559755325	ORPHA:163681	ORPHA:163681
65	0.05303633585572243	OMIM:616973	OMIM:616973
66	0.05313624441623688	OMIM:619881	OMIM:619881
67	0.05328398197889328	OMIM:614499	OMIM:614499
68	0.0533197782933712	OMIM:617290	OMIM:617290
69	0.053382277488708496	OMIM:618492	OMIM:618492
70	0.0533827468752861	OMIM:620027	OMIM:620027
71	0.05363485589623451	OMIM:308350	OMIM:308350
72	0.05370628833770752	OMIM:619517	OMIM:619517
73	0.05384198948740959	OMIM:619913	OMIM:619913
74	0.053974349051713943	OMIM:612736	OMIM:612736
75	0.05400853604078293	OMIM:615544	OMIM:615544
76	0.054024308919906616	OMIM:617862	OMIM:617862
77	0.05406343191862106	OMIM:616763	OMIM:616763
78	0.05412372201681137	OMIM:616366	OMIM:616366
79	0.05413607880473137	OMIM:619606	OMIM:619606
80	0.054136402904987335	OMIM:619964	OMIM:619964
81	0.05414370074868202	OMIM:619580	OMIM:619580
82	0.054170675575733185	OMIM:618770	OMIM:618770
83	0.05419914051890373	OMIM:600176	OMIM:600176
84	0.05420361715725815	OMIM:620317	OMIM:620317
85	0.05429550260305405	OMIM:620033	OMIM:620033
86	0.0543215349316597	OMIM:616917	OMIM:616917
87	0.054352570325136185	OMIM:618095	OMIM:618095
88	0.054399196058511734	ORPHA:488613	ORPHA:488613
89	0.05441981554031372	OMIM:300423	OMIM:300423
90	0.05457755923271179	OMIM:616172	OMIM:616172
91	0.054597754031419754	OMIM:619927	OMIM:619927
92	0.054666679352521896	OMIM:615817	OMIM:615817
93	0.0547197051346302	OMIM:618141	OMIM:618141
94	0.054865915328264236	OMIM:619373	OMIM:619373
95	0.05488424003124237	OMIM:616944	OMIM:616944
96	0.0549553744494915	ORPHA:599373	ORPHA:599373
97	0.05496089905500412	OMIM:620024	OMIM:620024
98	0.05505682900547981	OMIM:607208	OMIM:607208
99	0.05507311224937439	OMIM:616521	OMIM:616521
100	0.055102284997701645	OMIM:616056	OMIM:616056
101	0.0551396869122982	OMIM:619725	OMIM:619725
102	0.05515332892537117	OMIM:617810	OMIM:617810
103	0.055196572095155716	OMIM:618103	OMIM:618103
104	0.0551985502243042	OMIM:618185	OMIM:618185
105	0.05520133301615715	ORPHA:293181	ORPHA:293181
106	0.05540229007601738	OMIM:617976	OMIM:617976
107	0.05545470118522644	OMIM:619616	OMIM:619616
108	0.0556197389960289	OMIM:616193	OMIM:616193
109	0.05562101677060127	ORPHA:1942	ORPHA:1942
110	0.05567709356546402	OMIM:619470	OMIM:619470
111	0.05571363493800163	OMIM:617171	OMIM:617171
112	0.055716145783662796	OMIM:619091	OMIM:619091
113	0.05574052408337593	OMIM:616281	OMIM:616281
114	0.055787451565265656	OMIM:619854	OMIM:619854
115	0.055794961750507355	OMIM:617182	OMIM:617182
116	0.05589396134018898	ORPHA:1934	ORPHA:1934
117	0.055942103266716	OMIM:619561	OMIM:619561
118	0.055950090289115906	OMIM:616346	OMIM:616346
119	0.056180164217948914	OMIM:619239	OMIM:619239
120	0.056191831827163696	ORPHA:79137	ORPHA:79137
121	0.056201860308647156	ORPHA:289266	ORPHA:289266
122	0.05629298835992813	ORPHA:268943	ORPHA:268943
123	0.056337568908929825	OMIM:616025	OMIM:616025
124	0.056397322565317154	OMIM:616116	OMIM:616116
125	0.05643444508314133	OMIM:609056	OMIM:609056
126	0.05648719519376755	OMIM:618383	OMIM:618383
127	0.056525371968746185	OMIM:618325	OMIM:618325
128	0.05655210465192795	OMIM:619428	OMIM:619428
129	0.05658106133341789	OMIM:618396	OMIM:618396
130	0.05668584629893303	OMIM:616230	OMIM:616230
131	0.056800663471221924	OMIM:617026	OMIM:617026
132	0.05680488795042038	OMIM:618174	OMIM:618174
133	0.056846726685762405	OMIM:617255	OMIM:617255
134	0.05688117817044258	ORPHA:98889	ORPHA:98889
135	0.05691712722182274	ORPHA:101039	ORPHA:101039
136	0.056928738951683044	ORPHA:457351	ORPHA:457351
137	0.0569910854101181	OMIM:605021	OMIM:605021
138	0.05701376870274544	OMIM:618295	OMIM:618295
139	0.05706857889890671	OMIM:615752	OMIM:615752
140	0.05707409605383873	ORPHA:95232	ORPHA:95232
141	0.057091787457466125	OMIM:615338	OMIM:615338
142	0.0570942685008049	OMIM:616863	OMIM:616863
143	0.05710615962743759	OMIM:617600	OMIM:617600
144	0.05718962848186493	OMIM:615705	OMIM:615705
145	0.05719682201743126	OMIM:611603	OMIM:611603
146	0.057291366159915924	OMIM:613926	OMIM:613926
147	0.05738251656293869	OMIM:301020	OMIM:301020
148	0.05738894268870354	OMIM:309530	OMIM:309530
149	0.05741230025887489	OMIM:617389	OMIM:617389
150	0.05743198096752167	OMIM:615516	OMIM:615516
151	0.05753311142325401	OMIM:617493	OMIM:617493
152	0.05755890905857086	OMIM:611913	OMIM:611913
153	0.05756707862019539	OMIM:615851	OMIM:615851
154	0.05760104954242706	OMIM:617931	OMIM:617931
155	0.057615045458078384	ORPHA:477673	ORPHA:477673
156	0.05773453041911125	OMIM:300982	OMIM:300982
157	0.05777042731642723	OMIM:620065	OMIM:620065
158	0.057777248322963715	ORPHA:85334	ORPHA:85334
159	0.05778839439153671	OMIM:618876	OMIM:618876
160	0.057804808020591736	OMIM:619911	OMIM:619911
161	0.0578157976269722	OMIM:606053	OMIM:606053
162	0.05782115459442139	OMIM:616341	OMIM:616341
163	0.057900261133909225	OMIM:611726	OMIM:611726
164	0.05794351175427437	OMIM:617153	OMIM:617153
165	0.05795508623123169	OMIM:619264	OMIM:619264
166	0.05803496390581131	ORPHA:91131	ORPHA:91131
167	0.05819592624902725	OMIM:617166	OMIM:617166
168	0.05822551250457764	OMIM:618067	OMIM:618067
169	0.05822943523526192	OMIM:617915	OMIM:617915
170	0.05823030695319176	OMIM:618663	OMIM:618663
171	0.05829740688204765	OMIM:614959	OMIM:614959
172	0.058340877294540405	OMIM:614306	OMIM:614306
173	0.05838785693049431	OMIM:614207	OMIM:614207
174	0.058407846838235855	OMIM:615802	OMIM:615802
175	0.058480724692344666	OMIM:614113	OMIM:614113
176	0.05851501598954201	OMIM:620379	OMIM:620379
177	0.05853814259171486	OMIM:301058	OMIM:301058
178	0.058590251952409744	OMIM:619301	OMIM:619301
179	0.058602869510650635	OMIM:619884	OMIM:619884
180	0.05865800008177757	OMIM:615493	OMIM:615493
181	0.058666128665208817	OMIM:300983	OMIM:300983
182	0.05869590491056442	OMIM:620292	OMIM:620292
183	0.05877411738038063	OMIM:300067	OMIM:300067
184	0.05879679322242737	OMIM:619033	OMIM:619033
185	0.058812111616134644	OMIM:616421	OMIM:616421
186	0.05883732810616493	OMIM:617929	OMIM:617929
187	0.05891349911689758	OMIM:617090	OMIM:617090
188	0.058935847133398056	ORPHA:480864	ORPHA:480864
189	0.058936115354299545	ORPHA:941	ORPHA:941
190	0.058942001312971115	OMIM:616083	OMIM:616083
191	0.0589781180024147	OMIM:619983	OMIM:619983
192	0.05906191095709801	OMIM:619317	OMIM:619317
193	0.05907190591096878	OMIM:616540	OMIM:616540
194	0.05913926661014557	ORPHA:208441	ORPHA:208441
195	0.05914817377924919	OMIM:617281	OMIM:617281
196	0.05919574201107025	OMIM:309549	OMIM:309549
197	0.05919720605015755	OMIM:615282	OMIM:615282
198	0.05924147367477417	ORPHA:163721	ORPHA:163721
199	0.05927291139960289	OMIM:618056	OMIM:618056
200	0.059316638857126236	ORPHA:22	ORPHA:22
201	0.059500522911548615	ORPHA:268947	ORPHA:268947
202	0.05950174853205681	OMIM:616981	OMIM:616981
203	0.05950940400362015	OMIM:615369	OMIM:615369
204	0.05951958894729614	OMIM:618557	OMIM:618557
205	0.0595429390668869	OMIM:615905	OMIM:615905
206	0.059563662856817245	OMIM:250950	OMIM:250950
207	0.059582021087408066	OMIM:136570	OMIM:136570
208	0.05964330583810806	OMIM:618497	OMIM:618497
209	0.05969960615038872	OMIM:612438	OMIM:612438
