rank	score	disease_name	disease_identifier
1	0.018111377954483032	OMIM:606159	OMIM:606159
2	0.020115166902542114	ORPHA:454887	ORPHA:454887
3	0.020467467606067657	ORPHA:314632	ORPHA:314632
4	0.020687242969870567	OMIM:606693	OMIM:606693
5	0.020718924701213837	OMIM:213600	OMIM:213600
6	0.0210382342338562	ORPHA:401901	ORPHA:401901
7	0.021474357694387436	ORPHA:199351	ORPHA:199351
8	0.022192731499671936	OMIM:168601	OMIM:168601
9	0.02229321002960205	ORPHA:101109	ORPHA:101109
10	0.02363448031246662	ORPHA:216873	ORPHA:216873
11	0.023679617792367935	OMIM:615528	OMIM:615528
12	0.02383984811604023	OMIM:137440	OMIM:137440
13	0.024299142882227898	OMIM:617145	OMIM:617145
14	0.024819564074277878	OMIM:618877	OMIM:618877
15	0.025110391899943352	ORPHA:171695	ORPHA:171695
16	0.025276171043515205	ORPHA:98773	ORPHA:98773
17	0.0255438145250082	OMIM:612953	OMIM:612953
18	0.025716427713632584	OMIM:617282	OMIM:617282
19	0.02628292702138424	ORPHA:99750	ORPHA:99750
20	0.026411138474941254	ORPHA:240085	ORPHA:240085
21	0.02650005929172039	OMIM:618093	OMIM:618093
22	0.026842569932341576	ORPHA:71517	ORPHA:71517
23	0.02694600634276867	ORPHA:240103	ORPHA:240103
24	0.027010129764676094	OMIM:613135	OMIM:613135
25	0.027222923934459686	OMIM:607136	OMIM:607136
26	0.02728082798421383	ORPHA:247234	ORPHA:247234
27	0.027742980048060417	ORPHA:157850	ORPHA:157850
28	0.027795281261205673	ORPHA:352649	ORPHA:352649
29	0.028085855767130852	ORPHA:71277	ORPHA:71277
30	0.028096260502934456	OMIM:610217	OMIM:610217
31	0.028242284432053566	ORPHA:411602	ORPHA:411602
32	0.028306618332862854	OMIM:619911	OMIM:619911
33	0.02845836989581585	ORPHA:13	ORPHA:13
34	0.028467446565628052	OMIM:618824	OMIM:618824
35	0.02848982997238636	OMIM:618317	OMIM:618317
36	0.028500307351350784	ORPHA:289560	ORPHA:289560
37	0.028512610122561455	OMIM:607822	OMIM:607822
38	0.028719458729028702	OMIM:612067	OMIM:612067
39	0.028803041204810143	OMIM:183090	OMIM:183090
40	0.02891349047422409	OMIM:615530	OMIM:615530
41	0.02894756570458412	OMIM:604326	OMIM:604326
42	0.029040709137916565	OMIM:260300	OMIM:260300
43	0.029057718813419342	OMIM:300623	OMIM:300623
44	0.029096737504005432	ORPHA:98759	ORPHA:98759
45	0.029297195374965668	OMIM:606703	OMIM:606703
46	0.029395466670393944	OMIM:234200	OMIM:234200
47	0.029445212334394455	OMIM:609161	OMIM:609161
48	0.02955705299973488	ORPHA:248111	ORPHA:248111
49	0.029558412730693817	ORPHA:391411	ORPHA:391411
50	0.029583044350147247	ORPHA:101	ORPHA:101
51	0.029691075906157494	OMIM:605407	OMIM:605407
52	0.02970735915005207	OMIM:600116	OMIM:600116
53	0.029725247994065285	OMIM:143100	OMIM:143100
54	0.02973383478820324	OMIM:607454	OMIM:607454
55	0.02979225479066372	ORPHA:98762	ORPHA:98762
56	0.029845288023352623	ORPHA:280219	ORPHA:280219
57	0.02989162877202034	OMIM:311510	OMIM:311510
58	0.030102992430329323	ORPHA:423296	ORPHA:423296
59	0.030125543475151062	OMIM:614203	OMIM:614203
60	0.030194304883480072	ORPHA:98764	ORPHA:98764
61	0.03024034947156906	ORPHA:210571	ORPHA:210571
62	0.030254006385803223	OMIM:606438	OMIM:606438
63	0.03027709200978279	OMIM:300894	OMIM:300894
64	0.030289778485894203	OMIM:616840	OMIM:616840
65	0.030334316194057465	ORPHA:98760	ORPHA:98760
66	0.030387889593839645	ORPHA:97355	ORPHA:97355
67	0.03046785108745098	OMIM:617225	OMIM:617225
68	0.030626706779003143	ORPHA:324588	ORPHA:324588
69	0.030663540586829185	OMIM:619725	OMIM:619725
70	0.030691858381032944	OMIM:605909	OMIM:605909
71	0.030697202309966087	OMIM:618049	OMIM:618049
72	0.03085174225270748	OMIM:109150	OMIM:109150
73	0.030905399471521378	ORPHA:508093	ORPHA:508093
74	0.030978355556726456	OMIM:616981	OMIM:616981
75	0.030995653942227364	ORPHA:683	ORPHA:683
76	0.031077731400728226	ORPHA:101150	ORPHA:101150
77	0.031208258122205734	OMIM:601042	OMIM:601042
78	0.03126813843846321	ORPHA:96	ORPHA:96
79	0.03135405480861664	OMIM:614458	OMIM:614458
80	0.03139715641736984	OMIM:606324	OMIM:606324
81	0.0314503014087677	ORPHA:98811	ORPHA:98811
82	0.03159128502011299	OMIM:615157	OMIM:615157
83	0.03162248060107231	OMIM:168600	OMIM:168600
84	0.03166045621037483	ORPHA:306674	ORPHA:306674
85	0.03173243999481201	ORPHA:521406	ORPHA:521406
86	0.031800467520952225	ORPHA:240071	ORPHA:240071
87	0.03187752142548561	OMIM:614298	OMIM:614298
88	0.0318809449672699	ORPHA:329284	ORPHA:329284
89	0.03189892694354057	OMIM:604802	OMIM:604802
90	0.0319531112909317	OMIM:616230	OMIM:616230
91	0.031975969672203064	ORPHA:98808	ORPHA:98808
92	0.03197700157761574	OMIM:617810	OMIM:617810
93	0.032029446214437485	OMIM:617829	OMIM:617829
94	0.03230268135666847	ORPHA:309169	ORPHA:309169
95	0.03242643177509308	OMIM:603516	OMIM:603516
96	0.03245045989751816	OMIM:128230	OMIM:128230
97	0.03250883147120476	OMIM:619738	OMIM:619738
98	0.03263149410486221	OMIM:612438	OMIM:612438
99	0.03264373168349266	OMIM:616710	OMIM:616710
100	0.0326613187789917	OMIM:617964	OMIM:617964
101	0.03268598020076752	ORPHA:157941	ORPHA:157941
102	0.032772719860076904	OMIM:617013	OMIM:617013
103	0.03278588503599167	OMIM:600224	OMIM:600224
104	0.03292304277420044	ORPHA:97	ORPHA:97
105	0.03300090879201889	ORPHA:225154	ORPHA:225154
106	0.03300805017352104	OMIM:618090	OMIM:618090
107	0.03305649384856224	ORPHA:98761	ORPHA:98761
108	0.03310343995690346	OMIM:312080	OMIM:312080
109	0.03314225375652313	OMIM:617435	OMIM:617435
110	0.03319718688726425	ORPHA:53351	ORPHA:53351
111	0.033226530998945236	OMIM:608804	OMIM:608804
112	0.03325384482741356	ORPHA:363710	ORPHA:363710
113	0.03328640013933182	OMIM:601104	OMIM:601104
114	0.03332044556736946	ORPHA:238455	ORPHA:238455
115	0.03333970159292221	ORPHA:98763	ORPHA:98763
116	0.033347900956869125	OMIM:617836	OMIM:617836
117	0.03336271271109581	OMIM:618088	OMIM:618088
118	0.03336328640580177	OMIM:617384	OMIM:617384
119	0.033381301909685135	OMIM:617560	OMIM:617560
120	0.033432889729738235	OMIM:607483	OMIM:607483
121	0.03345135599374771	ORPHA:79244	ORPHA:79244
122	0.03349862992763519	OMIM:615768	OMIM:615768
123	0.03354641795158386	OMIM:614860	OMIM:614860
124	0.033562835305929184	ORPHA:98768	ORPHA:98768
125	0.03357726335525513	OMIM:617284	OMIM:617284
126	0.03359420225024223	ORPHA:101110	ORPHA:101110
127	0.03366151079535484	OMIM:614820	OMIM:614820
128	0.033680226653814316	ORPHA:53583	ORPHA:53583
129	0.03369945287704468	ORPHA:1170	ORPHA:1170
130	0.03370003029704094	ORPHA:157946	ORPHA:157946
131	0.03377142548561096	ORPHA:99027	ORPHA:99027
132	0.0338175967335701	OMIM:616640	OMIM:616640
133	0.03385324776172638	ORPHA:98934	ORPHA:98934
134	0.03394144028425217	ORPHA:98810	ORPHA:98810
135	0.03396519646048546	OMIM:616413	OMIM:616413
136	0.033975888043642044	OMIM:605259	OMIM:605259
137	0.03402531147003174	OMIM:604391	OMIM:604391
138	0.03407209739089012	ORPHA:401953	ORPHA:401953
139	0.034075625240802765	ORPHA:93256	ORPHA:93256
