rank	score	disease_name	disease_identifier
1	0.017878027632832527	ORPHA:3101	ORPHA:3101
2	0.01975901424884796	OMIM:620389	OMIM:620389
3	0.020039543509483337	ORPHA:171439	ORPHA:171439
4	0.02057780884206295	OMIM:620351	OMIM:620351
5	0.0207219235599041	OMIM:620369	OMIM:620369
6	0.021298587322235107	OMIM:617258	OMIM:617258
7	0.021377241238951683	ORPHA:98915	ORPHA:98915
8	0.02140398882329464	ORPHA:171436	ORPHA:171436
9	0.02160452865064144	OMIM:181405	OMIM:181405
10	0.021647650748491287	ORPHA:169186	ORPHA:169186
11	0.02229919284582138	OMIM:256030	OMIM:256030
12	0.02243955060839653	OMIM:609284	OMIM:609284
13	0.022489527240395546	ORPHA:239	ORPHA:239
14	0.023105008527636528	OMIM:618578	OMIM:618578
15	0.023279229179024696	ORPHA:171881	ORPHA:171881
16	0.02333032339811325	OMIM:611890	OMIM:611890
17	0.023552529513835907	OMIM:255200	OMIM:255200
18	0.023821914005994527	OMIM:620310	OMIM:620310
19	0.024026362225413322	OMIM:609285	OMIM:609285
20	0.024029411375522614	ORPHA:168572	ORPHA:168572
21	0.02405441179871559	OMIM:606612	OMIM:606612
22	0.024342449381947517	OMIM:161800	OMIM:161800
23	0.024691235274076462	OMIM:270750	OMIM:270750
24	0.02471969649195671	ORPHA:2020	ORPHA:2020
25	0.024771206080913544	ORPHA:98914	ORPHA:98914
25	0.024771206080913544	ORPHA:590	ORPHA:590
27	0.024860531091690063	OMIM:618524	OMIM:618524
28	0.024952713400125504	OMIM:255310	OMIM:255310
29	0.02505791187286377	ORPHA:324604	ORPHA:324604
30	0.025316867977380753	OMIM:615959	OMIM:615959
31	0.025411514565348625	OMIM:255995	OMIM:255995
32	0.025447426363825798	ORPHA:98905	ORPHA:98905
33	0.02562609873712063	OMIM:610687	OMIM:610687
34	0.025681646540760994	OMIM:314580	OMIM:314580
35	0.02582908421754837	OMIM:255800	OMIM:255800
36	0.026120588183403015	ORPHA:643	ORPHA:643
37	0.026168379932641983	ORPHA:486815	ORPHA:486815
38	0.026212096214294434	ORPHA:1145	ORPHA:1145
39	0.026216626167297363	OMIM:620285	OMIM:620285
40	0.026520945131778717	OMIM:617146	OMIM:617146
41	0.026525739580392838	OMIM:605637	OMIM:605637
42	0.02668428234755993	OMIM:616720	OMIM:616720
43	0.026744898408651352	ORPHA:94068	ORPHA:94068
44	0.027082199230790138	ORPHA:1143	ORPHA:1143
45	0.027113083750009537	OMIM:611067	OMIM:611067
46	0.02723602019250393	ORPHA:98897	ORPHA:98897
47	0.027240073308348656	OMIM:114290	OMIM:114290
48	0.027247989550232887	OMIM:254090	OMIM:254090
49	0.027302274480462074	OMIM:254940	OMIM:254940
50	0.027391763404011726	OMIM:608931	OMIM:608931
51	0.027456490322947502	ORPHA:508533	ORPHA:508533
52	0.02748805098235607	OMIM:253000	OMIM:253000
53	0.0277693010866642	OMIM:613156	OMIM:613156
54	0.027888339012861252	OMIM:251450	OMIM:251450
55	0.027924615889787674	OMIM:601559	OMIM:601559
56	0.027934346348047256	ORPHA:75840	ORPHA:75840
57	0.02807287685573101	ORPHA:254361	ORPHA:254361
58	0.028112541884183884	OMIM:620269	OMIM:620269
59	0.02820035070180893	OMIM:607155	OMIM:607155
60	0.02820105291903019	ORPHA:171433	ORPHA:171433
61	0.028279054909944534	OMIM:618853	OMIM:618853
62	0.028351591899991035	OMIM:620249	OMIM:620249
63	0.028379004448652267	ORPHA:800	ORPHA:800
64	0.028491942211985588	OMIM:252500	OMIM:252500
65	0.02850697934627533	OMIM:616471	OMIM:616471
66	0.028517764061689377	ORPHA:62	ORPHA:62
67	0.028605643659830093	ORPHA:97244	ORPHA:97244
68	0.028663264587521553	ORPHA:420794	ORPHA:420794
69	0.02879001572728157	OMIM:301041	OMIM:301041
70	0.028817180544137955	OMIM:616007	OMIM:616007
71	0.028869453817605972	OMIM:619542	OMIM:619542
72	0.028967998921871185	OMIM:617087	OMIM:617087
73	0.028989970684051514	OMIM:253010	OMIM:253010
74	0.029079457744956017	ORPHA:536471	ORPHA:536471
75	0.029088808223605156	ORPHA:319332	ORPHA:319332
76	0.02913268469274044	ORPHA:371364	ORPHA:371364
77	0.029149435460567474	ORPHA:99956	ORPHA:99956
78	0.02918712981045246	ORPHA:268	ORPHA:268
79	0.02925160340964794	OMIM:100800	OMIM:100800
80	0.029278593137860298	OMIM:271640	OMIM:271640
81	0.029291411861777306	OMIM:612954	OMIM:612954
82	0.029317891225218773	OMIM:183900	OMIM:183900
83	0.029363999143242836	OMIM:608930	OMIM:608930
84	0.029375873506069183	ORPHA:329336	ORPHA:329336
85	0.029471024870872498	OMIM:193700	OMIM:193700
86	0.02947777695953846	ORPHA:254930	ORPHA:254930
87	0.02955048903822899	ORPHA:370968	ORPHA:370968
88	0.029597405344247818	ORPHA:353327	ORPHA:353327
89	0.0296158567070961	OMIM:300232	OMIM:300232
90	0.029634274542331696	OMIM:255600	OMIM:255600
91	0.029634656384587288	OMIM:255320	OMIM:255320
92	0.02964208647608757	OMIM:606071	OMIM:606071
93	0.029649484902620316	OMIM:613848	OMIM:613848
94	0.029748311266303062	OMIM:277590	OMIM:277590
95	0.029824484139680862	ORPHA:3041	ORPHA:3041
96	0.02989066205918789	ORPHA:171442	ORPHA:171442
97	0.029914233833551407	OMIM:608358	OMIM:608358
98	0.02992371842265129	ORPHA:481152	ORPHA:481152
99	0.029948633164167404	OMIM:615065	OMIM:615065
100	0.029950499534606934	OMIM:617114	OMIM:617114
101	0.030016621574759483	OMIM:618186	OMIM:618186
102	0.030093621462583542	ORPHA:457395	ORPHA:457395
103	0.030123261734843254	OMIM:300696	OMIM:300696
104	0.030135249719023705	OMIM:615777	OMIM:615777
105	0.0301688052713871	ORPHA:140	ORPHA:140
106	0.030200639739632607	ORPHA:70	ORPHA:70
107	0.030226921662688255	OMIM:617675	OMIM:617675
108	0.030248599126935005	OMIM:160500	OMIM:160500
109	0.030282389372587204	ORPHA:536467	ORPHA:536467
110	0.03029782697558403	ORPHA:536545	ORPHA:536545
111	0.030302682891488075	OMIM:618065	OMIM:618065
112	0.030360326170921326	OMIM:271665	OMIM:271665
113	0.03037804178893566	OMIM:230600	OMIM:230600
114	0.03039059229195118	OMIM:216550	OMIM:216550
115	0.03041284903883934	ORPHA:93357	ORPHA:93357
116	0.030449984595179558	OMIM:301830	OMIM:301830
117	0.030514884740114212	ORPHA:391408	ORPHA:391408
118	0.030550213530659676	OMIM:619345	OMIM:619345
119	0.030573628842830658	ORPHA:1358	ORPHA:1358
120	0.030615024268627167	OMIM:143095	OMIM:143095
121	0.030634000897407532	OMIM:211530	OMIM:211530
122	0.03063405491411686	ORPHA:536516	ORPHA:536516
123	0.030652055516839027	ORPHA:280763	ORPHA:280763
124	0.030653763562440872	OMIM:608940	OMIM:608940
125	0.030658744275569916	ORPHA:98913	ORPHA:98913
126	0.030712343752384186	ORPHA:99949	ORPHA:99949
127	0.030717799440026283	ORPHA:15	ORPHA:15
128	0.030725426971912384	OMIM:223800	OMIM:223800
129	0.030735567212104797	OMIM:114300	OMIM:114300
130	0.030753519386053085	OMIM:300718	OMIM:300718
131	0.030773865059018135	OMIM:305620	OMIM:305620
132	0.03077663667500019	ORPHA:363454	ORPHA:363454
133	0.03077990561723709	OMIM:259050	OMIM:259050
134	0.030807441100478172	OMIM:130070	OMIM:130070
135	0.030820056796073914	OMIM:607095	OMIM:607095
136	0.030853094533085823	ORPHA:502423	ORPHA:502423
137	0.030872242525219917	OMIM:616852	OMIM:616852
138	0.03091498650610447	OMIM:616228	OMIM:616228
139	0.03094465844333172	OMIM:614098	OMIM:614098
140	0.030965926125645638	OMIM:615419	OMIM:615419
141	0.030973395332694054	OMIM:613744	OMIM:613744
142	0.031039265915751457	OMIM:616716	OMIM:616716
143	0.031051354482769966	OMIM:170390	OMIM:170390
