rank	score	disease_name	disease_identifier
1	0.01795218326151371	ORPHA:247353	ORPHA:247353
2	0.01913375034928322	ORPHA:275761	ORPHA:275761
3	0.019682463258504868	OMIM:219090	OMIM:219090
4	0.020729562267661095	ORPHA:79473	ORPHA:79473
5	0.020847400650382042	ORPHA:79259	ORPHA:79259
6	0.021006062626838684	ORPHA:99826	ORPHA:99826
7	0.021767856553196907	OMIM:619991	OMIM:619991
8	0.021781601011753082	ORPHA:96253	ORPHA:96253
9	0.02196677215397358	OMIM:175500	OMIM:175500
10	0.022068193182349205	ORPHA:699	ORPHA:699
11	0.02209990844130516	ORPHA:93552	ORPHA:93552
12	0.022163819521665573	OMIM:222700	OMIM:222700
13	0.022272499278187752	ORPHA:95409	ORPHA:95409
14	0.0223949383944273	OMIM:256040	OMIM:256040
15	0.022620081901550293	ORPHA:99889	ORPHA:99889
16	0.022646136581897736	ORPHA:98850	ORPHA:98850
17	0.022699380293488503	OMIM:619377	OMIM:619377
18	0.022804446518421173	OMIM:615895	OMIM:615895
19	0.0228117685765028	ORPHA:77297	ORPHA:77297
20	0.0228358656167984	ORPHA:2905	ORPHA:2905
21	0.02297583408653736	ORPHA:85138	ORPHA:85138
22	0.0230079498142004	ORPHA:324	ORPHA:324
23	0.02305801399052143	OMIM:277900	OMIM:277900
24	0.02356744557619095	ORPHA:171876	ORPHA:171876
25	0.023699108511209488	OMIM:232220	OMIM:232220
26	0.023711781948804855	ORPHA:90291	ORPHA:90291
27	0.023805074393749237	ORPHA:79408	ORPHA:79408
28	0.023875776678323746	ORPHA:3260	ORPHA:3260
29	0.024000033736228943	ORPHA:199299	ORPHA:199299
30	0.0241021066904068	ORPHA:398063	ORPHA:398063
31	0.024107933044433594	OMIM:212750	OMIM:212750
32	0.024223221465945244	ORPHA:797	ORPHA:797
33	0.02423446625471115	ORPHA:36426	ORPHA:36426
34	0.024387553334236145	ORPHA:89842	ORPHA:89842
35	0.024454466998577118	ORPHA:537	ORPHA:537
36	0.024457570165395737	ORPHA:319213	ORPHA:319213
37	0.024459214881062508	ORPHA:99921	ORPHA:99921
38	0.024517454206943512	ORPHA:358	ORPHA:358
39	0.02455557882785797	ORPHA:39812	ORPHA:39812
40	0.024652335792779922	OMIM:619487	OMIM:619487
41	0.024696310982108116	ORPHA:544482	ORPHA:544482
42	0.02474900521337986	OMIM:603553	OMIM:603553
43	0.02476561814546585	ORPHA:93672	ORPHA:93672
44	0.02477627992630005	ORPHA:50918	ORPHA:50918
45	0.02477956935763359	OMIM:615846	OMIM:615846
46	0.025031505152583122	ORPHA:79273	ORPHA:79273
