rank	score	disease_name	disease_identifier
1	0.07033099979162216	OMIM:616117	OMIM:616117
2	0.07135073095560074	ORPHA:130	ORPHA:130
3	0.07156910002231598	OMIM:616249	OMIM:616249
4	0.07329849153757095	ORPHA:51083	ORPHA:51083
5	0.07417988032102585	OMIM:600858	OMIM:600858
6	0.07531663775444031	OMIM:163800	OMIM:163800
7	0.0755331963300705	OMIM:115000	OMIM:115000
8	0.07560285180807114	ORPHA:3282	ORPHA:3282
9	0.07628875970840454	OMIM:601154	OMIM:601154
10	0.07664862275123596	ORPHA:45453	ORPHA:45453
11	0.07923857867717743	OMIM:604169	OMIM:604169
12	0.08140847831964493	OMIM:619897	OMIM:619897
13	0.08182013779878616	OMIM:609040	OMIM:609040
14	0.08241982758045197	ORPHA:1344	ORPHA:1344
15	0.08254314959049225	OMIM:607450	OMIM:607450
16	0.08272787928581238	OMIM:613695	OMIM:613695
17	0.08324102312326431	ORPHA:300751	ORPHA:300751
18	0.08339300751686096	OMIM:115200	OMIM:115200
19	0.08361449837684631	OMIM:601144	OMIM:601144
20	0.08380839973688126	OMIM:609621	OMIM:609621
21	0.08478589355945587	ORPHA:99105	ORPHA:99105
22	0.08499076217412949	ORPHA:66529	ORPHA:66529
23	0.08547919243574142	OMIM:608758	OMIM:608758
24	0.08627927303314209	OMIM:603829	OMIM:603829
25	0.08656275272369385	OMIM:601493	OMIM:601493
26	0.08712582290172577	OMIM:612158	OMIM:612158
27	0.08740495145320892	OMIM:604772	OMIM:604772
28	0.08743377029895782	ORPHA:216694	ORPHA:216694
29	0.08749639987945557	OMIM:613838	OMIM:613838
30	0.08761485666036606	OMIM:604145	OMIM:604145
31	0.0878831222653389	OMIM:614021	OMIM:614021
32	0.08835338801145554	ORPHA:99103	ORPHA:99103
33	0.08936214447021484	OMIM:616201	OMIM:616201
34	0.08965881168842316	OMIM:619747	OMIM:619747
35	0.09097667038440704	OMIM:615745	OMIM:615745
36	0.09107492119073868	OMIM:608751	OMIM:608751
37	0.09190250188112259	OMIM:601494	OMIM:601494
38	0.0919916033744812	ORPHA:75565	ORPHA:75565
39	0.09224764257669449	OMIM:614022	OMIM:614022
40	0.09250029176473618	OMIM:613485	OMIM:613485
41	0.09261657297611237	ORPHA:45452	ORPHA:45452
42	0.09333700686693192	OMIM:612098	OMIM:612098
43	0.09349105507135391	OMIM:613243	OMIM:613243
44	0.09372983127832413	OMIM:604400	OMIM:604400
45	0.09391511231660843	OMIM:613426	OMIM:613426
46	0.0939246341586113	ORPHA:1677	ORPHA:1677
47	0.09410440176725388	OMIM:619464	OMIM:619464
48	0.09416171908378601	OMIM:115197	OMIM:115197
49	0.09427251666784286	OMIM:604559	OMIM:604559
50	0.09551974385976791	ORPHA:99106	ORPHA:99106
51	0.09614454209804535	OMIM:614916	OMIM:614916
52	0.09694968909025192	OMIM:615373	OMIM:615373
53	0.09748975187540054	OMIM:619424	OMIM:619424
54	0.09754718840122223	OMIM:613873	OMIM:613873
55	0.09760431945323944	OMIM:612956	OMIM:612956
56	0.09816741198301315	OMIM:611777	OMIM:611777
57	0.09817282855510712	ORPHA:99104	ORPHA:99104
58	0.09865639358758926	ORPHA:60041	ORPHA:60041
59	0.09948808699846268	OMIM:600919	OMIM:600919
60	0.09950640797615051	ORPHA:101016	ORPHA:101016
61	0.100086510181427	ORPHA:1055	ORPHA:1055
62	0.10034476965665817	ORPHA:85451	ORPHA:85451
63	0.1004733219742775	OMIM:108770	OMIM:108770
