rank	score	disease_name	disease_identifier
1	0.0284490417689085	OMIM:601144	OMIM:601144
2	0.030614715069532394	OMIM:611777	OMIM:611777
3	0.0327153280377388	ORPHA:130	ORPHA:130
4	0.03865964710712433	ORPHA:51083	ORPHA:51083
5	0.04054279252886772	OMIM:603829	OMIM:603829
6	0.041326750069856644	OMIM:609621	OMIM:609621
7	0.04228578135371208	OMIM:113900	OMIM:113900
8	0.042633261531591415	OMIM:613693	OMIM:613693
9	0.04379801079630852	OMIM:601154	OMIM:601154
10	0.04425288364291191	OMIM:613695	OMIM:613695
11	0.046018678694963455	OMIM:604559	OMIM:604559
12	0.04613453149795532	OMIM:609620	OMIM:609620
13	0.047146089375019073	OMIM:600858	OMIM:600858
14	0.047923434525728226	OMIM:614916	OMIM:614916
15	0.04831290245056152	OMIM:616117	OMIM:616117
16	0.04838757589459419	OMIM:613485	OMIM:613485
17	0.04855629801750183	OMIM:140400	OMIM:140400
18	0.049145326018333435	OMIM:609040	OMIM:609040
19	0.05125384405255318	ORPHA:1344	ORPHA:1344
20	0.0517151840031147	ORPHA:90647	ORPHA:90647
21	0.05218992009758949	OMIM:611875	OMIM:611875
22	0.052626654505729675	OMIM:616249	OMIM:616249
23	0.0526912622153759	OMIM:619464	OMIM:619464
24	0.053376562893390656	OMIM:163800	OMIM:163800
25	0.05373762920498848	OMIM:604772	OMIM:604772
26	0.05384572967886925	OMIM:614021	OMIM:614021
27	0.053977858275175095	ORPHA:45453	ORPHA:45453
28	0.054017242044210434	OMIM:192500	OMIM:192500
29	0.054835252463817596	ORPHA:101016	ORPHA:101016
30	0.055661555379629135	OMIM:620231	OMIM:620231
31	0.0556890107691288	OMIM:600919	OMIM:600919
32	0.05641321837902069	OMIM:612955	OMIM:612955
33	0.0573996901512146	OMIM:615441	OMIM:615441
34	0.057472337037324905	OMIM:616247	OMIM:616247
35	0.05869002640247345	ORPHA:300751	ORPHA:300751
36	0.05889473855495453	ORPHA:66529	ORPHA:66529
37	0.058908164501190186	OMIM:613838	OMIM:613838
38	0.05904896929860115	OMIM:115000	OMIM:115000
39	0.05976808816194534	OMIM:612098	OMIM:612098
40	0.06045980006456375	ORPHA:99105	ORPHA:99105
41	0.06062048673629761	ORPHA:3286	ORPHA:3286
42	0.06081564351916313	OMIM:613688	OMIM:613688
43	0.060917649418115616	OMIM:604400	OMIM:604400
44	0.06184994429349899	ORPHA:871	ORPHA:871
45	0.062293075025081635	OMIM:115197	OMIM:115197
46	0.06234525516629219	OMIM:613119	OMIM:613119
47	0.06378240138292313	OMIM:607450	OMIM:607450
48	0.06412192434072495	OMIM:611938	OMIM:611938
