rank	score	disease_name	disease_identifier
1	0.11456654220819473	ORPHA:64280	ORPHA:64280
2	0.11468715220689774	ORPHA:1947	ORPHA:1947
3	0.11595580726861954	OMIM:618808	OMIM:618808
4	0.11656046658754349	OMIM:620242	OMIM:620242
5	0.1165856271982193	OMIM:301008	OMIM:301008
6	0.11683660000562668	ORPHA:79254	ORPHA:79254
7	0.11685232073068619	ORPHA:436151	ORPHA:436151
8	0.11880426108837128	ORPHA:79239	ORPHA:79239
9	0.11905623227357864	ORPHA:163681	ORPHA:163681
10	0.1193990409374237	OMIM:619255	OMIM:619255
11	0.11945266276597977	OMIM:608636	OMIM:608636
12	0.11962258815765381	ORPHA:43	ORPHA:43
13	0.11969592422246933	ORPHA:444002	ORPHA:444002
14	0.11989016085863113	ORPHA:476126	ORPHA:476126
15	0.1202012449502945	ORPHA:391417	ORPHA:391417
16	0.12027551978826523	OMIM:613670	OMIM:613670
17	0.1203838437795639	ORPHA:544254	ORPHA:544254
18	0.12053316086530685	ORPHA:98794	ORPHA:98794
19	0.12058661133050919	OMIM:618885	OMIM:618885
20	0.12067314982414246	OMIM:610042	OMIM:610042
21	0.12072520703077316	OMIM:612475	OMIM:612475
22	0.12074901908636093	OMIM:618906	OMIM:618906
23	0.12079081684350967	ORPHA:530983	ORPHA:530983
24	0.12101113796234131	ORPHA:3375	ORPHA:3375
25	0.12103946506977081	OMIM:620012	OMIM:620012
26	0.12148051708936691	OMIM:300495	OMIM:300495
27	0.12148836255073547	ORPHA:449291	ORPHA:449291
28	0.12150142341852188	OMIM:608049	OMIM:608049
29	0.12158414721488953	ORPHA:137605	ORPHA:137605
30	0.12163060158491135	ORPHA:54247	ORPHA:54247
31	0.12166159600019455	ORPHA:280229	ORPHA:280229
32	0.12175356596708298	ORPHA:3129	ORPHA:3129
33	0.12184622138738632	OMIM:613675	OMIM:613675
34	0.12238666415214539	ORPHA:485350	ORPHA:485350
35	0.12238819897174835	OMIM:238970	OMIM:238970
36	0.12249293178319931	OMIM:619229	OMIM:619229
37	0.1225423738360405	OMIM:105830	OMIM:105830
38	0.12257307767868042	ORPHA:35706	ORPHA:35706
39	0.12258623540401459	OMIM:209850	OMIM:209850
39	0.12258623540401459	OMIM:607373	OMIM:607373
41	0.12259460985660553	OMIM:615075	OMIM:615075
42	0.12265221029520035	OMIM:600627	OMIM:600627
43	0.1228555366396904	OMIM:618158	OMIM:618158
44	0.12294785678386688	ORPHA:139396	ORPHA:139396
45	0.12311001121997833	OMIM:619827	OMIM:619827
46	0.12314315140247345	ORPHA:98793	ORPHA:98793
47	0.12325990945100784	ORPHA:2822	ORPHA:2822
48	0.12326061725616455	OMIM:615802	OMIM:615802
49	0.12327034026384354	OMIM:618721	OMIM:618721
50	0.12329421937465668	ORPHA:177901	ORPHA:177901
51	0.12332917749881744	ORPHA:2203	ORPHA:2203
52	0.12333479523658752	DECIPHER:45	DECIPHER:45
53	0.12344511598348618	OMIM:270750	OMIM:270750
54	0.12350296229124069	ORPHA:411511	ORPHA:411511
55	0.12351896613836288	OMIM:619972	OMIM:619972
56	0.12358324229717255	ORPHA:1445	ORPHA:1445
57	0.12358833104372025	ORPHA:177904	ORPHA:177904
58	0.12363696098327637	OMIM:619239	OMIM:619239
59	0.1236395388841629	OMIM:615516	OMIM:615516
60	0.12367362529039383	OMIM:300114	OMIM:300114
61	0.12369883060455322	OMIM:619428	OMIM:619428
62	0.12371567636728287	OMIM:617820	OMIM:617820
63	0.12376213073730469	OMIM:617302	OMIM:617302
64	0.12384247779846191	OMIM:619927	OMIM:619927
65	0.12384366244077682	ORPHA:941	ORPHA:941
66	0.12389051169157028	OMIM:610883	OMIM:610883
67	0.1239967793226242	OMIM:618707	OMIM:618707
68	0.12404195219278336	ORPHA:488613	ORPHA:488613
69	0.12406997382640839	OMIM:618768	OMIM:618768
70	0.12411314249038696	ORPHA:457351	ORPHA:457351
