rank	score	disease_name	disease_identifier
1	0.1998801827430725	ORPHA:45448	ORPHA:45448
2	0.20006895065307617	ORPHA:399096	ORPHA:399096
3	0.20284539461135864	ORPHA:63273	ORPHA:63273
4	0.20631825923919678	ORPHA:98912	ORPHA:98912
5	0.20649492740631104	ORPHA:482601	ORPHA:482601
6	0.2065732479095459	OMIM:159580	OMIM:159580
7	0.2065991759300232	ORPHA:98856	ORPHA:98856
8	0.20669817924499512	OMIM:158590	OMIM:158590
9	0.20696556568145752	OMIM:601954	OMIM:601954
10	0.20800715684890747	ORPHA:363454	ORPHA:363454
