rank	score	disease_name	disease_identifier
1	0.06793668121099472	ORPHA:66661	ORPHA:66661
2	0.08663644641637802	OMIM:312500	OMIM:312500
3	0.08712993562221527	ORPHA:545	ORPHA:545
4	0.09796879440546036	ORPHA:482	ORPHA:482
5	0.09951145946979523	ORPHA:83469	ORPHA:83469
6	0.09976048022508621	ORPHA:882	ORPHA:882
7	0.09998276829719543	OMIM:615122	OMIM:615122
8	0.10031750798225403	ORPHA:86893	ORPHA:86893
9	0.10044543445110321	OMIM:619126	OMIM:619126
10	0.10168739408254623	ORPHA:100025	ORPHA:100025
11	0.10348889976739883	ORPHA:85414	ORPHA:85414
12	0.10402519255876541	OMIM:606445	OMIM:606445
13	0.10412868857383728	OMIM:209950	OMIM:209950
14	0.10641025006771088	OMIM:618982	OMIM:618982
15	0.10681866854429245	ORPHA:39041	ORPHA:39041
16	0.1074383482336998	ORPHA:100024	ORPHA:100024
17	0.1077093705534935	OMIM:618852	OMIM:618852
18	0.10815577208995819	ORPHA:52416	ORPHA:52416
19	0.10834383219480515	ORPHA:99978	ORPHA:99978
20	0.10854721814393997	OMIM:214900	OMIM:214900
21	0.10924769192934036	ORPHA:75234	ORPHA:75234
22	0.10927136987447739	OMIM:617591	OMIM:617591
23	0.10979483276605606	OMIM:619902	OMIM:619902
24	0.1101001650094986	ORPHA:654	ORPHA:654
25	0.11015750467777252	OMIM:617068	OMIM:617068
26	0.11021120846271515	ORPHA:50918	ORPHA:50918
27	0.11049292981624603	OMIM:612840	OMIM:612840
28	0.11142302304506302	ORPHA:37748	ORPHA:37748
29	0.11177455633878708	ORPHA:33276	ORPHA:33276
30	0.11203345656394958	ORPHA:449432	ORPHA:449432
31	0.11222871392965317	OMIM:619463	OMIM:619463
32	0.11241929233074188	ORPHA:1655	ORPHA:1655
33	0.11247552186250687	ORPHA:397596	ORPHA:397596
34	0.11252112686634064	OMIM:616217	OMIM:616217
35	0.11254992336034775	ORPHA:400	ORPHA:400
36	0.11257242411375046	OMIM:208540	OMIM:208540
37	0.11276600509881973	ORPHA:100026	ORPHA:100026
38	0.11283783614635468	OMIM:613101	OMIM:613101
39	0.11302272230386734	ORPHA:1414	ORPHA:1414
40	0.11313875019550323	OMIM:619183	OMIM:619183
41	0.1131858229637146	ORPHA:33577	ORPHA:33577
42	0.11328104138374329	OMIM:271500	OMIM:271500
43	0.11400359869003296	OMIM:618935	OMIM:618935
44	0.11435455083847046	OMIM:602450	OMIM:602450
45	0.11436323076486588	ORPHA:1332	ORPHA:1332
46	0.11460026353597641	ORPHA:829	ORPHA:829
47	0.11463756114244461	ORPHA:507	ORPHA:507
48	0.11471106112003326	ORPHA:276280	ORPHA:276280
49	0.11486587673425674	ORPHA:75233	ORPHA:75233
