rank	score	disease_name	disease_identifier
1	0.036325979977846146	OMIM:618655	OMIM:618655
2	0.03652385622262955	OMIM:620286	OMIM:620286
3	0.03814235329627991	OMIM:618848	OMIM:618848
4	0.039975158870220184	OMIM:615424	OMIM:615424
5	0.040652476251125336	ORPHA:178464	ORPHA:178464
6	0.042015329003334045	OMIM:620138	OMIM:620138
7	0.04445764794945717	OMIM:614321	OMIM:614321
8	0.04447824880480766	ORPHA:2593	ORPHA:2593
9	0.04474514722824097	OMIM:271150	OMIM:271150
10	0.044780731201171875	ORPHA:611	ORPHA:611
11	0.045083727687597275	ORPHA:609	ORPHA:609
12	0.04617241024971008	ORPHA:206549	ORPHA:206549
13	0.046508077532052994	OMIM:301075	OMIM:301075
14	0.04655444622039795	OMIM:616231	OMIM:616231
15	0.046619001775979996	OMIM:617760	OMIM:617760
16	0.04689227044582367	OMIM:620235	OMIM:620235
17	0.04714753106236458	ORPHA:488650	ORPHA:488650
18	0.04747052490711212	ORPHA:457050	ORPHA:457050
19	0.04754023253917694	ORPHA:59135	ORPHA:59135
20	0.04869396239519119	ORPHA:34516	ORPHA:34516
21	0.04945085942745209	ORPHA:399058	ORPHA:399058
22	0.05058673769235611	OMIM:618654	OMIM:618654
23	0.05094863101840019	ORPHA:171442	ORPHA:171442
24	0.05132102593779564	OMIM:300559	OMIM:300559
25	0.05144662782549858	OMIM:613530	OMIM:613530
26	0.05154656618833542	ORPHA:97240	ORPHA:97240
27	0.05160661041736603	OMIM:609452	OMIM:609452
28	0.051880501210689545	OMIM:619733	OMIM:619733
29	0.05196671932935715	OMIM:608807	OMIM:608807
30	0.0525648333132267	OMIM:618940	OMIM:618940
31	0.052677348256111145	OMIM:617030	OMIM:617030
32	0.05294729769229889	OMIM:615422	OMIM:615422
33	0.05371641740202904	OMIM:160150	OMIM:160150
34	0.053725697100162506	OMIM:612999	OMIM:612999
35	0.05424487963318825	OMIM:500009	OMIM:500009
36	0.05435880273580551	ORPHA:602	ORPHA:602
37	0.055157728493213654	OMIM:617072	OMIM:617072
38	0.055222589522600174	OMIM:613157	OMIM:613157
39	0.05536830052733421	OMIM:603689	OMIM:603689
40	0.05571267381310463	OMIM:608099	OMIM:608099
41	0.05608854070305824	ORPHA:206546	ORPHA:206546
42	0.056170281022787094	OMIM:160500	OMIM:160500
43	0.05634034052491188	OMIM:617158	OMIM:617158
44	0.05652151629328728	OMIM:609524	OMIM:609524
45	0.056925397366285324	OMIM:620249	OMIM:620249
46	0.057107094675302505	OMIM:619178	OMIM:619178
47	0.05714501067996025	OMIM:608358	OMIM:608358
48	0.057292018085718155	OMIM:609200	OMIM:609200
49	0.05734521150588989	OMIM:253601	OMIM:253601
50	0.057371992617845535	OMIM:254110	OMIM:254110
51	0.057544030249118805	OMIM:601954	OMIM:601954
52	0.057549282908439636	OMIM:606072	OMIM:606072
53	0.05759076401591301	OMIM:616228	OMIM:616228
54	0.05764690786600113	OMIM:601846	OMIM:601846
55	0.05767619237303734	ORPHA:681	ORPHA:681
56	0.05772322788834572	ORPHA:399103	ORPHA:399103
57	0.05786837264895439	ORPHA:597	ORPHA:597
58	0.057888198643922806	OMIM:300696	OMIM:300696
59	0.05817867070436478	OMIM:617069	OMIM:617069
60	0.05827152729034424	OMIM:616812	OMIM:616812
61	0.0583512969315052	ORPHA:178400	ORPHA:178400
62	0.0583561435341835	OMIM:123320	OMIM:123320
63	0.05870456248521805	ORPHA:1878	ORPHA:1878
64	0.05872070789337158	OMIM:614065	OMIM:614065
65	0.05884788930416107	ORPHA:34515	ORPHA:34515
66	0.05900013446807861	ORPHA:171445	ORPHA:171445
67	0.05919954180717468	OMIM:605820	OMIM:605820
68	0.059445131570100784	OMIM:160565	OMIM:160565
69	0.05957658961415291	ORPHA:399096	ORPHA:399096
70	0.059730008244514465	ORPHA:352479	ORPHA:352479
71	0.05976586416363716	OMIM:255125	OMIM:255125
72	0.0601050965487957	OMIM:616924	OMIM:616924
73	0.06015150621533394	OMIM:608810	OMIM:608810
74	0.06036006286740303	ORPHA:98908	ORPHA:98908
75	0.06039801612496376	OMIM:255320	OMIM:255320
76	0.060547757893800735	ORPHA:353327	ORPHA:353327
77	0.06057437136769295	OMIM:620386	OMIM:620386
78	0.06057867407798767	ORPHA:276435	ORPHA:276435
79	0.060893263667821884	OMIM:612937	OMIM:612937
80	0.06093854829668999	OMIM:605637	OMIM:605637
81	0.0613342709839344	ORPHA:98905	ORPHA:98905
82	0.06135396286845207	ORPHA:266	ORPHA:266
83	0.06136023998260498	ORPHA:353	ORPHA:353
84	0.06148213520646095	OMIM:253700	OMIM:253700
85	0.06155795603990555	ORPHA:424107	ORPHA:424107
86	0.062310948967933655	OMIM:608423	OMIM:608423
87	0.06238370016217232	OMIM:611307	OMIM:611307
88	0.062480852007865906	ORPHA:228302	ORPHA:228302
89	0.06251320987939835	OMIM:618129	OMIM:618129
90	0.0625278428196907	OMIM:117000	OMIM:117000
91	0.06269877403974533	OMIM:612998	OMIM:612998
92	0.06279095262289047	ORPHA:598	ORPHA:598
93	0.06279152631759644	OMIM:614302	OMIM:614302
94	0.06305036693811417	ORPHA:206569	ORPHA:206569
95	0.06314223259687424	OMIM:300718	OMIM:300718
96	0.06332547962665558	ORPHA:399086	ORPHA:399086
97	0.06339842081069946	OMIM:611588	OMIM:611588
98	0.06370172649621964	ORPHA:603	ORPHA:603
99	0.06372352689504623	ORPHA:169189	ORPHA:169189
100	0.0639161542057991	ORPHA:397744	ORPHA:397744
101	0.06393921375274658	OMIM:616852	OMIM:616852
102	0.06404446810483932	OMIM:611705	OMIM:611705
103	0.06409638375043869	OMIM:500002	OMIM:500002
104	0.06417609006166458	OMIM:256030	OMIM:256030
