rank	score	disease_name	disease_identifier
1	0.21123933792114258	OMIM:300082	OMIM:300082
1	0.21123933792114258	OMIM:158280	OMIM:158280
3	0.2143479585647583	ORPHA:238606	ORPHA:238606
4	0.2155369520187378	ORPHA:228169	ORPHA:228169
5	0.21747177839279175	ORPHA:1429	ORPHA:1429
6	0.21760356426239014	ORPHA:279882	ORPHA:279882
7	0.21767830848693848	ORPHA:85162	ORPHA:85162
8	0.21785277128219604	OMIM:611031	OMIM:611031
9	0.21817046403884888	DECIPHER:31	DECIPHER:31
10	0.2185695767402649	ORPHA:256	ORPHA:256
