rank	score	disease_name	disease_identifier
1	0.013469896279275417	ORPHA:363417	ORPHA:363417
2	0.016546988859772682	OMIM:201170	OMIM:201170
3	0.018853668123483658	OMIM:268305	OMIM:268305
4	0.019921792671084404	OMIM:616331	OMIM:616331
5	0.01997450180351734	ORPHA:2751	ORPHA:2751
6	0.020087571814656258	OMIM:605282	OMIM:605282
7	0.02041620947420597	OMIM:206920	OMIM:206920
8	0.02073107287287712	ORPHA:3201	ORPHA:3201
9	0.02073531039059162	OMIM:180700	OMIM:180700
10	0.021135563030838966	OMIM:618529	OMIM:618529
11	0.02115955390036106	OMIM:257850	OMIM:257850
12	0.021372608840465546	ORPHA:90650	ORPHA:90650
13	0.021507123485207558	ORPHA:2756	ORPHA:2756
14	0.021525375545024872	ORPHA:1406	ORPHA:1406
15	0.021842867136001587	ORPHA:2980	ORPHA:2980
16	0.021901730448007584	ORPHA:1106	ORPHA:1106
17	0.02199353650212288	ORPHA:236	ORPHA:236
18	0.022141100838780403	OMIM:268310	OMIM:268310
19	0.022201113402843475	ORPHA:93258	ORPHA:93258
20	0.022235892713069916	OMIM:602418	OMIM:602418
21	0.022393615916371346	OMIM:166250	OMIM:166250
22	0.022527029737830162	ORPHA:46627	ORPHA:46627
23	0.0226045660674572	OMIM:211750	OMIM:211750
24	0.022616708651185036	OMIM:252100	OMIM:252100
25	0.02293183095753193	OMIM:311300	OMIM:311300
26	0.0233901534229517	OMIM:258860	OMIM:258860
27	0.02352185733616352	OMIM:619143	OMIM:619143
28	0.023531224578619003	ORPHA:2994	ORPHA:2994
29	0.02366132102906704	OMIM:600383	OMIM:600383
30	0.02376452088356018	OMIM:620107	OMIM:620107
31	0.023807737976312637	ORPHA:221120	ORPHA:221120
32	0.02380833588540554	OMIM:170390	OMIM:170390
33	0.02390117011964321	OMIM:608670	OMIM:608670
34	0.024006176739931107	OMIM:154400	OMIM:154400
35	0.02404286153614521	OMIM:613684	OMIM:613684
36	0.024140309542417526	ORPHA:3107	ORPHA:3107
37	0.024247057735919952	OMIM:617755	OMIM:617755
38	0.024281347170472145	OMIM:613823	OMIM:613823
39	0.024328012019395828	OMIM:601390	OMIM:601390
40	0.024487381801009178	OMIM:617102	OMIM:617102
41	0.024488525465130806	ORPHA:364577	ORPHA:364577
42	0.024574724957346916	ORPHA:97360	ORPHA:97360
43	0.024663148447871208	OMIM:617927	OMIM:617927
44	0.024704772979021072	ORPHA:251014	ORPHA:251014
45	0.024823034182190895	ORPHA:1307	ORPHA:1307
46	0.02487078495323658	OMIM:148050	OMIM:148050
47	0.024875029921531677	ORPHA:3258	ORPHA:3258
48	0.024951033294200897	OMIM:616894	OMIM:616894
49	0.024999145418405533	OMIM:602849	OMIM:602849
50	0.02501603402197361	OMIM:609945	OMIM:609945
51	0.025016779080033302	ORPHA:1327	ORPHA:1327
52	0.02505211904644966	OMIM:200990	OMIM:200990
53	0.02507568523287773	ORPHA:2863	ORPHA:2863
54	0.025112131610512733	ORPHA:1507	ORPHA:1507
55	0.02511603944003582	ORPHA:439822	ORPHA:439822
56	0.02512180618941784	ORPHA:949	ORPHA:949
57	0.02516891434788704	OMIM:301026	OMIM:301026
58	0.02519502118229866	OMIM:600325	OMIM:600325
59	0.02521619200706482	OMIM:615546	OMIM:615546
60	0.0252558421343565	OMIM:611174	OMIM:611174
61	0.025358043611049652	OMIM:186500	OMIM:186500
62	0.02536698803305626	OMIM:614813	OMIM:614813
63	0.02541181817650795	ORPHA:1515	ORPHA:1515
64	0.025473834946751595	OMIM:617746	OMIM:617746
65	0.025569738820195198	OMIM:210600	OMIM:210600
66	0.025587188079953194	OMIM:619356	OMIM:619356
67	0.0256480909883976	OMIM:601680	OMIM:601680
68	0.025659572333097458	OMIM:617926	OMIM:617926
69	0.025786587968468666	OMIM:616145	OMIM:616145
70	0.025812018662691116	ORPHA:989	ORPHA:989
71	0.02583535946905613	ORPHA:90024	ORPHA:90024
72	0.025853903964161873	ORPHA:2712	ORPHA:2712
73	0.025963086634874344	OMIM:618658	OMIM:618658
74	0.025972742587327957	ORPHA:77258	ORPHA:77258
75	0.025997431948781013	OMIM:101400	OMIM:101400
76	0.026162168011069298	OMIM:149730	OMIM:149730
77	0.026186993345618248	OMIM:613458	OMIM:613458
78	0.026274045929312706	ORPHA:3103	ORPHA:3103
79	0.026332348585128784	OMIM:600920	OMIM:600920
80	0.026340141892433167	OMIM:258865	OMIM:258865
81	0.02634081058204174	OMIM:614976	OMIM:614976
82	0.026393013074994087	ORPHA:2662	ORPHA:2662
83	0.026455409824848175	OMIM:272950	OMIM:272950
84	0.02660689316689968	OMIM:277170	OMIM:277170
85	0.026670362800359726	ORPHA:2378	ORPHA:2378
86	0.026676775887608528	ORPHA:90652	ORPHA:90652
87	0.026751916855573654	OMIM:619148	OMIM:619148
88	0.026765460148453712	OMIM:616734	OMIM:616734
89	0.026795057579874992	OMIM:620072	OMIM:620072
90	0.026818420737981796	ORPHA:1919	ORPHA:1919
91	0.026824666187167168	OMIM:608156	OMIM:608156
92	0.02682781033217907	OMIM:227330	OMIM:227330
93	0.02685682103037834	ORPHA:1786	ORPHA:1786
94	0.026916345581412315	OMIM:218330	OMIM:218330
95	0.026916414499282837	OMIM:101600	OMIM:101600
96	0.026934705674648285	OMIM:611816	OMIM:611816
97	0.027132732793688774	OMIM:201000	OMIM:201000
98	0.02726847305893898	OMIM:209885	OMIM:209885
99	0.027275269851088524	ORPHA:1777	ORPHA:1777
100	0.027289992198348045	ORPHA:3080	ORPHA:3080
101	0.027326049283146858	OMIM:158170	OMIM:158170
102	0.027359310537576675	ORPHA:93259	ORPHA:93259
103	0.027383992448449135	ORPHA:2804	ORPHA:2804
104	0.027389828115701675	ORPHA:2919	ORPHA:2919
105	0.027390798553824425	ORPHA:370010	ORPHA:370010
106	0.02739635296165943	ORPHA:3379	ORPHA:3379
107	0.027432654052972794	OMIM:259775	OMIM:259775
108	0.027434682473540306	ORPHA:420561	ORPHA:420561
109	0.027473503723740578	ORPHA:261112	ORPHA:261112
110	0.02755219303071499	OMIM:309590	OMIM:309590
111	0.02760303020477295	OMIM:612651	OMIM:612651
112	0.02762150578200817	OMIM:157900	OMIM:157900
113	0.02765859104692936	OMIM:300895	OMIM:300895
114	0.027678057551383972	OMIM:613604	OMIM:613604
115	0.02768072858452797	ORPHA:1234	ORPHA:1234
116	0.027714097872376442	OMIM:260660	OMIM:260660
117	0.02771645225584507	ORPHA:1716	ORPHA:1716
118	0.027716970071196556	OMIM:614078	OMIM:614078
119	0.027756299823522568	ORPHA:96097	ORPHA:96097
120	0.027760598808526993	ORPHA:2332	ORPHA:2332
121	0.027778230607509613	OMIM:612474	OMIM:612474
122	0.027799423784017563	ORPHA:2754	ORPHA:2754
123	0.027818547561764717	ORPHA:217017	ORPHA:217017
124	0.027840716764330864	ORPHA:1784	ORPHA:1784
125	0.027842136099934578	ORPHA:2872	ORPHA:2872
126	0.027862057089805603	ORPHA:3447	ORPHA:3447
127	0.027863960713148117	OMIM:300990	OMIM:300990
128	0.02789551392197609	OMIM:614230	OMIM:614230
129	0.02793942205607891	ORPHA:79500	ORPHA:79500
130	0.027962537482380867	ORPHA:1580	ORPHA:1580
131	0.027969753369688988	OMIM:216340	OMIM:216340
132	0.027971575036644936	OMIM:158300	OMIM:158300
133	0.028028564527630806	OMIM:251255	OMIM:251255
134	0.02804969996213913	OMIM:193530	OMIM:193530
135	0.028071317821741104	OMIM:300166	OMIM:300166
136	0.028072131797671318	OMIM:605130	OMIM:605130
137	0.028089085593819618	ORPHA:1912	ORPHA:1912
138	0.028102342039346695	ORPHA:1295	ORPHA:1295
139	0.028126763179898262	OMIM:620073	OMIM:620073
140	0.02817007154226303	OMIM:174300	OMIM:174300
141	0.02818046510219574	ORPHA:251019	ORPHA:251019
142	0.028188085183501244	ORPHA:1147	ORPHA:1147
143	0.028196794912219048	ORPHA:3472	ORPHA:3472
144	0.028220461681485176	OMIM:258850	OMIM:258850
145	0.028344405815005302	OMIM:211380	OMIM:211380
146	0.02835034392774105	OMIM:619142	OMIM:619142
147	0.02844392880797386	ORPHA:264200	ORPHA:264200
148	0.028452491387724876	OMIM:154780	OMIM:154780
149	0.02845444716513157	ORPHA:1292	ORPHA:1292
150	0.028484562411904335	OMIM:613026	OMIM:613026
151	0.028506575152277946	OMIM:618333	OMIM:618333
152	0.028515607118606567	OMIM:305400	OMIM:305400
153	0.02851928025484085	ORPHA:710	ORPHA:710
154	0.02852126955986023	ORPHA:1387	ORPHA:1387
155	0.028559239581227303	OMIM:300963	OMIM:300963
156	0.028560826554894447	OMIM:600002	OMIM:600002
157	0.02858208864927292	OMIM:619951	OMIM:619951
158	0.028595255687832832	OMIM:614099	OMIM:614099
159	0.02861918695271015	OMIM:618975	OMIM:618975
160	0.02862517349421978	OMIM:136760	OMIM:136760
161	0.028652969747781754	OMIM:212720	OMIM:212720
162	0.028666233643889427	OMIM:618727	OMIM:618727
163	0.028682766482234	OMIM:619123	OMIM:619123
164	0.028705807402729988	OMIM:610706	OMIM:610706
165	0.028709257021546364	OMIM:146390	OMIM:146390
166	0.028723860159516335	OMIM:300484	OMIM:300484
167	0.02873367816209793	ORPHA:1752	ORPHA:1752
168	0.02873464860022068	ORPHA:56304	ORPHA:56304
169	0.028759201988577843	OMIM:619980	OMIM:619980
170	0.028768515214323997	OMIM:614701	OMIM:614701
171	0.028802627697587013	ORPHA:1452	ORPHA:1452
172	0.028817811980843544	OMIM:615777	OMIM:615777
173	0.028836825862526894	OMIM:609625	OMIM:609625
174	0.028877941891551018	OMIM:136140	OMIM:136140
175	0.02887861803174019	OMIM:610954	OMIM:610954
176	0.028887514024972916	OMIM:201180	OMIM:201180
177	0.028939051553606987	OMIM:309500	OMIM:309500
178	0.02896237000823021	ORPHA:251028	ORPHA:251028
179	0.029025474563241005	OMIM:190351	OMIM:190351
180	0.029048439115285873	OMIM:309580	OMIM:309580
181	0.029060473665595055	ORPHA:1702	ORPHA:1702
182	0.02906891703605652	ORPHA:163966	ORPHA:163966
183	0.029072241857647896	OMIM:311895	OMIM:311895
184	0.029074592515826225	OMIM:615866	OMIM:615866
185	0.029090506955981255	ORPHA:2886	ORPHA:2886
186	0.029101641848683357	ORPHA:477993	ORPHA:477993
187	0.029124636203050613	ORPHA:1587	ORPHA:1587
188	0.029128096997737885	OMIM:603736	OMIM:603736
189	0.029130542650818825	ORPHA:435638	ORPHA:435638
190	0.029153281822800636	OMIM:261540	OMIM:261540
191	0.029187360778450966	OMIM:619184	OMIM:619184
192	0.029203014448285103	ORPHA:96125	ORPHA:96125
193	0.0292064119130373	ORPHA:11	ORPHA:11
