rank	score	disease_name	disease_identifier
1	0.030870208516716957	ORPHA:2590	ORPHA:2590
2	0.03101515956223011	ORPHA:209335	ORPHA:209335
3	0.031580910086631775	OMIM:159950	OMIM:159950
4	0.03209375962615013	OMIM:614018	OMIM:614018
5	0.03371400013566017	ORPHA:309169	ORPHA:309169
6	0.03709391504526138	ORPHA:391411	ORPHA:391411
7	0.03730360418558121	ORPHA:313772	ORPHA:313772
8	0.037318311631679535	OMIM:614153	OMIM:614153
9	0.03737986460328102	ORPHA:466768	ORPHA:466768
10	0.03742114081978798	ORPHA:300605	ORPHA:300605
11	0.0378166139125824	OMIM:607317	OMIM:607317
12	0.03785467520356178	OMIM:613954	OMIM:613954
13	0.03809865936636925	OMIM:618877	OMIM:618877
14	0.03829529508948326	OMIM:612437	OMIM:612437
15	0.03840210661292076	ORPHA:53351	ORPHA:53351
16	0.03869279474020004	OMIM:606703	OMIM:606703
17	0.03870975598692894	OMIM:618587	OMIM:618587
18	0.03887225314974785	OMIM:612953	OMIM:612953
19	0.03903472051024437	ORPHA:276198	ORPHA:276198
20	0.03904181346297264	OMIM:253400	OMIM:253400
21	0.03916202113032341	ORPHA:314632	ORPHA:314632
22	0.039216846227645874	OMIM:607483	OMIM:607483
23	0.03924475610256195	ORPHA:276435	ORPHA:276435
24	0.03925497457385063	OMIM:614487	OMIM:614487
25	0.0393500030040741	OMIM:205100	OMIM:205100
26	0.03947507217526436	ORPHA:225154	ORPHA:225154
27	0.03960121423006058	ORPHA:353327	ORPHA:353327
28	0.03961945325136185	OMIM:606693	OMIM:606693
29	0.039650965481996536	OMIM:254300	OMIM:254300
30	0.03985552489757538	OMIM:619317	OMIM:619317
31	0.03993798792362213	ORPHA:254854	ORPHA:254854
32	0.04000212997198105	ORPHA:101085	ORPHA:101085
33	0.04005858302116394	ORPHA:98763	ORPHA:98763
34	0.04017405956983566	ORPHA:33069	ORPHA:33069
35	0.04020839184522629	ORPHA:845	ORPHA:845
36	0.04054035618901253	OMIM:618497	OMIM:618497
37	0.040562137961387634	OMIM:620166	OMIM:620166
38	0.04063080996274948	OMIM:272750	OMIM:272750
39	0.0406855009496212	ORPHA:397946	ORPHA:397946
40	0.04075319319963455	ORPHA:36387	ORPHA:36387
