rank	score	disease_name	disease_identifier
1	0.019015487283468246	OMIM:153670	OMIM:153670
2	0.023923974484205246	OMIM:273800	OMIM:273800
3	0.025933444499969482	OMIM:231200	OMIM:231200
4	0.027846481651067734	OMIM:314050	OMIM:314050
5	0.02794920839369297	OMIM:273900	OMIM:273900
6	0.028321435675024986	OMIM:187900	OMIM:187900
7	0.03103366494178772	OMIM:139090	OMIM:139090
8	0.032189056277275085	ORPHA:274	ORPHA:274
9	0.03334479033946991	ORPHA:849	ORPHA:849
10	0.03418046981096268	ORPHA:88	ORPHA:88
11	0.03434332087635994	OMIM:619267	OMIM:619267
12	0.034346967935562134	OMIM:313900	OMIM:313900
13	0.03489292785525322	OMIM:615193	OMIM:615193
14	0.0350843220949173	OMIM:614201	OMIM:614201
15	0.035257451236248016	OMIM:277480	OMIM:277480
16	0.03549762815237045	OMIM:155100	OMIM:155100
17	0.03567412123084068	OMIM:601709	OMIM:601709
18	0.03572984039783478	OMIM:187800	OMIM:187800
19	0.038170233368873596	ORPHA:99147	ORPHA:99147
20	0.03858134150505066	OMIM:616176	OMIM:616176
21	0.038832761347293854	ORPHA:238459	ORPHA:238459
22	0.038910191506147385	ORPHA:520	ORPHA:520
23	0.039180900901556015	OMIM:193400	OMIM:193400
24	0.040074288845062256	OMIM:616216	OMIM:616216
25	0.041597120463848114	OMIM:619271	OMIM:619271
26	0.04189682379364967	ORPHA:2330	ORPHA:2330
27	0.04206470027565956	OMIM:173590	OMIM:173590
28	0.042152322828769684	ORPHA:35909	ORPHA:35909
29	0.04242163151502609	ORPHA:3002	ORPHA:3002
30	0.04294835403561592	OMIM:614158	OMIM:614158
31	0.04335114359855652	ORPHA:721	ORPHA:721
32	0.04374668374657631	ORPHA:49566	ORPHA:49566
33	0.044397782534360886	OMIM:137560	OMIM:137560
34	0.044603437185287476	OMIM:615888	OMIM:615888
35	0.04595369100570679	ORPHA:824	ORPHA:824
36	0.04756008833646774	ORPHA:182050	ORPHA:182050
37	0.047674618661403656	OMIM:609821	OMIM:609821
38	0.04864392429590225	ORPHA:325	ORPHA:325
39	0.04880283400416374	ORPHA:1063	ORPHA:1063
40	0.04890091344714165	ORPHA:99828	ORPHA:99828
41	0.048967719078063965	OMIM:210250	OMIM:210250
42	0.04938044771552086	OMIM:614009	OMIM:614009
43	0.04978465661406517	OMIM:617443	OMIM:617443
44	0.04979930445551872	OMIM:613679	OMIM:613679
45	0.050529394298791885	OMIM:608404	OMIM:608404
46	0.05066323280334473	ORPHA:465	ORPHA:465
47	0.05082680657505989	ORPHA:169802	ORPHA:169802
48	0.05085692182183266	OMIM:616050	OMIM:616050
49	0.050936732441186905	OMIM:618462	OMIM:618462
50	0.051022421568632126	ORPHA:98870	ORPHA:98870
51	0.05117182433605194	OMIM:301000	OMIM:301000
52	0.05117413029074669	OMIM:601399	OMIM:601399
53	0.052376192063093185	ORPHA:906	ORPHA:906
54	0.052448712289333344	ORPHA:99827	ORPHA:99827
55	0.05249924585223198	ORPHA:542643	ORPHA:542643
56	0.052621081471443176	OMIM:300367	OMIM:300367
57	0.0528055876493454	ORPHA:329	ORPHA:329
58	0.0529739111661911	OMIM:227600	OMIM:227600
59	0.05336830019950867	OMIM:613225	OMIM:613225
60	0.053781334310770035	ORPHA:99826	ORPHA:99826
61	0.05380481854081154	ORPHA:540	ORPHA:540
62	0.053865816444158554	OMIM:619130	OMIM:619130
63	0.05397555232048035	ORPHA:331	ORPHA:331
64	0.05401255935430527	ORPHA:33226	ORPHA:33226
65	0.05401753634214401	OMIM:277450	OMIM:277450
66	0.05420973524451256	ORPHA:86839	ORPHA:86839
67	0.05440608784556389	ORPHA:284227	ORPHA:284227
68	0.05447424575686455	ORPHA:91547	ORPHA:91547
