rank	score	disease_name	disease_identifier
1	0.011089117266237736	ORPHA:438216	ORPHA:438216
2	0.011387125588953495	OMIM:619950	OMIM:619950
3	0.01178536657243967	ORPHA:480907	ORPHA:480907
4	0.011800152249634266	OMIM:616579	OMIM:616579
5	0.011999877169728279	ORPHA:562528	ORPHA:562528
6	0.012072310782968998	OMIM:616158	OMIM:616158
7	0.01209020521491766	OMIM:617330	OMIM:617330
8	0.012242501601576805	OMIM:616801	OMIM:616801
9	0.01236823108047247	OMIM:614756	OMIM:614756
10	0.01237188559025526	ORPHA:261349	ORPHA:261349
11	0.012404738925397396	OMIM:615485	OMIM:615485
12	0.012478701770305634	OMIM:618829	OMIM:618829
13	0.012495288625359535	OMIM:615419	OMIM:615419
14	0.01257319189608097	ORPHA:369950	ORPHA:369950
15	0.012621508911252022	OMIM:618106	OMIM:618106
16	0.012652209959924221	OMIM:616078	OMIM:616078
17	0.012661506421864033	OMIM:254940	OMIM:254940
18	0.012712772935628891	OMIM:620250	OMIM:620250
19	0.012772622518241405	OMIM:617804	OMIM:617804
20	0.012777498923242092	ORPHA:481152	ORPHA:481152
21	0.01295646745711565	OMIM:615834	OMIM:615834
22	0.012981281615793705	OMIM:300749	OMIM:300749
23	0.01299393642693758	OMIM:314580	OMIM:314580
24	0.013085166923701763	ORPHA:371364	ORPHA:371364
25	0.013091403059661388	OMIM:301041	OMIM:301041
26	0.013105606660246849	OMIM:617557	OMIM:617557
27	0.013112775050103664	OMIM:615873	OMIM:615873
28	0.013116375543177128	ORPHA:506358	ORPHA:506358
29	0.01320595946162939	OMIM:616354	OMIM:616354
30	0.013219640590250492	OMIM:117550	OMIM:117550
31	0.013264643959701061	OMIM:309590	OMIM:309590
32	0.013279885984957218	OMIM:618342	OMIM:618342
33	0.013296358287334442	OMIM:619383	OMIM:619383
34	0.013296900317072868	ORPHA:369891	ORPHA:369891
35	0.013301147148013115	ORPHA:397709	ORPHA:397709
36	0.013303357176482677	OMIM:618050	OMIM:618050
