rank	score	disease_name	disease_identifier
1	0.006018083076924086	OMIM:619950	OMIM:619950
2	0.0065557570196688175	OMIM:615485	OMIM:615485
3	0.00679471530020237	OMIM:619297	OMIM:619297
4	0.006895794998854399	ORPHA:192	ORPHA:192
5	0.0069753387942910194	OMIM:620224	OMIM:620224
6	0.007015046197921038	ORPHA:251028	ORPHA:251028
7	0.007199566811323166	ORPHA:562528	ORPHA:562528
8	0.007203263696283102	ORPHA:261349	ORPHA:261349
9	0.007223579101264477	OMIM:213980	OMIM:213980
10	0.007228603586554527	ORPHA:3063	ORPHA:3063
11	0.007277956698089838	OMIM:619383	OMIM:619383
12	0.007322245743125677	OMIM:612313	OMIM:612313
13	0.007397404871881008	OMIM:259050	OMIM:259050
14	0.0074051436968147755	OMIM:613406	OMIM:613406
15	0.007411065511405468	OMIM:309583	OMIM:309583
16	0.007463166490197182	OMIM:602535	OMIM:602535
17	0.00752888061106205	OMIM:617157	OMIM:617157
18	0.007540612947195768	OMIM:156200	OMIM:156200
19	0.007542364299297333	ORPHA:397709	ORPHA:397709
20	0.007568117696791887	OMIM:616268	OMIM:616268
21	0.00758685078471899	ORPHA:819	ORPHA:819
22	0.007614092901349068	OMIM:618829	OMIM:618829
23	0.00767451710999012	OMIM:615873	OMIM:615873
24	0.007703348528593779	OMIM:300966	OMIM:300966
25	0.007716716732829809	ORPHA:466791	ORPHA:466791
26	0.007739298045635223	ORPHA:247262	ORPHA:247262
27	0.00777176721021533	OMIM:616801	OMIM:616801
28	0.007823356427252293	ORPHA:280633	ORPHA:280633
29	0.007867497391998768	OMIM:300882	OMIM:300882
30	0.007896504364907742	OMIM:115150	OMIM:115150
31	0.0079115005210042	OMIM:619503	OMIM:619503
32	0.007919500581920147	ORPHA:481152	ORPHA:481152
33	0.007924915291368961	OMIM:618371	OMIM:618371
34	0.007961258292198181	ORPHA:371364	ORPHA:371364
35	0.008051597513258457	ORPHA:289522	ORPHA:289522
36	0.008098984137177467	ORPHA:2896	ORPHA:2896
37	0.008100701496005058	OMIM:613776	OMIM:613776
38	0.00810265727341175	OMIM:617330	OMIM:617330
39	0.008119470439851284	OMIM:610954	OMIM:610954
40	0.008120685815811157	OMIM:618443	OMIM:618443
41	0.008152244612574577	ORPHA:363528	ORPHA:363528
42	0.008177352137863636	OMIM:617140	OMIM:617140
43	0.00821459200233221	ORPHA:495818	ORPHA:495818
44	0.00827221479266882	OMIM:615419	OMIM:615419
45	0.008289742283523083	OMIM:619293	OMIM:619293
46	0.008298392407596111	OMIM:617804	OMIM:617804
47	0.008319862186908722	OMIM:212720	OMIM:212720
48	0.008328724652528763	ORPHA:93932	ORPHA:93932
49	0.008344409987330437	OMIM:309580	OMIM:309580
50	0.008412148803472519	OMIM:619325	OMIM:619325
51	0.008432709611952305	OMIM:606232	OMIM:606232
52	0.008433124050498009	ORPHA:199	ORPHA:199
53	0.008498876355588436	ORPHA:352665	ORPHA:352665
53	0.008498876355588436	ORPHA:453504	ORPHA:453504
55	0.008504536002874374	OMIM:617061	OMIM:617061
56	0.008507531136274338	OMIM:620330	OMIM:620330
57	0.008538715541362762	OMIM:212066	OMIM:212066
58	0.00853935070335865	ORPHA:1001	ORPHA:1001
59	0.008551055565476418	OMIM:619720	OMIM:619720
60	0.008578293025493622	ORPHA:513456	ORPHA:513456
61	0.008596978150308132	ORPHA:177907	ORPHA:177907
62	0.008599751628935337	ORPHA:506358	ORPHA:506358
63	0.008604171685874462	ORPHA:238750	ORPHA:238750
64	0.008624405600130558	OMIM:605039	OMIM:605039
65	0.0086256368085742	ORPHA:488632	ORPHA:488632
66	0.008639819920063019	ORPHA:1895	ORPHA:1895
67	0.008644591085612774	OMIM:619841	OMIM:619841
68	0.008651310577988625	OMIM:264090	OMIM:264090
69	0.008680474944412708	OMIM:300534	OMIM:300534
70	0.008684043772518635	OMIM:617557	OMIM:617557
71	0.008687314577400684	OMIM:180849	OMIM:180849
72	0.008690441027283669	OMIM:620250	OMIM:620250
73	0.008700897917151451	ORPHA:79500	ORPHA:79500
74	0.008780792355537415	OMIM:618430	OMIM:618430
