rank	score	disease_name	disease_identifier
1	0.01833191327750683	ORPHA:397	ORPHA:397
2	0.018338343128561974	ORPHA:319251	ORPHA:319251
3	0.018957315012812614	ORPHA:117	ORPHA:117
4	0.019591549411416054	OMIM:615688	OMIM:615688
5	0.019735317677259445	ORPHA:74	ORPHA:74
6	0.020157307386398315	ORPHA:319213	ORPHA:319213
7	0.020383333787322044	ORPHA:99827	ORPHA:99827
8	0.020586179569363594	ORPHA:533	ORPHA:533
9	0.021138601005077362	OMIM:260920	OMIM:260920
10	0.021367669105529785	ORPHA:343	ORPHA:343
11	0.021589843556284904	ORPHA:99826	ORPHA:99826
12	0.021737610921263695	ORPHA:91139	ORPHA:91139
13	0.021879397332668304	ORPHA:297	ORPHA:297
14	0.0220640916377306	ORPHA:93552	ORPHA:93552
15	0.022102633491158485	ORPHA:3260	ORPHA:3260
16	0.02260536141693592	ORPHA:33226	ORPHA:33226
17	0.022691888734698296	ORPHA:48435	ORPHA:48435
18	0.022917937487363815	ORPHA:509	ORPHA:509
19	0.022929998114705086	ORPHA:324636	ORPHA:324636
20	0.023021720349788666	ORPHA:900	ORPHA:900
21	0.023117773234844208	ORPHA:91138	ORPHA:91138
22	0.023242458701133728	ORPHA:83313	ORPHA:83313
23	0.02374490723013878	ORPHA:33475	ORPHA:33475
24	0.023784536868333817	OMIM:182410	OMIM:182410
25	0.023908302187919617	ORPHA:3452	ORPHA:3452
26	0.024075165390968323	ORPHA:83317	ORPHA:83317
27	0.024077998474240303	ORPHA:247691	ORPHA:247691
28	0.024117929860949516	ORPHA:761	ORPHA:761
29	0.024236945435404778	OMIM:611762	OMIM:611762
30	0.02433779463171959	OMIM:301080	OMIM:301080
31	0.024422964081168175	ORPHA:679	ORPHA:679
32	0.024660004302859306	ORPHA:99745	ORPHA:99745
33	0.024705538526177406	ORPHA:1304	ORPHA:1304
34	0.024891430512070656	OMIM:120100	OMIM:120100
35	0.024924516677856445	ORPHA:69077	ORPHA:69077
36	0.02520008571445942	ORPHA:183	ORPHA:183
37	0.025268105790019035	ORPHA:289390	ORPHA:289390
38	0.025310691446065903	ORPHA:99829	ORPHA:99829
39	0.025336790829896927	ORPHA:589	ORPHA:589
40	0.0253598690032959	ORPHA:324625	ORPHA:324625
41	0.02542252652347088	ORPHA:79473	ORPHA:79473
42	0.02545817941427231	ORPHA:36412	ORPHA:36412
43	0.02551690861582756	ORPHA:91546	ORPHA:91546
44	0.02557247132062912	ORPHA:99824	ORPHA:99824
45	0.025647694244980812	ORPHA:707	ORPHA:707
46	0.02567880228161812	ORPHA:93672	ORPHA:93672
47	0.025752929970622063	ORPHA:108	ORPHA:108
48	0.025754151865839958	ORPHA:809	ORPHA:809
49	0.02587616816163063	OMIM:142680	OMIM:142680
50	0.025898588821291924	ORPHA:244242	ORPHA:244242
51	0.026117762550711632	ORPHA:3385	ORPHA:3385
52	0.026157807558774948	ORPHA:1451	ORPHA:1451
53	0.026195060461759567	ORPHA:71493	ORPHA:71493
54	0.026363005861639977	ORPHA:448237	ORPHA:448237
55	0.02638929709792137	ORPHA:51	ORPHA:51
