rank	score	disease_name	disease_identifier
1	0.007998759858310223	OMIM:616268	OMIM:616268
2	0.008619505912065506	OMIM:135900	OMIM:135900
3	0.008638615719974041	OMIM:619503	OMIM:619503
4	0.008678942918777466	OMIM:180849	OMIM:180849
5	0.008820061571896076	OMIM:213980	OMIM:213980
6	0.00882099848240614	ORPHA:280633	ORPHA:280633
7	0.008837678469717503	ORPHA:261349	ORPHA:261349
8	0.008878044784069061	OMIM:301040	OMIM:301040
9	0.009081595577299595	OMIM:619383	OMIM:619383
10	0.009109578095376492	OMIM:616580	OMIM:616580
11	0.00913283322006464	OMIM:602535	OMIM:602535
12	0.009368055500090122	OMIM:244450	OMIM:244450
13	0.00937605369836092	OMIM:619194	OMIM:619194
14	0.009474918246269226	OMIM:619950	OMIM:619950
15	0.009552347473800182	ORPHA:163956	ORPHA:163956
16	0.009573213756084442	OMIM:601808	OMIM:601808
17	0.00958150066435337	OMIM:619522	OMIM:619522
18	0.009603925049304962	OMIM:300855	OMIM:300855
19	0.009719221852719784	OMIM:619841	OMIM:619841
20	0.00974972266703844	OMIM:615873	OMIM:615873
21	0.0097916629165411	ORPHA:199	ORPHA:199
22	0.009794983081519604	OMIM:212720	OMIM:212720
23	0.00984364002943039	OMIM:619325	OMIM:619325
24	0.009846733883023262	OMIM:619293	OMIM:619293
25	0.009890568442642689	OMIM:609625	OMIM:609625
26	0.009895546361804008	ORPHA:459070	ORPHA:459070
27	0.00995008833706379	ORPHA:363611	ORPHA:363611
28	0.009974363259971142	OMIM:617557	OMIM:617557
29	0.010004691779613495	OMIM:619087	OMIM:619087
30	0.010053424164652824	OMIM:601803	OMIM:601803
31	0.010053446516394615	OMIM:610443	OMIM:610443
32	0.010062147863209248	OMIM:618027	OMIM:618027
33	0.010065640322864056	OMIM:620224	OMIM:620224
34	0.010080596432089806	OMIM:617137	OMIM:617137
35	0.010111106559634209	OMIM:305450	OMIM:305450
36	0.010113166645169258	OMIM:618371	OMIM:618371
37	0.010122204199433327	OMIM:136140	OMIM:136140
38	0.010187127627432346	OMIM:618653	OMIM:618653
39	0.010218584910035133	OMIM:218040	OMIM:218040
40	0.010219569317996502	OMIM:619297	OMIM:619297
41	0.010252559557557106	OMIM:609029	OMIM:609029
42	0.010286123491823673	ORPHA:444077	ORPHA:444077
43	0.01030484028160572	ORPHA:93932	ORPHA:93932
44	0.010309512726962566	ORPHA:96121	ORPHA:96121
45	0.010322891175746918	OMIM:300966	OMIM:300966
46	0.0103329261764884	OMIM:150230	OMIM:150230
47	0.01034375000745058	OMIM:617157	OMIM:617157
48	0.01034530159085989	ORPHA:261290	ORPHA:261290
49	0.010355168953537941	OMIM:614080	OMIM:614080
50	0.010375902988016605	ORPHA:96170	ORPHA:96170
51	0.010406050831079483	OMIM:618268	OMIM:618268
52	0.010415250435471535	OMIM:613563	OMIM:613563
53	0.010419235564768314	ORPHA:2044	ORPHA:2044
54	0.010443666018545628	OMIM:613406	OMIM:613406
55	0.010445401072502136	ORPHA:466791	ORPHA:466791
56	0.010461228899657726	OMIM:615485	OMIM:615485
57	0.010506822727620602	OMIM:617506	OMIM:617506
58	0.01051594689488411	ORPHA:363528	ORPHA:363528
59	0.010541766881942749	OMIM:259050	OMIM:259050
60	0.010559114627540112	OMIM:618454	OMIM:618454
61	0.010574348270893097	ORPHA:329224	ORPHA:329224
62	0.010588712058961391	OMIM:611209	OMIM:611209
63	0.010591738857328892	OMIM:309500	OMIM:309500
64	0.01059267669916153	OMIM:613776	OMIM:613776
65	0.010599366389214993	OMIM:605039	OMIM:605039
66	0.010623713955283165	OMIM:280000	OMIM:280000
67	0.01064834650605917	ORPHA:261494	ORPHA:261494
68	0.010649461299180984	OMIM:612513	OMIM:612513
69	0.010680395178496838	OMIM:618659	OMIM:618659
70	0.010691543109714985	OMIM:619951	OMIM:619951
71	0.010720739141106606	ORPHA:261279	ORPHA:261279
72	0.01072239875793457	ORPHA:2152	ORPHA:2152
73	0.010749667882919312	OMIM:607872	OMIM:607872
74	0.010752644389867783	OMIM:122470	OMIM:122470
75	0.010776360519230366	OMIM:617140	OMIM:617140
76	0.0107771847397089	ORPHA:480880	ORPHA:480880
77	0.010784726589918137	OMIM:300895	OMIM:300895
78	0.01078612357378006	OMIM:613385	OMIM:613385
79	0.010793683119118214	OMIM:300968	OMIM:300968
80	0.01079840213060379	OMIM:147920	OMIM:147920
81	0.010799240320920944	OMIM:300373	OMIM:300373
82	0.010814274661242962	ORPHA:464738	ORPHA:464738
83	0.010820848867297173	ORPHA:506358	ORPHA:506358
84	0.010861841961741447	ORPHA:247262	ORPHA:247262
85	0.010870551690459251	ORPHA:96148	ORPHA:96148
86	0.010886886157095432	OMIM:616975	OMIM:616975
87	0.010900445282459259	OMIM:617360	OMIM:617360
88	0.010930879041552544	ORPHA:508488	ORPHA:508488
89	0.010931123048067093	OMIM:300960	OMIM:300960
90	0.010970938950777054	OMIM:214100	OMIM:214100
91	0.011007285676896572	ORPHA:261330	ORPHA:261330
92	0.011057182215154171	OMIM:223370	OMIM:223370
93	0.011057824827730656	ORPHA:3309	ORPHA:3309
94	0.011060837656259537	ORPHA:3310	ORPHA:3310
95	0.011066158302128315	OMIM:618316	OMIM:618316
96	0.01107786688953638	ORPHA:3063	ORPHA:3063
97	0.011088699102401733	OMIM:617402	OMIM:617402
98	0.011095186695456505	OMIM:309580	OMIM:309580
99	0.011100085452198982	OMIM:618829	OMIM:618829
100	0.01110019814223051	OMIM:620330	OMIM:620330
101	0.011100511066615582	ORPHA:79328	ORPHA:79328
102	0.011107439175248146	ORPHA:79500	ORPHA:79500
103	0.01112042274326086	ORPHA:798	ORPHA:798
104	0.011132805608212948	ORPHA:1465	ORPHA:1465
105	0.011147316545248032	OMIM:618947	OMIM:618947
106	0.011150909587740898	OMIM:617602	OMIM:617602
107	0.011151350103318691	ORPHA:235	ORPHA:235
108	0.011165136471390724	OMIM:616737	OMIM:616737
109	0.011176650412380695	OMIM:115150	OMIM:115150
110	0.01117956917732954	OMIM:601776	OMIM:601776
111	0.01120209414511919	ORPHA:487796	ORPHA:487796
112	0.01124577596783638	OMIM:300998	OMIM:300998
113	0.011250120587646961	OMIM:616368	OMIM:616368
114	0.011304181069135666	OMIM:300867	OMIM:300867
115	0.01132597029209137	OMIM:601358	OMIM:601358
116	0.01132760476320982	ORPHA:363958	ORPHA:363958
116	0.01132760476320982	ORPHA:363965	ORPHA:363965
118	0.011330590583384037	OMIM:617061	OMIM:617061
119	0.011343393474817276	OMIM:264090	OMIM:264090
120	0.011347504332661629	OMIM:617452	OMIM:617452
121	0.011379607021808624	ORPHA:444072	ORPHA:444072
122	0.011385424062609673	OMIM:612474	OMIM:612474
123	0.011390665546059608	ORPHA:352665	ORPHA:352665
123	0.011390665546059608	ORPHA:453504	ORPHA:453504
125	0.011405848897993565	OMIM:617403	OMIM:617403
126	0.01145200990140438	ORPHA:261337	ORPHA:261337
127	0.011457337997853756	ORPHA:96149	ORPHA:96149
128	0.011461879126727581	ORPHA:261537	ORPHA:261537
129	0.011488139629364014	OMIM:239300	OMIM:239300
130	0.011499990709125996	OMIM:619745	OMIM:619745
131	0.0115048848092556	ORPHA:562528	ORPHA:562528
132	0.011510458774864674	ORPHA:177907	ORPHA:177907
133	0.011514797806739807	OMIM:619488	OMIM:619488
134	0.011528045870363712	OMIM:619376	OMIM:619376
135	0.01153508760035038	ORPHA:3455	ORPHA:3455
136	0.01155833713710308	OMIM:301032	OMIM:301032
137	0.011617926880717278	ORPHA:1272	ORPHA:1272
138	0.011629130691289902	ORPHA:2962	ORPHA:2962
139	0.01163372490555048	OMIM:618606	OMIM:618606
140	0.011661714874207973	OMIM:309583	OMIM:309583
141	0.01168103888630867	ORPHA:495818	ORPHA:495818
142	0.01168887596577406	OMIM:182212	OMIM:182212
143	0.011694752611219883	OMIM:270400	OMIM:270400
144	0.011699879541993141	ORPHA:96264	ORPHA:96264
145	0.011722651310265064	OMIM:619758	OMIM:619758
146	0.011724564246833324	OMIM:300534	OMIM:300534
147	0.011730726808309555	OMIM:157800	OMIM:157800
148	0.011751441285014153	ORPHA:404440	ORPHA:404440
149	0.01175464503467083	ORPHA:2308	ORPHA:2308
150	0.011773919686675072	ORPHA:96201	ORPHA:96201
151	0.011776178143918514	ORPHA:1001	ORPHA:1001
152	0.011779870837926865	OMIM:278250	OMIM:278250
153	0.011781345121562481	ORPHA:1600	ORPHA:1600
154	0.011781785637140274	ORPHA:2953	ORPHA:2953
155	0.011808994226157665	OMIM:619762	OMIM:619762
156	0.011812890879809856	OMIM:193700	OMIM:193700
157	0.011815760284662247	OMIM:615009	OMIM:615009
158	0.011822773143649101	OMIM:613610	OMIM:613610
159	0.011838874779641628	OMIM:261540	OMIM:261540
160	0.011842252686619759	OMIM:619648	OMIM:619648
161	0.011849154718220234	OMIM:179613	OMIM:179613
162	0.011915326118469238	OMIM:606232	OMIM:606232
163	0.011934801936149597	OMIM:617260	OMIM:617260
164	0.011969066224992275	OMIM:619148	OMIM:619148
165	0.011971850879490376	OMIM:123450	OMIM:123450
166	0.011972060427069664	OMIM:619480	OMIM:619480
167	0.011982698924839497	ORPHA:83617	ORPHA:83617
168	0.012013104744255543	OMIM:619472	OMIM:619472
169	0.012025262229144573	OMIM:303600	OMIM:303600
170	0.01206898968666792	OMIM:620185	OMIM:620185
171	0.01207742653787136	OMIM:616449	OMIM:616449
172	0.012083280831575394	OMIM:102500	OMIM:102500
173	0.012109552510082722	OMIM:616266	OMIM:616266
174	0.012114353477954865	OMIM:194050	OMIM:194050
175	0.012117845006287098	ORPHA:2896	ORPHA:2896
176	0.012120346538722515	OMIM:612582	OMIM:612582
177	0.012128912843763828	OMIM:619934	OMIM:619934
178	0.012146444991230965	OMIM:620083	OMIM:620083
179	0.01215081475675106	OMIM:601353	OMIM:601353
180	0.012151505798101425	OMIM:615546	OMIM:615546
181	0.01215424109250307	OMIM:619833	OMIM:619833
182	0.012167053297162056	OMIM:618460	OMIM:618460
183	0.012169010937213898	OMIM:619512	OMIM:619512
184	0.01220847200602293	OMIM:156200	OMIM:156200
185	0.01221008226275444	ORPHA:457193	ORPHA:457193
186	0.0122190797701478	ORPHA:93260	ORPHA:93260
187	0.012223667465150356	OMIM:114290	OMIM:114290
188	0.012224886566400528	OMIM:612863	OMIM:612863
189	0.012228559702634811	OMIM:277590	OMIM:277590
190	0.012232141569256783	OMIM:235510	OMIM:235510
191	0.012240585871040821	ORPHA:250989	ORPHA:250989
192	0.01224113442003727	OMIM:610954	OMIM:610954
193	0.012243511155247688	OMIM:618975	OMIM:618975
194	0.012244828045368195	OMIM:300967	OMIM:300967
195	0.012249100022017956	ORPHA:3379	ORPHA:3379
196	0.012249639257788658	OMIM:266920	OMIM:266920
197	0.012268934398889542	OMIM:248700	OMIM:248700
198	0.012283077463507652	OMIM:257300	OMIM:257300
199	0.012284822762012482	OMIM:610759	OMIM:610759
200	0.012302765622735023	OMIM:301044	OMIM:301044
201	0.012303496710956097	OMIM:620186	OMIM:620186
202	0.012313565239310265	ORPHA:261552	ORPHA:261552
203	0.012324145063757896	OMIM:300882	OMIM:300882
204	0.012334571219980717	ORPHA:96092	ORPHA:96092
205	0.012339220382273197	ORPHA:505237	ORPHA:505237
206	0.012341582216322422	ORPHA:2886	ORPHA:2886
207	0.012345300987362862	OMIM:614608	OMIM:614608
208	0.012351746670901775	OMIM:615582	OMIM:615582
209	0.012352894060313702	ORPHA:261211	ORPHA:261211
210	0.012355735525488853	ORPHA:2729	ORPHA:2729
211	0.012373724952340126	OMIM:614607	OMIM:614607
212	0.01238949690014124	OMIM:605130	OMIM:605130
213	0.01240859366953373	ORPHA:821	ORPHA:821
214	0.012415601871907711	ORPHA:264450	ORPHA:264450
