rank	score	disease_name	disease_identifier
1	0.15658938884735107	OMIM:203340	OMIM:203340
2	0.16625022888183594	ORPHA:79478	ORPHA:79478
3	0.17063558101654053	ORPHA:42665	ORPHA:42665
4	0.17633157968521118	OMIM:103500	OMIM:103500
5	0.17745649814605713	ORPHA:79433	ORPHA:79433
6	0.1810726523399353	OMIM:227010	OMIM:227010
7	0.18296271562576294	ORPHA:2989	ORPHA:2989
8	0.1842637062072754	ORPHA:79432	ORPHA:79432
9	0.18644797801971436	ORPHA:71276	ORPHA:71276
10	0.18693184852600098	OMIM:606574	OMIM:606574
