rank	score	disease_name	disease_identifier
1	0.05455416068434715	OMIM:301200	OMIM:301200
2	0.05602205917239189	OMIM:616270	OMIM:616270
3	0.058233022689819336	OMIM:616221	OMIM:616221
4	0.05896900221705437	OMIM:104510	OMIM:104510
5	0.059569984674453735	OMIM:620104	OMIM:620104
6	0.06184455379843712	OMIM:614832	OMIM:614832
7	0.06280800700187683	OMIM:104530	OMIM:104530
8	0.06746707856655121	OMIM:617297	OMIM:617297
9	0.06862684339284897	ORPHA:88661	ORPHA:88661
10	0.07800201326608658	OMIM:612529	OMIM:612529
11	0.07985933870077133	ORPHA:83450	ORPHA:83450
12	0.08172830194234848	OMIM:618386	OMIM:618386
13	0.08196248859167099	OMIM:204650	OMIM:204650
14	0.08364035934209824	ORPHA:79129	ORPHA:79129
15	0.08616218715906143	ORPHA:3196	ORPHA:3196
16	0.08720596134662628	ORPHA:99798	ORPHA:99798
17	0.08863799273967743	OMIM:615887	OMIM:615887
18	0.0897609293460846	OMIM:125500	OMIM:125500
19	0.08990820497274399	OMIM:204700	OMIM:204700
20	0.09240167587995529	OMIM:617217	OMIM:617217
21	0.09896745532751083	OMIM:125400	OMIM:125400
22	0.09957708418369293	OMIM:613211	OMIM:613211
23	0.10024824738502502	ORPHA:49042	ORPHA:49042
24	0.10239825397729874	OMIM:617607	OMIM:617607
25	0.10338063538074493	OMIM:125490	OMIM:125490
26	0.10478615015745163	ORPHA:1028	ORPHA:1028
27	0.10763126611709595	OMIM:313500	OMIM:313500
28	0.10796565562486649	OMIM:166750	OMIM:166750
29	0.10875517874956131	ORPHA:2791	ORPHA:2791
30	0.10987021028995514	OMIM:130900	OMIM:130900
31	0.11080487072467804	ORPHA:3352	ORPHA:3352
32	0.1126888245344162	ORPHA:75392	ORPHA:75392
33	0.11414489150047302	ORPHA:1077	ORPHA:1077
34	0.11436579376459122	ORPHA:2228	ORPHA:2228
35	0.11436773091554642	OMIM:606713	OMIM:606713
36	0.11557844281196594	ORPHA:1811	ORPHA:1811
37	0.11682470887899399	OMIM:604625	OMIM:604625
38	0.11744624376296997	OMIM:602401	OMIM:602401
39	0.11807450652122498	OMIM:125440	OMIM:125440
40	0.11849229037761688	ORPHA:2722	ORPHA:2722
41	0.11922992765903473	OMIM:234580	OMIM:234580
42	0.11939270794391632	OMIM:301201	OMIM:301201
43	0.12005802989006042	OMIM:225060	OMIM:225060
44	0.12020204961299896	OMIM:601216	OMIM:601216
45	0.12124347686767578	OMIM:125640	OMIM:125640
46	0.12162664532661438	OMIM:212780	OMIM:212780
47	0.12164686620235443	ORPHA:83451	ORPHA:83451
48	0.12177017331123352	OMIM:129550	OMIM:129550
49	0.12251093238592148	OMIM:620192	OMIM:620192
50	0.12276686728000641	OMIM:620193	OMIM:620193
51	0.12327311187982559	ORPHA:952	ORPHA:952
52	0.12350767105817795	OMIM:613857	OMIM:613857
53	0.12384646385908127	ORPHA:1401	ORPHA:1401
54	0.12412720918655396	OMIM:265800	OMIM:265800
55	0.12420312315225601	OMIM:103285	OMIM:103285
56	0.12446313351392746	ORPHA:989	ORPHA:989
57	0.12465385347604752	ORPHA:861	ORPHA:861
58	0.12467747181653976	OMIM:226650	OMIM:226650
59	0.12484541535377502	ORPHA:1262	ORPHA:1262
60	0.12497839331626892	ORPHA:3253	ORPHA:3253
61	0.1254003793001175	OMIM:106260	OMIM:106260
62	0.12550659477710724	ORPHA:1660	ORPHA:1660
63	0.12555165588855743	ORPHA:2325	ORPHA:2325
64	0.12560038268566132	OMIM:616617	OMIM:616617
65	0.12613888084888458	OMIM:104500	OMIM:104500
66	0.12623192369937897	ORPHA:248	ORPHA:248
67	0.1264045089483261	ORPHA:1897	ORPHA:1897
68	0.1265038549900055	OMIM:129400	OMIM:129400
69	0.12667545676231384	OMIM:246560	OMIM:246560
70	0.12726333737373352	OMIM:277150	OMIM:277150
71	0.12732425332069397	OMIM:616029	OMIM:616029
72	0.12796856462955475	ORPHA:1264	ORPHA:1264
73	0.12801912426948547	ORPHA:1896	ORPHA:1896
74	0.12867027521133423	ORPHA:2363	ORPHA:2363
75	0.12874482572078705	ORPHA:1071	ORPHA:1071
76	0.12880776822566986	ORPHA:2909	ORPHA:2909
77	0.12921875715255737	OMIM:615328	OMIM:615328
78	0.12930619716644287	OMIM:234250	OMIM:234250
79	0.12934836745262146	OMIM:610706	OMIM:610706
80	0.12967219948768616	ORPHA:557003	ORPHA:557003
81	0.12969432771205902	OMIM:149730	OMIM:149730
82	0.1299133002758026	OMIM:245660	OMIM:245660
83	0.12999093532562256	OMIM:183300	OMIM:183300
84	0.13035516440868378	OMIM:125350	OMIM:125350
85	0.13051483035087585	OMIM:618727	OMIM:618727
86	0.1305328607559204	ORPHA:79499	ORPHA:79499
87	0.13076262176036835	OMIM:601957	OMIM:601957
88	0.13082638382911682	ORPHA:1873	ORPHA:1873
89	0.13085854053497314	ORPHA:763	ORPHA:763
90	0.1308988481760025	ORPHA:221016	ORPHA:221016
91	0.1309274584054947	ORPHA:199306	ORPHA:199306
92	0.1309458166360855	OMIM:226700	OMIM:226700
93	0.13101205229759216	OMIM:224900	OMIM:224900
94	0.1313265860080719	OMIM:305600	OMIM:305600
95	0.13147222995758057	OMIM:273400	OMIM:273400
96	0.13155685365200043	ORPHA:221008	ORPHA:221008
97	0.1316845566034317	OMIM:119540	OMIM:119540
98	0.13190704584121704	OMIM:617052	OMIM:617052
99	0.13191278278827667	OMIM:204690	OMIM:204690
100	0.13199259340763092	ORPHA:978	ORPHA:978
101	0.131999671459198	ORPHA:3474	ORPHA:3474
