rank	score	disease_name	disease_identifier
1	0.15535181760787964	OMIM:613270	OMIM:613270
2	0.16039717197418213	OMIM:217700	OMIM:217700
3	0.16710054874420166	OMIM:136800	OMIM:136800
4	0.17594057321548462	ORPHA:67043	ORPHA:67043
5	0.17640215158462524	OMIM:122000	OMIM:122000
6	0.17953622341156006	ORPHA:163934	ORPHA:163934
7	0.18002671003341675	ORPHA:1377	ORPHA:1377
8	0.18073493242263794	OMIM:617315	OMIM:617315
9	0.18132692575454712	ORPHA:98964	ORPHA:98964
10	0.1814618706703186	ORPHA:2989	ORPHA:2989
