rank	score	disease_name	disease_identifier
1	0.018849162384867668	OMIM:617090	OMIM:617090
2	0.020163284614682198	OMIM:614833	OMIM:614833
3	0.021483225747942924	OMIM:617914	OMIM:617914
4	0.021748019382357597	OMIM:608716	OMIM:608716
5	0.021762339398264885	OMIM:618572	OMIM:618572
6	0.022129137068986893	OMIM:617255	OMIM:617255
7	0.022333381697535515	OMIM:615574	OMIM:615574
8	0.02263503521680832	OMIM:615282	OMIM:615282
9	0.02274284139275551	OMIM:619033	OMIM:619033
10	0.022842159494757652	OMIM:618862	OMIM:618862
11	0.022897139191627502	OMIM:618273	OMIM:618273
12	0.02301211655139923	OMIM:619420	OMIM:619420
13	0.02314562350511551	OMIM:614019	OMIM:614019
14	0.023162588477134705	OMIM:618492	OMIM:618492
15	0.02332998625934124	ORPHA:254525	ORPHA:254525
16	0.023418573662638664	OMIM:615802	OMIM:615802
17	0.023517485707998276	OMIM:614219	OMIM:614219
18	0.02360672317445278	OMIM:605013	OMIM:605013
19	0.023628633469343185	ORPHA:543470	ORPHA:543470
20	0.023669090121984482	OMIM:613192	OMIM:613192
21	0.02370365895330906	OMIM:300354	OMIM:300354
22	0.023763852193951607	ORPHA:300570	ORPHA:300570
23	0.023832859471440315	ORPHA:370079	ORPHA:370079
24	0.023905912414193153	OMIM:620200	OMIM:620200
25	0.024185210466384888	OMIM:616051	OMIM:616051
26	0.02419852837920189	OMIM:614225	OMIM:614225
27	0.024341125041246414	OMIM:614563	OMIM:614563
28	0.02435300126671791	OMIM:618325	OMIM:618325
29	0.02441217191517353	OMIM:618347	OMIM:618347
30	0.024424007162451744	OMIM:617798	OMIM:617798
31	0.02446177415549755	OMIM:614261	OMIM:614261
32	0.024567892774939537	OMIM:614104	OMIM:614104
33	0.024786727502942085	OMIM:300749	OMIM:300749
34	0.02478727512061596	OMIM:609757	OMIM:609757
35	0.024820122867822647	OMIM:618721	OMIM:618721
36	0.024905458092689514	OMIM:616817	OMIM:616817
37	0.024913240224123	OMIM:615599	OMIM:615599
38	0.02496657706797123	OMIM:600118	OMIM:600118
39	0.02502034604549408	ORPHA:530983	ORPHA:530983
40	0.0250405166298151	OMIM:617800	OMIM:617800
41	0.02507881447672844	ORPHA:500055	ORPHA:500055
42	0.025085344910621643	OMIM:608027	OMIM:608027
43	0.025110313668847084	OMIM:613606	OMIM:613606
44	0.025116298347711563	OMIM:251300	OMIM:251300
45	0.02515774965286255	OMIM:615663	OMIM:615663
46	0.025267343968153	OMIM:616486	OMIM:616486
47	0.025379743427038193	ORPHA:261652	ORPHA:261652
48	0.025400767102837563	ORPHA:2714	ORPHA:2714
49	0.025406364351511	ORPHA:73272	ORPHA:73272
50	0.02543133869767189	OMIM:617695	OMIM:617695
51	0.025450324639678	ORPHA:99742	ORPHA:99742
52	0.025603732094168663	ORPHA:2510	ORPHA:2510
53	0.02564905397593975	OMIM:618302	OMIM:618302
54	0.02565544657409191	OMIM:618174	OMIM:618174
55	0.02579185739159584	OMIM:616342	OMIM:616342
56	0.02583642303943634	OMIM:615771	OMIM:615771
57	0.02587592415511608	ORPHA:238750	ORPHA:238750
58	0.02590871974825859	ORPHA:2512	ORPHA:2512
59	0.02591894008219242	OMIM:604321	OMIM:604321
60	0.025957390666007996	OMIM:604317	OMIM:604317
61	0.026023713871836662	ORPHA:319675	ORPHA:319675
62	0.026083100587129593	ORPHA:391646	ORPHA:391646
63	0.02616448700428009	OMIM:300148	OMIM:300148
64	0.026174742728471756	OMIM:608747	OMIM:608747
65	0.02618795819580555	OMIM:620242	OMIM:620242
66	0.026192912831902504	OMIM:619273	OMIM:619273
67	0.02628069557249546	OMIM:619074	OMIM:619074
68	0.026283767074346542	OMIM:617164	OMIM:617164
69	0.026288842782378197	OMIM:618603	OMIM:618603
70	0.026317797601222992	OMIM:614207	OMIM:614207
71	0.026423286646604538	OMIM:617802	OMIM:617802
72	0.026439886540174484	OMIM:617302	OMIM:617302
73	0.026538798585534096	OMIM:300982	OMIM:300982
74	0.026561439037322998	OMIM:617864	OMIM:617864
75	0.02663579024374485	OMIM:618891	OMIM:618891
76	0.026701491326093674	OMIM:309585	OMIM:309585
77	0.02670181728899479	OMIM:300953	OMIM:300953
78	0.02675206959247589	OMIM:606220	OMIM:606220
79	0.026857316493988037	OMIM:619876	OMIM:619876
80	0.02686367556452751	ORPHA:370997	ORPHA:370997
81	0.026897240430116653	OMIM:615095	OMIM:615095
82	0.026905125007033348	OMIM:616683	OMIM:616683
83	0.0269149262458086	OMIM:300957	OMIM:300957
84	0.02693614922463894	ORPHA:320385	ORPHA:320385
85	0.026938101276755333	OMIM:619075	OMIM:619075
86	0.02693924866616726	OMIM:300486	OMIM:300486
87	0.026949908584356308	OMIM:617807	OMIM:617807
88	0.026987541218428633	OMIM:620317	OMIM:620317
89	0.02702009677886963	OMIM:610185	OMIM:610185
90	0.027035148814320564	ORPHA:505237	ORPHA:505237
91	0.027056990191340446	ORPHA:263487	ORPHA:263487
92	0.027072275057435036	OMIM:610031	OMIM:610031
93	0.027108261361718178	ORPHA:231140	ORPHA:231140
94	0.02710941806435585	ORPHA:1495	ORPHA:1495
95	0.027118057012557983	OMIM:619435	OMIM:619435
96	0.02712513878941536	ORPHA:357058	ORPHA:357058
97	0.027154996991157532	OMIM:176270	OMIM:176270
98	0.027166951447725296	OMIM:614222	OMIM:614222
99	0.027178633958101273	OMIM:606744	OMIM:606744
100	0.027196582406759262	OMIM:604804	OMIM:604804
101	0.027243226766586304	OMIM:616632	OMIM:616632
102	0.027261151000857353	ORPHA:254531	ORPHA:254531
103	0.027285311371088028	OMIM:619179	OMIM:619179
104	0.027297493070364	OMIM:616362	OMIM:616362
105	0.02730051428079605	OMIM:618885	OMIM:618885
106	0.027325477451086044	OMIM:301006	OMIM:301006
107	0.02738037519156933	OMIM:613457	OMIM:613457
108	0.027390390634536743	OMIM:614039	OMIM:614039
109	0.02740425057709217	OMIM:619243	OMIM:619243
110	0.027406442910432816	OMIM:300998	OMIM:300998
111	0.027431167662143707	OMIM:617729	OMIM:617729
112	0.027439968660473824	ORPHA:166035	ORPHA:166035
113	0.027509117498993874	OMIM:607196	OMIM:607196
114	0.027515143156051636	OMIM:616541	OMIM:616541
115	0.027535170316696167	OMIM:610883	OMIM:610883
116	0.027557725086808205	ORPHA:293967	ORPHA:293967
117	0.027569761499762535	OMIM:620240	OMIM:620240
118	0.02762683480978012	ORPHA:254516	ORPHA:254516
119	0.027637748047709465	OMIM:609528	OMIM:609528
120	0.027640720829367638	OMIM:103050	OMIM:103050
121	0.027651239186525345	ORPHA:2065	ORPHA:2065
122	0.0276646725833416	OMIM:618367	OMIM:618367
123	0.027667902410030365	ORPHA:477673	ORPHA:477673
124	0.027697136625647545	OMIM:616900	OMIM:616900
125	0.027704304084181786	ORPHA:488635	ORPHA:488635
126	0.027714265510439873	OMIM:300979	OMIM:300979
127	0.027738355100154877	OMIM:619648	OMIM:619648
128	0.02777792513370514	OMIM:618500	OMIM:618500
129	0.027786314487457275	OMIM:618158	OMIM:618158
130	0.027806676924228668	OMIM:615851	OMIM:615851
131	0.027825191617012024	OMIM:617140	OMIM:617140
132	0.027844728901982307	ORPHA:506358	ORPHA:506358
133	0.02784689888358116	OMIM:225790	OMIM:225790
134	0.027850961312651634	ORPHA:468631	ORPHA:468631
135	0.027935614809393883	OMIM:616977	OMIM:616977
136	0.027951668947935104	OMIM:618470	OMIM:618470
137	0.027956821024417877	ORPHA:3207	ORPHA:3207
138	0.027977176010608673	OMIM:617333	OMIM:617333
139	0.02797875739634037	ORPHA:1713	ORPHA:1713
140	0.027981964871287346	OMIM:304340	OMIM:304340
141	0.02799127623438835	ORPHA:1466	ORPHA:1466
142	0.0280193779617548	OMIM:617201	OMIM:617201
143	0.028023919090628624	OMIM:618468	OMIM:618468
144	0.028028234839439392	OMIM:619135	OMIM:619135
145	0.028030989691615105	OMIM:616917	OMIM:616917
146	0.028043121099472046	OMIM:618798	OMIM:618798
147	0.028045156970620155	OMIM:608097	OMIM:608097
148	0.028072873130440712	ORPHA:397590	ORPHA:397590
149	0.02808128111064434	OMIM:612337	OMIM:612337
150	0.028097184374928474	OMIM:619556	OMIM:619556
151	0.028102051466703415	ORPHA:464306	ORPHA:464306
152	0.02815374918282032	OMIM:616570	OMIM:616570
153	0.02817559614777565	OMIM:616459	OMIM:616459
154	0.02818630449473858	ORPHA:444002	ORPHA:444002
155	0.028210004791617393	ORPHA:391408	ORPHA:391408
156	0.02822699584066868	ORPHA:168577	ORPHA:168577
157	0.028228653594851494	OMIM:616364	OMIM:616364
158	0.028299270197749138	OMIM:619775	OMIM:619775
159	0.028317579999566078	ORPHA:397951	ORPHA:397951
160	0.02832573466002941	OMIM:618454	OMIM:618454
161	0.028336290270090103	ORPHA:314679	ORPHA:314679
162	0.028339970856904984	OMIM:615817	OMIM:615817
163	0.02842636965215206	OMIM:619005	OMIM:619005
164	0.02843264862895012	OMIM:618087	OMIM:618087
165	0.028433291241526604	OMIM:616033	OMIM:616033
166	0.028446229174733162	ORPHA:3255	ORPHA:3255
167	0.028478533029556274	OMIM:614851	OMIM:614851
168	0.02849213033914566	ORPHA:177901	ORPHA:177901
169	0.02852090820670128	OMIM:616171	OMIM:616171
170	0.028531374409794807	ORPHA:89844	ORPHA:89844
171	0.028532423079013824	OMIM:615031	OMIM:615031
172	0.02855674736201763	ORPHA:231147	ORPHA:231147
173	0.02855736017227173	OMIM:300958	OMIM:300958
174	0.028572825714945793	OMIM:304100	OMIM:304100
175	0.028591904789209366	ORPHA:177904	ORPHA:177904
176	0.028601666912436485	OMIM:616202	OMIM:616202
177	0.028621451929211617	OMIM:615809	OMIM:615809
178	0.02862776443362236	ORPHA:457260	ORPHA:457260
179	0.028630023822188377	OMIM:616222	OMIM:616222
180	0.02868892066180706	ORPHA:398069	ORPHA:398069
181	0.028724227100610733	OMIM:241800	OMIM:241800
182	0.028727060183882713	OMIM:617635	OMIM:617635
183	0.028739769011735916	ORPHA:1617	ORPHA:1617
184	0.028746308758854866	OMIM:300534	OMIM:300534
185	0.028746487572789192	OMIM:257300	OMIM:257300
186	0.028753601014614105	ORPHA:11	ORPHA:11
187	0.028763068839907646	ORPHA:356961	ORPHA:356961
188	0.028767205774784088	OMIM:614063	OMIM:614063
189	0.028774047270417213	OMIM:300352	OMIM:300352
190	0.028782252222299576	ORPHA:98793	ORPHA:98793
191	0.028787922114133835	ORPHA:500159	ORPHA:500159
192	0.02881483919918537	ORPHA:29	ORPHA:29
193	0.028833778575062752	ORPHA:457240	ORPHA:457240
194	0.028841182589530945	ORPHA:85201	ORPHA:85201
195	0.028858672827482224	OMIM:618346	OMIM:618346
196	0.02886691689491272	ORPHA:98754	ORPHA:98754
197	0.028871409595012665	OMIM:614407	OMIM:614407
198	0.02887871116399765	ORPHA:404448	ORPHA:404448
199	0.028882088139653206	OMIM:300978	OMIM:300978
200	0.028905143961310387	ORPHA:398079	ORPHA:398079
201	0.028922582045197487	OMIM:300934	OMIM:300934
202	0.028929084539413452	OMIM:619844	OMIM:619844
203	0.028935452923178673	OMIM:613402	OMIM:613402
