rank	score	disease_name	disease_identifier
1	0.016039831563830376	OMIM:609037	OMIM:609037
2	0.01653820462524891	OMIM:613604	OMIM:613604
3	0.016758760437369347	ORPHA:357001	ORPHA:357001
4	0.01747991144657135	OMIM:615668	OMIM:615668
5	0.018236082047224045	OMIM:617752	OMIM:617752
6	0.01851677894592285	OMIM:619460	OMIM:619460
7	0.018546370789408684	OMIM:617982	OMIM:617982
8	0.0187071580439806	OMIM:618499	OMIM:618499
9	0.01949736475944519	OMIM:619736	OMIM:619736
10	0.019655438140034676	OMIM:619312	OMIM:619312
11	0.019678281620144844	ORPHA:438178	ORPHA:438178
12	0.01970633491873741	OMIM:619695	OMIM:619695
13	0.01984427496790886	ORPHA:261120	ORPHA:261120
14	0.0198886226862669	OMIM:602342	OMIM:602342
15	0.01993592455983162	OMIM:300590	OMIM:300590
16	0.020091352984309196	ORPHA:2707	ORPHA:2707
17	0.020116208121180534	ORPHA:2563	ORPHA:2563
18	0.02027253806591034	OMIM:618622	OMIM:618622
19	0.020293181762099266	OMIM:300895	OMIM:300895
20	0.02029501646757126	OMIM:617991	OMIM:617991
21	0.020340699702501297	OMIM:619493	OMIM:619493
22	0.020386215299367905	OMIM:618027	OMIM:618027
23	0.020394863560795784	OMIM:157980	OMIM:157980
24	0.020501289516687393	ORPHA:1715	ORPHA:1715
25	0.02051030658185482	ORPHA:231137	ORPHA:231137
26	0.020519258454442024	OMIM:309590	OMIM:309590
27	0.02057766728103161	ORPHA:884	ORPHA:884
28	0.02059151791036129	OMIM:619989	OMIM:619989
29	0.020650852471590042	OMIM:612292	OMIM:612292
30	0.02071329765021801	OMIM:618089	OMIM:618089
31	0.02072572149336338	OMIM:619595	OMIM:619595
32	0.020750373601913452	OMIM:612337	OMIM:612337
33	0.020782196894288063	OMIM:617360	OMIM:617360
34	0.020940501242876053	OMIM:613544	OMIM:613544
35	0.020990123972296715	OMIM:617260	OMIM:617260
36	0.021200522780418396	OMIM:613792	OMIM:613792
37	0.02125379629433155	OMIM:615866	OMIM:615866
38	0.02126319706439972	OMIM:615834	OMIM:615834
39	0.02131241001188755	OMIM:616938	OMIM:616938
40	0.021356191486120224	ORPHA:1915	ORPHA:1915
41	0.021448444575071335	OMIM:618950	OMIM:618950
42	0.021503346040844917	OMIM:617694	OMIM:617694
43	0.02156882733106613	OMIM:615071	OMIM:615071
44	0.02162420004606247	OMIM:244450	OMIM:244450
45	0.02164703793823719	OMIM:612530	OMIM:612530
46	0.021678032353520393	OMIM:601088	OMIM:601088
47	0.021700643002986908	OMIM:611936	OMIM:611936
48	0.021724728867411613	ORPHA:363611	ORPHA:363611
49	0.02186325564980507	OMIM:619504	OMIM:619504
50	0.021884258836507797	OMIM:618971	OMIM:618971
51	0.02192828617990017	OMIM:615009	OMIM:615009
52	0.02196798473596573	OMIM:156610	OMIM:156610
53	0.02199704758822918	OMIM:615102	OMIM:615102
54	0.022021912038326263	OMIM:613458	OMIM:613458
55	0.02202623337507248	OMIM:617333	OMIM:617333
56	0.022035054862499237	OMIM:243310	OMIM:243310
57	0.02204255387187004	OMIM:613174	OMIM:613174
58	0.022052986547350883	ORPHA:397941	ORPHA:397941
59	0.022087372839450836	ORPHA:65286	ORPHA:65286
60	0.022125188261270523	ORPHA:447980	ORPHA:447980
61	0.0221516415476799	OMIM:619188	OMIM:619188
62	0.02215263620018959	ORPHA:487825	ORPHA:487825
63	0.02215302176773548	OMIM:617452	OMIM:617452
64	0.022170789539813995	OMIM:612863	OMIM:612863
65	0.022196324542164803	OMIM:610759	OMIM:610759
66	0.02224225550889969	OMIM:620250	OMIM:620250
67	0.022280214354395866	OMIM:605321	OMIM:605321
68	0.02230796031653881	OMIM:615162	OMIM:615162
69	0.022339247167110443	OMIM:270450	OMIM:270450
70	0.022340040653944016	OMIM:614607	OMIM:614607
71	0.022365372627973557	OMIM:309500	OMIM:309500
72	0.022383157163858414	OMIM:618828	OMIM:618828
73	0.022443657740950584	OMIM:618590	OMIM:618590
74	0.022496642544865608	ORPHA:357175	ORPHA:357175
75	0.02250080369412899	OMIM:616734	OMIM:616734
76	0.02259213663637638	OMIM:614609	OMIM:614609
77	0.02262410707771778	ORPHA:261290	ORPHA:261290
78	0.02268080972135067	OMIM:618332	OMIM:618332
79	0.022715548053383827	OMIM:615502	OMIM:615502
80	0.022743627429008484	OMIM:614114	OMIM:614114
81	0.022803379222750664	ORPHA:261190	ORPHA:261190
82	0.02282722294330597	OMIM:600987	OMIM:600987
83	0.022831033915281296	ORPHA:261337	ORPHA:261337
84	0.022856565192341805	OMIM:618147	OMIM:618147
85	0.022893887013196945	OMIM:300882	OMIM:300882
86	0.02293980121612549	OMIM:620113	OMIM:620113
87	0.022945385426282883	OMIM:613406	OMIM:613406
88	0.022961385548114777	ORPHA:36367	ORPHA:36367
89	0.023011421784758568	OMIM:614583	OMIM:614583
90	0.02301410213112831	OMIM:614541	OMIM:614541
91	0.023034442216157913	ORPHA:261349	ORPHA:261349
92	0.02311503142118454	OMIM:619720	OMIM:619720
93	0.023124249652028084	OMIM:617883	OMIM:617883
94	0.023131264373660088	OMIM:608670	OMIM:608670
95	0.023141469806432724	OMIM:618872	OMIM:618872
96	0.023151464760303497	OMIM:620098	OMIM:620098
97	0.023172425106167793	ORPHA:238769	ORPHA:238769
98	0.023176316171884537	OMIM:615074	OMIM:615074
99	0.02318892441689968	ORPHA:319182	ORPHA:319182
100	0.023213177919387817	ORPHA:261250	ORPHA:261250
101	0.023253493010997772	ORPHA:363659	ORPHA:363659
102	0.023283714428544044	OMIM:613026	OMIM:613026
103	0.02329372800886631	OMIM:617506	OMIM:617506
104	0.023302651941776276	ORPHA:261211	ORPHA:261211
105	0.0234163086861372	ORPHA:93945	ORPHA:93945
106	0.023546630516648293	OMIM:616078	OMIM:616078
107	0.02364482171833515	OMIM:169100	OMIM:169100
108	0.023648206144571304	OMIM:617330	OMIM:617330
109	0.02366691827774048	OMIM:618050	OMIM:618050
110	0.02367660403251648	OMIM:211380	OMIM:211380
111	0.023723825812339783	ORPHA:85276	ORPHA:85276
112	0.023725273087620735	OMIM:611091	OMIM:611091
113	0.023727934807538986	OMIM:619934	OMIM:619934
114	0.023742489516735077	OMIM:613563	OMIM:613563
115	0.02375321462750435	OMIM:117550	OMIM:117550
116	0.02375543676316738	OMIM:617157	OMIM:617157
117	0.02376706525683403	ORPHA:1193	ORPHA:1193
118	0.023775683715939522	OMIM:612513	OMIM:612513
119	0.02378353849053383	OMIM:619244	OMIM:619244
120	0.023875607177615166	OMIM:619325	OMIM:619325
121	0.023885035887360573	ORPHA:313781	ORPHA:313781
122	0.02392503432929516	OMIM:615433	OMIM:615433
123	0.02394617348909378	OMIM:615761	OMIM:615761
124	0.023949993774294853	ORPHA:420561	ORPHA:420561
125	0.023972338065505028	OMIM:617126	OMIM:617126
126	0.023980485275387764	ORPHA:1620	ORPHA:1620
127	0.024065934121608734	ORPHA:3309	ORPHA:3309
128	0.02407163567841053	OMIM:618580	OMIM:618580
129	0.024083336815238	ORPHA:438216	ORPHA:438216
130	0.02410263754427433	OMIM:612946	OMIM:612946
131	0.024102652445435524	OMIM:614202	OMIM:614202
132	0.024129465222358704	ORPHA:480907	ORPHA:480907
133	0.024140233173966408	OMIM:618330	OMIM:618330
134	0.02415774203836918	OMIM:615873	OMIM:615873
135	0.024219324812293053	ORPHA:228410	ORPHA:228410
136	0.024281859397888184	OMIM:613509	OMIM:613509
137	0.024448346346616745	OMIM:158170	OMIM:158170
138	0.02446366287767887	OMIM:268850	OMIM:268850
139	0.024485837668180466	OMIM:605130	OMIM:605130
140	0.024498607963323593	OMIM:604314	OMIM:604314
141	0.024526244029402733	OMIM:620157	OMIM:620157
142	0.024553900584578514	OMIM:615485	OMIM:615485
143	0.02459028735756874	OMIM:301022	OMIM:301022
144	0.02461962215602398	OMIM:619383	OMIM:619383
145	0.024634551256895065	OMIM:220500	OMIM:220500
146	0.024638259783387184	OMIM:617061	OMIM:617061
147	0.024646585807204247	OMIM:619426	OMIM:619426
148	0.024653423577547073	OMIM:618929	OMIM:618929
149	0.02468380704522133	OMIM:156200	OMIM:156200
150	0.02478264458477497	OMIM:309580	OMIM:309580
151	0.024844612926244736	OMIM:610443	OMIM:610443
152	0.024858850985765457	OMIM:619087	OMIM:619087
153	0.024872828274965286	OMIM:608624	OMIM:608624
154	0.02489323727786541	ORPHA:1913	ORPHA:1913
155	0.02491610310971737	OMIM:618829	OMIM:618829
156	0.02492062747478485	OMIM:213980	OMIM:213980
157	0.024927077814936638	OMIM:300887	OMIM:300887
158	0.024944452568888664	ORPHA:1974	ORPHA:1974
159	0.024949247017502785	OMIM:614608	OMIM:614608
160	0.024996310472488403	OMIM:605627	OMIM:605627
161	0.025037147104740143	ORPHA:329224	ORPHA:329224
162	0.025071999058127403	OMIM:619833	OMIM:619833
163	0.02509286254644394	OMIM:618779	OMIM:618779
164	0.025094151496887207	OMIM:612242	OMIM:612242
165	0.02510427124798298	OMIM:618342	OMIM:618342
166	0.025105351582169533	ORPHA:562528	ORPHA:562528
167	0.02513156458735466	OMIM:300860	OMIM:300860
168	0.025180602446198463	OMIM:618522	OMIM:618522
169	0.025185104459524155	OMIM:618316	OMIM:618316
170	0.025226803496479988	ORPHA:369891	ORPHA:369891
