rank	score	disease_name	disease_identifier
1	0.034466248005628586	ORPHA:1775	ORPHA:1775
2	0.03509117290377617	ORPHA:508542	ORPHA:508542
3	0.03524529188871384	OMIM:305000	OMIM:305000
4	0.036621831357479095	ORPHA:168569	ORPHA:168569
5	0.03694779798388481	OMIM:617303	OMIM:617303
6	0.03702812269330025	OMIM:613989	OMIM:613989
7	0.037198957055807114	ORPHA:84064	ORPHA:84064
8	0.0373934768140316	OMIM:127550	OMIM:127550
9	0.0375128798186779	OMIM:614742	OMIM:614742
10	0.0378369577229023	ORPHA:221008	ORPHA:221008
11	0.03791438415646553	OMIM:227645	OMIM:227645
12	0.038122013211250305	ORPHA:79474	ORPHA:79474
13	0.03812502324581146	ORPHA:902	ORPHA:902
14	0.038191694766283035	ORPHA:797	ORPHA:797
15	0.03826671466231346	OMIM:613990	OMIM:613990
16	0.038484249264001846	OMIM:242900	OMIM:242900
17	0.038822174072265625	ORPHA:99812	ORPHA:99812
18	0.03883572295308113	ORPHA:125	ORPHA:125
19	0.03896818682551384	ORPHA:109	ORPHA:109
20	0.03951795771718025	ORPHA:1830	ORPHA:1830
21	0.039597414433956146	ORPHA:231214	ORPHA:231214
22	0.039659492671489716	ORPHA:811	ORPHA:811
23	0.039849232882261276	OMIM:251260	OMIM:251260
24	0.03991676867008209	ORPHA:231226	ORPHA:231226
25	0.040093060582876205	ORPHA:221016	ORPHA:221016
26	0.04012792184948921	OMIM:210900	OMIM:210900
27	0.040154829621315	OMIM:227650	OMIM:227650
28	0.04016702622175217	OMIM:600901	OMIM:600901
29	0.04022308066487312	OMIM:604173	OMIM:604173
30	0.040508490055799484	OMIM:260400	OMIM:260400
31	0.040565576404333115	OMIM:224230	OMIM:224230
32	0.040597837418317795	ORPHA:1867	ORPHA:1867
33	0.04070957005023956	OMIM:607944	OMIM:607944
34	0.04091582074761391	OMIM:216400	OMIM:216400
35	0.0409216433763504	ORPHA:647	ORPHA:647
36	0.040965836495161057	ORPHA:79330	ORPHA:79330
37	0.04097782447934151	OMIM:618165	OMIM:618165
38	0.04101129248738289	ORPHA:99226	ORPHA:99226
38	0.04101129248738289	ORPHA:99228	ORPHA:99228
38	0.04101129248738289	ORPHA:881	ORPHA:881
38	0.04101129248738289	ORPHA:99413	ORPHA:99413
42	0.041095342487096786	OMIM:619488	OMIM:619488
43	0.04116294905543327	ORPHA:381	ORPHA:381
44	0.04123406857252121	OMIM:269920	OMIM:269920
45	0.0414012148976326	OMIM:614748	OMIM:614748
46	0.04152734577655792	ORPHA:505248	ORPHA:505248
47	0.041602689772844315	ORPHA:3322	ORPHA:3322
48	0.04160313308238983	OMIM:181000	OMIM:181000
49	0.04161091521382332	ORPHA:79318	ORPHA:79318
