rank	score	disease_name	disease_identifier
1	0.02210131101310253	OMIM:619092	OMIM:619092
2	0.02234332077205181	OMIM:618218	OMIM:618218
3	0.022857146337628365	OMIM:617807	OMIM:617807
4	0.023665959015488625	OMIM:619470	OMIM:619470
5	0.02371382899582386	OMIM:300055	OMIM:300055
6	0.023989297449588776	OMIM:619777	OMIM:619777
7	0.024162329733371735	OMIM:613454	OMIM:613454
8	0.02449488639831543	OMIM:275900	OMIM:275900
9	0.024576038122177124	OMIM:618356	OMIM:618356
10	0.02473646029829979	OMIM:617013	OMIM:617013
11	0.024883827194571495	OMIM:618914	OMIM:618914
12	0.025113210082054138	OMIM:616654	OMIM:616654
13	0.025497833266854286	ORPHA:488642	ORPHA:488642
14	0.025557415559887886	OMIM:617862	OMIM:617862
15	0.025607164949178696	OMIM:617435	OMIM:617435
16	0.025636909529566765	OMIM:616505	OMIM:616505
17	0.02582867629826069	OMIM:213200	OMIM:213200
18	0.025872161611914635	ORPHA:522077	ORPHA:522077
19	0.025982359424233437	OMIM:245348	OMIM:245348
20	0.025990938767790794	OMIM:617146	OMIM:617146
21	0.02621682547032833	OMIM:617964	OMIM:617964
22	0.026250487193465233	OMIM:618497	OMIM:618497
23	0.02629084140062332	OMIM:619580	OMIM:619580
24	0.02639804035425186	OMIM:250620	OMIM:250620
25	0.026398904621601105	OMIM:618451	OMIM:618451
26	0.0265036728233099	OMIM:614961	OMIM:614961
27	0.026504000648856163	OMIM:300912	OMIM:300912
28	0.026634519919753075	ORPHA:93952	ORPHA:93952
29	0.02677241712808609	OMIM:618056	OMIM:618056
30	0.026912186294794083	OMIM:224050	OMIM:224050
31	0.026918724179267883	OMIM:618891	OMIM:618891
32	0.027102818712592125	OMIM:604391	OMIM:604391
33	0.02717633545398712	OMIM:619576	OMIM:619576
34	0.02721102349460125	OMIM:620029	OMIM:620029
35	0.027451569214463234	OMIM:618049	OMIM:618049
36	0.027487441897392273	OMIM:618090	OMIM:618090
37	0.027525179088115692	OMIM:617988	OMIM:617988
38	0.027525456622242928	OMIM:617695	OMIM:617695
39	0.027585623785853386	OMIM:608093	OMIM:608093
40	0.027641577646136284	OMIM:300352	OMIM:300352
41	0.02765842340886593	ORPHA:561854	ORPHA:561854
42	0.027666740119457245	OMIM:300523	OMIM:300523
43	0.027678044512867928	OMIM:617282	OMIM:617282
44	0.027692493051290512	OMIM:618198	OMIM:618198
45	0.027719771489501	ORPHA:466722	ORPHA:466722
46	0.027816250920295715	OMIM:619761	OMIM:619761
47	0.02785317599773407	OMIM:618087	OMIM:618087
48	0.027858858928084373	OMIM:619422	OMIM:619422
49	0.028041565790772438	OMIM:618060	OMIM:618060
50	0.028049590066075325	OMIM:617865	OMIM:617865
51	0.02807706966996193	ORPHA:251347	ORPHA:251347
52	0.028118982911109924	OMIM:618076	OMIM:618076
53	0.028155507519841194	OMIM:619229	OMIM:619229
54	0.02825573831796646	OMIM:608840	OMIM:608840
55	0.028277141973376274	OMIM:615643	OMIM:615643
56	0.02828368730843067	ORPHA:521406	ORPHA:521406
57	0.028385411947965622	ORPHA:352649	ORPHA:352649
58	0.02838626690208912	ORPHA:101150	ORPHA:101150
59	0.028479164466261864	OMIM:616973	OMIM:616973
60	0.028517264872789383	OMIM:300260	OMIM:300260
61	0.028578540310263634	ORPHA:225154	ORPHA:225154
62	0.02861032262444496	ORPHA:3095	ORPHA:3095
63	0.028635507449507713	OMIM:616339	OMIM:616339
64	0.0286954864859581	ORPHA:488635	ORPHA:488635
65	0.02870132215321064	OMIM:618718	OMIM:618718
66	0.028710462152957916	ORPHA:101000	ORPHA:101000
67	0.028721943497657776	OMIM:617201	OMIM:617201
68	0.028766270726919174	ORPHA:1934	ORPHA:1934
69	0.028782717883586884	OMIM:615356	OMIM:615356
70	0.028806613758206367	OMIM:617854	OMIM:617854
71	0.02885238267481327	OMIM:617054	OMIM:617054
72	0.02885587327182293	OMIM:234200	OMIM:234200
73	0.028886010870337486	OMIM:619328	OMIM:619328
74	0.028930850327014923	OMIM:620393	OMIM:620393
75	0.02894013188779354	OMIM:616127	OMIM:616127
76	0.028965197503566742	OMIM:604369	OMIM:604369
77	0.02899421751499176	ORPHA:464282	ORPHA:464282
78	0.029027007520198822	ORPHA:37612	ORPHA:37612
79	0.029052359983325005	ORPHA:98768	ORPHA:98768
80	0.02917069010436535	OMIM:300919	OMIM:300919
81	0.029180031269788742	ORPHA:397946	ORPHA:397946
82	0.02919747494161129	ORPHA:453521	ORPHA:453521
83	0.02920541726052761	ORPHA:238446	ORPHA:238446
84	0.02921239100396633	ORPHA:79244	ORPHA:79244
85	0.029224511235952377	OMIM:105830	OMIM:105830
86	0.029267430305480957	OMIM:617773	OMIM:617773
87	0.029367228969931602	OMIM:620023	OMIM:620023
88	0.02939905785024166	OMIM:616116	OMIM:616116
89	0.029419800266623497	OMIM:614831	OMIM:614831
90	0.029442816972732544	OMIM:615516	OMIM:615516
91	0.029452316462993622	OMIM:312080	OMIM:312080
92	0.029457492753863335	ORPHA:513456	ORPHA:513456
93	0.029477501288056374	OMIM:617600	OMIM:617600
94	0.02952324040234089	ORPHA:447896	ORPHA:447896
95	0.0295407734811306	OMIM:617864	OMIM:617864
