rank	score	disease_name	disease_identifier
1	0.01407490111887455	OMIM:617478	OMIM:617478
2	0.022114180028438568	ORPHA:97214	ORPHA:97214
3	0.022125370800495148	ORPHA:980	ORPHA:980
4	0.023241838440299034	ORPHA:2299	ORPHA:2299
5	0.02426128461956978	OMIM:619534	OMIM:619534
6	0.024402223527431488	ORPHA:99125	ORPHA:99125
7	0.024423185735940933	ORPHA:860	ORPHA:860
8	0.026299072429537773	OMIM:618280	OMIM:618280
9	0.026659617200493813	OMIM:261740	OMIM:261740
10	0.02681948058307171	ORPHA:439	ORPHA:439
11	0.027050191536545753	OMIM:600001	OMIM:600001
12	0.02713499404489994	ORPHA:60041	ORPHA:60041
13	0.027227165177464485	OMIM:306955	OMIM:306955
14	0.027530595660209656	OMIM:265380	OMIM:265380
15	0.02763090841472149	ORPHA:1329	ORPHA:1329
16	0.02810012921690941	OMIM:620244	OMIM:620244
17	0.028157083317637444	ORPHA:99095	ORPHA:99095
18	0.028481928631663322	ORPHA:137675	ORPHA:137675
19	0.028500881046056747	ORPHA:91387	ORPHA:91387
20	0.028606411069631577	ORPHA:185	ORPHA:185
21	0.028749102726578712	ORPHA:2255	ORPHA:2255
22	0.028759313747286797	ORPHA:90308	ORPHA:90308
23	0.029024895280599594	ORPHA:1880	ORPHA:1880
24	0.02903585694730282	ORPHA:3426	ORPHA:3426
25	0.029184726998209953	OMIM:601005	OMIM:601005
26	0.029363397508859634	ORPHA:1686	ORPHA:1686
27	0.029800528660416603	ORPHA:555874	ORPHA:555874
28	0.0299205482006073	OMIM:608978	OMIM:608978
29	0.030008139088749886	ORPHA:2326	ORPHA:2326
30	0.030008718371391296	ORPHA:3427	ORPHA:3427
31	0.030046358704566956	OMIM:613426	OMIM:613426
32	0.030314968898892403	ORPHA:1677	ORPHA:1677
33	0.030459566041827202	OMIM:617397	OMIM:617397
34	0.03053208813071251	ORPHA:1330	ORPHA:1330
35	0.030657675117254257	OMIM:617021	OMIM:617021
36	0.03072388656437397	ORPHA:363705	ORPHA:363705
37	0.03098691999912262	ORPHA:324	ORPHA:324
38	0.03148190304636955	OMIM:212093	OMIM:212093
39	0.03150371089577675	OMIM:601186	OMIM:601186
40	0.031557004898786545	ORPHA:99104	ORPHA:99104
41	0.031667016446590424	ORPHA:2041	ORPHA:2041
42	0.03184293583035469	ORPHA:99094	ORPHA:99094
43	0.0318978987634182	ORPHA:1909	ORPHA:1909
44	0.03197138383984566	OMIM:115197	OMIM:115197
45	0.032053105533123016	OMIM:612541	OMIM:612541
46	0.032121315598487854	OMIM:618775	OMIM:618775
47	0.03230631723999977	ORPHA:244	ORPHA:244
48	0.032411765307188034	OMIM:619351	OMIM:619351
49	0.03243682160973549	OMIM:620067	OMIM:620067
50	0.032597046345472336	ORPHA:26793	ORPHA:26793
51	0.032622080296278	ORPHA:3092	ORPHA:3092
52	0.03270004689693451	ORPHA:101028	ORPHA:101028
53	0.03273380175232887	OMIM:619371	OMIM:619371
54	0.03278610482811928	OMIM:270100	OMIM:270100
55	0.0328628346323967	ORPHA:3384	ORPHA:3384
56	0.03289354220032692	OMIM:620066	OMIM:620066
57	0.03291701525449753	ORPHA:2306	ORPHA:2306
58	0.03303021937608719	OMIM:612562	OMIM:612562
59	0.03305862843990326	OMIM:618300	OMIM:618300
60	0.03308800980448723	OMIM:618164	OMIM:618164
61	0.03310338407754898	ORPHA:505248	ORPHA:505248
62	0.03338663652539253	ORPHA:75565	ORPHA:75565
63	0.033412639051675797	ORPHA:500	ORPHA:500
64	0.033430930227041245	ORPHA:1194	ORPHA:1194
65	0.033487919718027115	OMIM:301068	OMIM:301068
66	0.03359736502170563	OMIM:619991	OMIM:619991
67	0.03365718573331833	ORPHA:2847	ORPHA:2847
68	0.03367070481181145	ORPHA:904	ORPHA:904
69	0.033909961581230164	OMIM:616028	OMIM:616028
70	0.03399362787604332	ORPHA:99050	ORPHA:99050
71	0.03414805606007576	OMIM:190685	OMIM:190685
72	0.03418395668268204	OMIM:301500	OMIM:301500
73	0.03422177955508232	OMIM:243800	OMIM:243800
74	0.03428423032164574	ORPHA:90349	ORPHA:90349
75	0.034359000623226166	ORPHA:79330	ORPHA:79330
76	0.03437362611293793	OMIM:619657	OMIM:619657
77	0.03443107753992081	ORPHA:95430	ORPHA:95430
78	0.03443640097975731	OMIM:610205	OMIM:610205
79	0.034469958394765854	ORPHA:99106	ORPHA:99106
80	0.03451301157474518	ORPHA:210122	ORPHA:210122
81	0.0345836840569973	ORPHA:563	ORPHA:563
82	0.034620221704244614	ORPHA:275766	ORPHA:275766
83	0.03476477786898613	ORPHA:284984	ORPHA:284984
84	0.03477838262915611	OMIM:619472	OMIM:619472
85	0.034841109067201614	ORPHA:615	ORPHA:615
86	0.03486201539635658	ORPHA:567	ORPHA:567
87	0.03488773852586746	ORPHA:2038	ORPHA:2038
88	0.03500102087855339	OMIM:613795	OMIM:613795
89	0.03511396050453186	OMIM:208085	OMIM:208085
90	0.03511825203895569	OMIM:614473	OMIM:614473
91	0.03516162186861038	OMIM:614866	OMIM:614866
92	0.03516911342740059	OMIM:115470	OMIM:115470
93	0.035197511315345764	OMIM:614576	OMIM:614576
94	0.0351979061961174	ORPHA:99103	ORPHA:99103
95	0.03525497019290924	OMIM:619433	OMIM:619433
96	0.03525702282786369	ORPHA:141127	ORPHA:141127
97	0.03527076169848442	ORPHA:75249	ORPHA:75249
98	0.03535357862710953	OMIM:188400	OMIM:188400
99	0.03538133502275792	OMIM:620305	OMIM:620305
100	0.03539925068616867	ORPHA:137667	ORPHA:137667
101	0.035555556416511536	OMIM:616843	OMIM:616843
102	0.03558284044265747	OMIM:194050	OMIM:194050
103	0.03562210127711296	ORPHA:335	ORPHA:335
104	0.035628292709589005	OMIM:608104	OMIM:608104
