rank	score	disease_name	disease_identifier
1	0.04893915727734566	OMIM:608203	OMIM:608203
2	0.05740559101104736	OMIM:116920	OMIM:116920
3	0.06609941273927689	OMIM:617475	OMIM:617475
4	0.06737858057022095	OMIM:612541	OMIM:612541
5	0.06871223449707031	ORPHA:3243	ORPHA:3243
6	0.06935983151197433	ORPHA:293173	ORPHA:293173
7	0.06964834779500961	ORPHA:90051	ORPHA:90051
8	0.06997367739677429	ORPHA:125	ORPHA:125
9	0.07091869413852692	ORPHA:335	ORPHA:335
10	0.0709223821759224	OMIM:619573	OMIM:619573
11	0.07135564088821411	ORPHA:79277	ORPHA:79277
12	0.07160291075706482	ORPHA:486	ORPHA:486
13	0.07166389375925064	ORPHA:89842	ORPHA:89842
14	0.07187088578939438	OMIM:619991	OMIM:619991
15	0.0722527727484703	ORPHA:2314	ORPHA:2314
16	0.0728873759508133	OMIM:615895	OMIM:615895
17	0.0731210857629776	ORPHA:464370	ORPHA:464370
18	0.07321275770664215	OMIM:619381	OMIM:619381
19	0.07322818785905838	ORPHA:79404	ORPHA:79404
20	0.07333763688802719	OMIM:615688	OMIM:615688
21	0.07337698340415955	ORPHA:79408	ORPHA:79408
22	0.07340093702077866	OMIM:619752	OMIM:619752
23	0.07341289520263672	OMIM:152800	OMIM:152800
24	0.07356704026460648	ORPHA:95159	ORPHA:95159
25	0.07359611988067627	ORPHA:36234	ORPHA:36234
26	0.07362080365419388	OMIM:620133	OMIM:620133
27	0.0737045630812645	OMIM:617827	OMIM:617827
28	0.07382238656282425	ORPHA:2968	ORPHA:2968
29	0.07383014261722565	OMIM:226730	OMIM:226730
30	0.07384710758924484	OMIM:612260	OMIM:612260
31	0.0739152804017067	ORPHA:79396	ORPHA:79396
32	0.07396131753921509	ORPHA:292	ORPHA:292
33	0.07405799627304077	OMIM:308205	OMIM:308205
34	0.07416832447052002	OMIM:243150	OMIM:243150
35	0.07428830862045288	ORPHA:1775	ORPHA:1775
36	0.07441384345293045	ORPHA:158684	ORPHA:158684
37	0.07451999932527542	ORPHA:436252	ORPHA:436252
38	0.07473061978816986	ORPHA:79477	ORPHA:79477
39	0.07480385899543762	ORPHA:50918	ORPHA:50918
40	0.07481653243303299	ORPHA:47	ORPHA:47
41	0.07486717402935028	ORPHA:1556	ORPHA:1556
42	0.07490096986293793	OMIM:612852	OMIM:612852
43	0.07498069107532501	ORPHA:379	ORPHA:379
44	0.07529142498970032	ORPHA:51636	ORPHA:51636
45	0.07529917359352112	ORPHA:488	ORPHA:488
46	0.07534360140562057	ORPHA:228119	ORPHA:228119
47	0.07536488026380539	OMIM:225410	OMIM:225410
48	0.07548001408576965	OMIM:602450	OMIM:602450
49	0.07551642507314682	ORPHA:537	ORPHA:537
50	0.07556718587875366	OMIM:618935	OMIM:618935
51	0.0757891833782196	OMIM:260920	OMIM:260920
52	0.0758463442325592	OMIM:608104	OMIM:608104
53	0.07589320838451385	OMIM:615934	OMIM:615934
54	0.07595523446798325	OMIM:193670	OMIM:193670
55	0.07608815282583237	ORPHA:73263	ORPHA:73263
56	0.07614496350288391	ORPHA:79456	ORPHA:79456
57	0.07616142183542252	OMIM:616395	OMIM:616395
58	0.0761822760105133	OMIM:614204	OMIM:614204
59	0.07628064602613449	ORPHA:85212	ORPHA:85212
60	0.07629460841417313	OMIM:617053	OMIM:617053
61	0.07636454701423645	ORPHA:84064	ORPHA:84064
62	0.07637441903352737	ORPHA:88621	ORPHA:88621
63	0.07641665637493134	OMIM:150550	OMIM:150550
64	0.07645948976278305	ORPHA:540	ORPHA:540
65	0.07657329738140106	ORPHA:83313	ORPHA:83313
66	0.07660636305809021	ORPHA:116	ORPHA:116
67	0.07674790918827057	ORPHA:287	ORPHA:287
68	0.0768028050661087	OMIM:306400	OMIM:306400
69	0.07688339054584503	ORPHA:99826	ORPHA:99826
70	0.07694414258003235	ORPHA:2241	ORPHA:2241
71	0.07704602181911469	ORPHA:454831	ORPHA:454831
72	0.07709609717130661	OMIM:305000	OMIM:305000
73	0.07711514830589294	ORPHA:95455	ORPHA:95455
74	0.07717115432024002	OMIM:603552	OMIM:603552
75	0.07727359980344772	ORPHA:98850	ORPHA:98850
76	0.07735265046358109	ORPHA:391673	ORPHA:391673
77	0.07735572010278702	OMIM:619644	OMIM:619644
78	0.07737632095813751	OMIM:617718	OMIM:617718
79	0.07738088071346283	ORPHA:228123	ORPHA:228123
80	0.07741668075323105	ORPHA:99921	ORPHA:99921
81	0.0775732472538948	OMIM:557000	OMIM:557000
82	0.07763128727674484	OMIM:615285	OMIM:615285
83	0.07768058776855469	ORPHA:810	ORPHA:810
84	0.07775135338306427	ORPHA:906	ORPHA:906
85	0.07776346802711487	ORPHA:33276	ORPHA:33276
86	0.07776712626218796	ORPHA:39812	ORPHA:39812
87	0.07781267166137695	ORPHA:79324	ORPHA:79324
88	0.07789278775453568	ORPHA:1304	ORPHA:1304
89	0.07800152152776718	OMIM:226300	OMIM:226300
90	0.07802703231573105	OMIM:256040	OMIM:256040
91	0.078061543405056	ORPHA:39041	ORPHA:39041
92	0.07812055945396423	ORPHA:3226	ORPHA:3226
93	0.07823769748210907	ORPHA:811	ORPHA:811
94	0.07825706154108047	ORPHA:542643	ORPHA:542643
95	0.07830306142568588	ORPHA:99827	ORPHA:99827
96	0.07835975289344788	OMIM:614520	OMIM:614520
97	0.07837577164173126	OMIM:300972	OMIM:300972
98	0.07840941101312637	OMIM:214500	OMIM:214500
99	0.07847251743078232	ORPHA:2330	ORPHA:2330
100	0.0784749910235405	ORPHA:96253	ORPHA:96253
101	0.07850371301174164	ORPHA:247353	ORPHA:247353
102	0.07853183150291443	OMIM:301074	OMIM:301074
103	0.07862519472837448	ORPHA:167	ORPHA:167
104	0.07869032770395279	ORPHA:220402	ORPHA:220402
105	0.07871159166097641	OMIM:620040	OMIM:620040
106	0.07872667163610458	ORPHA:79259	ORPHA:79259
107	0.0787343829870224	ORPHA:381	ORPHA:381
108	0.07878577709197998	ORPHA:99889	ORPHA:99889
109	0.078890860080719	ORPHA:79124	ORPHA:79124
110	0.07894601672887802	ORPHA:556	ORPHA:556
111	0.0789499431848526	ORPHA:507	ORPHA:507
112	0.0790160521864891	OMIM:243800	OMIM:243800
113	0.07903087884187698	OMIM:612840	OMIM:612840
114	0.07904063910245895	ORPHA:565	ORPHA:565
115	0.07908603549003601	OMIM:226600	OMIM:226600
116	0.07913690060377121	OMIM:618108	OMIM:618108
117	0.0792367160320282	OMIM:232220	OMIM:232220
118	0.07925932854413986	OMIM:130080	OMIM:130080
119	0.07930854707956314	ORPHA:286	ORPHA:286
120	0.07937996089458466	ORPHA:520	ORPHA:520
121	0.07941681891679764	ORPHA:3260	ORPHA:3260
122	0.07958648353815079	OMIM:616050	OMIM:616050
123	0.07959356158971786	ORPHA:33110	ORPHA:33110
124	0.07962668687105179	ORPHA:221	ORPHA:221
125	0.07964341342449188	ORPHA:168569	ORPHA:168569
126	0.07968313992023468	ORPHA:464	ORPHA:464
127	0.07969551533460617	OMIM:617303	OMIM:617303
128	0.07982531189918518	OMIM:256800	OMIM:256800
129	0.07986023277044296	ORPHA:555905	ORPHA:555905
130	0.07986948639154434	ORPHA:443811	ORPHA:443811
131	0.07999599725008011	ORPHA:370348	ORPHA:370348
132	0.07999768853187561	OMIM:609313	OMIM:609313
133	0.0800178274512291	ORPHA:226313	ORPHA:226313
134	0.08002077788114548	OMIM:301068	OMIM:301068
135	0.0801832526922226	ORPHA:36426	ORPHA:36426
136	0.08023471385240555	ORPHA:79325	ORPHA:79325
137	0.08025183528661728	OMIM:617174	OMIM:617174
138	0.08025597780942917	OMIM:618183	OMIM:618183
139	0.08026351034641266	ORPHA:90291	ORPHA:90291
140	0.08027362823486328	ORPHA:707	ORPHA:707
141	0.08030443638563156	OMIM:226990	OMIM:226990
142	0.08031187206506729	OMIM:170100	OMIM:170100
143	0.08031542599201202	ORPHA:2930	ORPHA:2930
144	0.08034700155258179	OMIM:614576	OMIM:614576
145	0.08040479570627213	ORPHA:37	ORPHA:37
146	0.08045461773872375	ORPHA:229717	ORPHA:229717
147	0.08045894652605057	OMIM:263700	OMIM:263700
148	0.08047577738761902	OMIM:242840	OMIM:242840
149	0.08048978447914124	OMIM:301078	OMIM:301078
150	0.08049625158309937	ORPHA:221139	ORPHA:221139
151	0.0805584266781807	ORPHA:79403	ORPHA:79403
152	0.08056527376174927	OMIM:251260	OMIM:251260
153	0.08056607842445374	ORPHA:1041	ORPHA:1041
154	0.0806584507226944	ORPHA:231	ORPHA:231
155	0.08071396499872208	ORPHA:505248	ORPHA:505248
156	0.08073125034570694	OMIM:153400	OMIM:153400
157	0.08074619621038437	ORPHA:79473	ORPHA:79473
158	0.08074872195720673	OMIM:614328	OMIM:614328
159	0.08078445494174957	OMIM:175500	OMIM:175500
160	0.0807943269610405	ORPHA:93552	ORPHA:93552
161	0.08082446455955505	OMIM:304790	OMIM:304790
162	0.08086460828781128	OMIM:210900	OMIM:210900
163	0.08089933544397354	ORPHA:99843	ORPHA:99843
164	0.08095378428697586	ORPHA:2929	ORPHA:2929
165	0.08104151487350464	OMIM:308300	OMIM:308300
166	0.08105824142694473	OMIM:277380	OMIM:277380
167	0.08106984943151474	ORPHA:797	ORPHA:797
168	0.08110729604959488	OMIM:615468	OMIM:615468
169	0.08113932609558105	ORPHA:391487	ORPHA:391487
170	0.08114723116159439	OMIM:614162	OMIM:614162
171	0.08118635416030884	ORPHA:477	ORPHA:477
172	0.08120837062597275	ORPHA:398124	ORPHA:398124
173	0.08128398656845093	OMIM:267000	OMIM:267000
174	0.08129572868347168	ORPHA:33355	ORPHA:33355
175	0.08130592852830887	ORPHA:534	ORPHA:534
176	0.08132942020893097	OMIM:607115	OMIM:607115
177	0.08133608102798462	OMIM:153100	OMIM:153100
178	0.08134135603904724	OMIM:614052	OMIM:614052
179	0.08134725689888	ORPHA:90038	ORPHA:90038
180	0.08135640621185303	ORPHA:37042	ORPHA:37042
181	0.08138780295848846	ORPHA:79273	ORPHA:79273
182	0.08139677345752716	OMIM:620014	OMIM:620014
183	0.08140397816896439	ORPHA:3162	ORPHA:3162
184	0.08143792301416397	OMIM:618164	OMIM:618164
185	0.0814405158162117	ORPHA:109	ORPHA:109
186	0.08145066350698471	ORPHA:285	ORPHA:285
187	0.08146398514509201	OMIM:618048	OMIM:618048
188	0.08149398118257523	ORPHA:2035	ORPHA:2035
189	0.08150181919336319	ORPHA:35858	ORPHA:35858
190	0.08151746541261673	ORPHA:69665	ORPHA:69665
191	0.08152756839990616	OMIM:603554	OMIM:603554
192	0.0815378874540329	ORPHA:101028	ORPHA:101028
193	0.08154179900884628	OMIM:603467	OMIM:603467
194	0.08157098293304443	ORPHA:2273	ORPHA:2273
195	0.08159556239843369	OMIM:619351	OMIM:619351
196	0.08160959184169769	ORPHA:79411	ORPHA:79411
197	0.08163485676050186	ORPHA:48435	ORPHA:48435
198	0.0816773772239685	OMIM:614602	OMIM:614602
199	0.08174507319927216	OMIM:617099	OMIM:617099
200	0.08175338804721832	ORPHA:699	ORPHA:699
201	0.0817832350730896	ORPHA:101330	ORPHA:101330
202	0.08181249350309372	OMIM:613989	OMIM:613989
203	0.0818159431219101	OMIM:619488	OMIM:619488
204	0.08184712380170822	ORPHA:544482	ORPHA:544482
205	0.08185037970542908	OMIM:130050	OMIM:130050
206	0.08188770711421967	ORPHA:99226	ORPHA:99226
206	0.08188770711421967	ORPHA:99228	ORPHA:99228
206	0.08188770711421967	ORPHA:881	ORPHA:881
206	0.08188770711421967	ORPHA:99413	ORPHA:99413
210	0.08191303163766861	OMIM:608233	OMIM:608233
211	0.08191905170679092	ORPHA:251009	ORPHA:251009
212	0.08196250349283218	OMIM:217090	OMIM:217090
213	0.08200015872716904	OMIM:615846	OMIM:615846
214	0.0820063054561615	ORPHA:221016	ORPHA:221016
215	0.08202799409627914	ORPHA:319213	ORPHA:319213
216	0.08203316479921341	ORPHA:231226	ORPHA:231226
217	0.0820482075214386	ORPHA:79329	ORPHA:79329
218	0.08210273087024689	OMIM:102700	OMIM:102700
219	0.0821084976196289	ORPHA:2686	ORPHA:2686
220	0.08210945874452591	OMIM:604173	OMIM:604173
221	0.08211380988359451	ORPHA:221008	ORPHA:221008
222	0.08211887627840042	OMIM:620331	OMIM:620331
223	0.08215908706188202	ORPHA:2907	ORPHA:2907
224	0.0821601152420044	ORPHA:1451	ORPHA:1451
225	0.08217765390872955	ORPHA:33226	ORPHA:33226
226	0.08219114691019058	ORPHA:1830	ORPHA:1830
227	0.0821976438164711	OMIM:308230	OMIM:308230
228	0.0822049155831337	ORPHA:2331	ORPHA:2331
229	0.08224713802337646	ORPHA:822	ORPHA:822
230	0.08224964141845703	OMIM:619858	OMIM:619858
231	0.0822552964091301	OMIM:615508	OMIM:615508
232	0.08228351175785065	OMIM:173650	OMIM:173650
233	0.08229760080575943	OMIM:127550	OMIM:127550
234	0.0822988748550415	OMIM:619534	OMIM:619534
235	0.08230073004961014	ORPHA:79409	ORPHA:79409
236	0.08230724930763245	OMIM:607143	OMIM:607143
237	0.08230810612440109	OMIM:222470	OMIM:222470
238	0.08231914043426514	ORPHA:533	ORPHA:533
