rank	score	disease_name	disease_identifier
1	0.17484575510025024	OMIM:300082	OMIM:300082
1	0.17484575510025024	OMIM:158280	OMIM:158280
3	0.18723249435424805	OMIM:310470	OMIM:310470
4	0.1896420121192932	ORPHA:639	ORPHA:639
5	0.19722586870193481	ORPHA:100073	ORPHA:100073
6	0.19776219129562378	DECIPHER:29	DECIPHER:29
7	0.19819605350494385	ORPHA:199251	ORPHA:199251
8	0.1985398530960083	OMIM:606482	OMIM:606482
9	0.19881796836853027	DECIPHER:31	DECIPHER:31
10	0.20110446214675903	DECIPHER:59	DECIPHER:59
