rank	score	disease_name	disease_identifier
1	0.008689401671290398	OMIM:268310	OMIM:268310
2	0.009480361826717854	ORPHA:97360	ORPHA:97360
3	0.010512852109968662	OMIM:180700	OMIM:180700
4	0.010617383755743504	ORPHA:3107	ORPHA:3107
5	0.011050526984035969	OMIM:616894	OMIM:616894
6	0.011352386325597763	OMIM:164745	OMIM:164745
7	0.011733352206647396	ORPHA:1507	ORPHA:1507
8	0.012420696206390858	ORPHA:96334	ORPHA:96334
9	0.01249274704605341	OMIM:617925	OMIM:617925
10	0.012554574757814407	OMIM:261540	OMIM:261540
11	0.012573331594467163	ORPHA:221120	ORPHA:221120
12	0.012573666870594025	OMIM:611717	OMIM:611717
13	0.012616010382771492	OMIM:166250	OMIM:166250
14	0.012820139527320862	OMIM:618529	OMIM:618529
15	0.012881265953183174	OMIM:224690	OMIM:224690
16	0.012925353832542896	OMIM:154400	OMIM:154400
17	0.013008467853069305	ORPHA:93329	ORPHA:93329
18	0.013050366193056107	OMIM:134780	OMIM:134780
19	0.013084422796964645	OMIM:615546	OMIM:615546
20	0.013148186728358269	OMIM:211750	OMIM:211750
21	0.013362035155296326	OMIM:610759	OMIM:610759
22	0.01338685117661953	OMIM:616145	OMIM:616145
23	0.013455299660563469	ORPHA:1327	ORPHA:1327
24	0.013472959399223328	OMIM:612651	OMIM:612651
25	0.013547241687774658	ORPHA:251014	ORPHA:251014
26	0.01360307727009058	OMIM:200990	OMIM:200990
27	0.013630632311105728	OMIM:609945	OMIM:609945
28	0.013649601489305496	ORPHA:1703	ORPHA:1703
29	0.013688523322343826	ORPHA:3472	ORPHA:3472
30	0.013714786618947983	ORPHA:1308	ORPHA:1308
31	0.013723860494792461	ORPHA:1449	ORPHA:1449
32	0.013755399733781815	ORPHA:2021	ORPHA:2021
33	0.013796025887131691	OMIM:617746	OMIM:617746
34	0.013912784866988659	ORPHA:1299	ORPHA:1299
35	0.013981113210320473	OMIM:228520	OMIM:228520
36	0.013989428989589214	ORPHA:1692	ORPHA:1692
37	0.013998812064528465	ORPHA:93328	ORPHA:93328
38	0.013999588787555695	OMIM:614701	OMIM:614701
39	0.014020614326000214	OMIM:309580	OMIM:309580
40	0.014048492535948753	OMIM:260660	OMIM:260660
41	0.014076047576963902	OMIM:612289	OMIM:612289
42	0.014100771397352219	ORPHA:508488	ORPHA:508488
43	0.014240706339478493	OMIM:304120	OMIM:304120
44	0.014324755407869816	OMIM:304110	OMIM:304110
45	0.01432513352483511	ORPHA:96097	ORPHA:96097
46	0.014382419176399708	ORPHA:261112	ORPHA:261112
47	0.01441381499171257	OMIM:216340	OMIM:216340
48	0.014438866637647152	ORPHA:56304	ORPHA:56304
49	0.014481392689049244	OMIM:614976	OMIM:614976
50	0.014554188586771488	ORPHA:3379	ORPHA:3379
51	0.014581737108528614	ORPHA:1106	ORPHA:1106
52	0.014605475589632988	OMIM:613458	OMIM:613458
53	0.014627298340201378	OMIM:245600	OMIM:245600
54	0.014644305221736431	OMIM:601390	OMIM:601390
55	0.014697643928229809	OMIM:616300	OMIM:616300
56	0.014699365943670273	OMIM:600920	OMIM:600920
57	0.014723938889801502	OMIM:108720	OMIM:108720
58	0.014789709821343422	OMIM:619841	OMIM:619841
59	0.014814961701631546	OMIM:268300	OMIM:268300
60	0.014884106814861298	ORPHA:439822	ORPHA:439822
61	0.01490025594830513	OMIM:217980	OMIM:217980
62	0.014991669915616512	ORPHA:958	ORPHA:958
63	0.014999193139374256	ORPHA:90652	ORPHA:90652
64	0.01500161923468113	OMIM:619479	OMIM:619479
65	0.015080820769071579	OMIM:617895	OMIM:617895
66	0.015104529447853565	OMIM:608670	OMIM:608670
67	0.01510995626449585	ORPHA:364577	ORPHA:364577
68	0.015131212770938873	OMIM:263750	OMIM:263750
69	0.015288369730114937	OMIM:608156	OMIM:608156
70	0.015309111215174198	OMIM:616734	OMIM:616734
71	0.015348058193922043	ORPHA:171839	ORPHA:171839
72	0.015482604503631592	ORPHA:672	ORPHA:672
73	0.01551171112805605	OMIM:611209	OMIM:611209
74	0.01551850512623787	OMIM:268305	OMIM:268305
75	0.015552124008536339	OMIM:122470	OMIM:122470
76	0.015570074319839478	OMIM:272950	OMIM:272950
77	0.015580926090478897	OMIM:114290	OMIM:114290
78	0.01558409258723259	OMIM:218600	OMIM:218600
79	0.01564531773328781	ORPHA:1642	ORPHA:1642
80	0.015654349699616432	ORPHA:2215	ORPHA:2215
81	0.01567620038986206	ORPHA:915	ORPHA:915
82	0.015685468912124634	OMIM:616331	OMIM:616331
83	0.015708474442362785	OMIM:210600	OMIM:210600
84	0.015709126368165016	OMIM:264090	OMIM:264090
85	0.01571013778448105	OMIM:619148	OMIM:619148
86	0.01571124605834484	OMIM:616723	OMIM:616723
